id.accession	counts_file	source_path	is_star	is_rsem
OSD-100	GLDS-100_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-100/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-100_rna_seq_Unnormalized_Counts.csv	0	0
OSD-101	GLDS-101_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-101/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-101_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-102	GLDS-102_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-102/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-102_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-103	GLDS-103_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-103/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-103_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-104	GLDS-104_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-104/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-104_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-105	GLDS-105_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-105/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-105_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-137	GLDS-137_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-137/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-137_rna_seq_Unnormalized_Counts.csv	0	0
OSD-141	GLDS-141_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-141/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-141_rna_seq_Unnormalized_Counts.csv	0	0
OSD-161	GLDS-161_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-161/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-161_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-162	GLDS-162_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-162/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-162_rna_seq_Unnormalized_Counts.csv	0	0
OSD-163	GLDS-163_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-163/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-163_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-164	GLDS-164_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-164/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-164_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-168	GLDS-168_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-168/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-168_rna_seq_Unnormalized_Counts.csv	0	0
OSD-173	GLDS-173_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-173/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-173_rna_seq_Unnormalized_Counts.csv	0	0
OSD-194	GLDS-194_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-194/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-194_rna_seq_Unnormalized_Counts.csv	0	0
OSD-201	GLDS-201_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-201/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-201_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-202	GLDS-202_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-202/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-202_rna_seq_Unnormalized_Counts.csv	0	0
OSD-203	GLDS-203_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-203/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-203_rna_seq_Unnormalized_Counts.csv	0	0
OSD-211	GLDS-211_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-211/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-211_rna_seq_Unnormalized_Counts.csv	0	0
