"","Mmus_C57-6J_GST_FLT_Rep1_M23","Mmus_C57-6J_GST_FLT_Rep2_M24","Mmus_C57-6J_GST_FLT_Rep3_M25","Mmus_C57-6J_GST_FLT_Rep4_M26","Mmus_C57-6J_GST_FLT_Rep5_M27","Mmus_C57-6J_GST_FLT_Rep6_M28","Mmus_C57-6J_GST_GC_Rep1_M33","Mmus_C57-6J_GST_GC_Rep2_M34","Mmus_C57-6J_GST_GC_Rep3_M35","Mmus_C57-6J_GST_GC_Rep4_M36","Mmus_C57-6J_GST_GC_Rep5_M37","Mmus_C57-6J_GST_GC_Rep6_M38"
"ENSMUSG00000000001",725,790,755,812,859,722,966,770,917,1013,901,840
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",97,93,102,93,80,75,110,86,103,87,98,93
"ENSMUSG00000000031",17824,8214,18049,24100,14048,9813,32040,16250,20998,10192,7933,18989
"ENSMUSG00000000037",6,5,13,9,9,10,10,7,10,15,8,9
"ENSMUSG00000000049",45,56,40,99,16,7,38,16,23,341,13,15
"ENSMUSG00000000056",6027,5829,6860,5320,4945,5188,6495,5134,5625,5893,6020,5600
"ENSMUSG00000000058",572,396,525,886,695,499,806,549,683,819,538,678
"ENSMUSG00000000078",2000,1897,1873,1740,1633,1532,2845,2424,2930,2358,2080,2765
"ENSMUSG00000000085",1309,1523,1589,1455,1456,1383,1728,1401,1529,1643,1599,1552
"ENSMUSG00000000088",8898,7197,9147,10021,7521,6113,9452,7401,9136,6615,6314,7546
"ENSMUSG00000000093",63,99,59,171,133,131,96,79,105,141,98,154
"ENSMUSG00000000094",66,87,100,91,96,103,130,102,97,93,110,95
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",30,158,74,36,34,33,99,41,57,57,59,61
"ENSMUSG00000000125",1,0,2,1,1,2,3,3,1,5,1,2
"ENSMUSG00000000126",409,440,507,565,424,475,502,398,450,431,406,451
"ENSMUSG00000000127",605,658,653,687,653,573,808,543,623,710,627,739
"ENSMUSG00000000131",1249,1594,1015,1799,1645,1628,1744,1422,1561,1521,1483,1678
"ENSMUSG00000000134",432,410,443,561,390,378,536,447,466,547,468,501
"ENSMUSG00000000142",484,346,543,775,459,473,554,409,528,405,381,443
"ENSMUSG00000000148",227,262,260,294,298,223,323,240,290,288,276,304
"ENSMUSG00000000149",1072,993,1246,1207,1105,830,1223,830,988,946,814,1005
"ENSMUSG00000000154",21,26,15,25,13,13,21,9,15,36,9,12
"ENSMUSG00000000157",0,0,0,2,0,0,1,0,0,0,0,0
"ENSMUSG00000000159",4,0,0,2,0,1,1,1,2,0,1,2
"ENSMUSG00000000167",9,14,14,6,13,9,17,15,15,8,12,29
"ENSMUSG00000000168",6646,4847,5840,7173,5398,4776,6950,5272,6787,4547,4528,5808
"ENSMUSG00000000171",5858,4458,5484,5962,4914,4329,6613,5058,5985,4465,4297,5160
"ENSMUSG00000000182",0,1,3,4,1,0,0,0,1,0,1,1
"ENSMUSG00000000183",353,479,462,257,183,295,289,207,184,375,307,262
"ENSMUSG00000000184",591,594,622,919,526,462,944,583,808,965,570,762
"ENSMUSG00000000194",1633,1753,1867,1855,1839,1533,2114,1701,1804,1870,1707,1850
"ENSMUSG00000000197",45,33,47,83,66,60,65,45,49,82,26,71
"ENSMUSG00000000202",2,0,0,2,1,0,2,0,0,1,5,2
