"","Mmus_C57-6J_KDN_FLT_Rep1_M23","Mmus_C57-6J_KDN_FLT_Rep2_M24","Mmus_C57-6J_KDN_FLT_Rep3_M25","Mmus_C57-6J_KDN_FLT_Rep4_M26","Mmus_C57-6J_KDN_FLT_Rep5_M27","Mmus_C57-6J_KDN_FLT_Rep6_M28","Mmus_C57-6J_KDN_GC_Rep1_M33","Mmus_C57-6J_KDN_GC_Rep2_M34","Mmus_C57-6J_KDN_GC_Rep3_M35","Mmus_C57-6J_KDN_GC_Rep4_M36","Mmus_C57-6J_KDN_GC_Rep5_M37","Mmus_C57-6J_KDN_GC_Rep6_M38"
"ENSMUSG00000000001",2935,2879,3713,3279,3800,3280,3261,3273,3346,3286,3483,3122
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",65,67,106,78,94,89,67,76,65,67,58,88
"ENSMUSG00000000031",27,17,13,22,23,17,11,22,19,26,20,15
"ENSMUSG00000000037",22,23,32,28,28,19,21,29,14,24,27,39
"ENSMUSG00000000049",1,1,6,10,0,4,1,4,10,2,1,1
"ENSMUSG00000000056",1317,1244,2124,1259,1658,1550,1625,1471,1539,1693,1672,1528
"ENSMUSG00000000058",1352,1569,1690,1395,1626,1554,1638,1554,1350,1506,1280,1313
"ENSMUSG00000000078",2954,2329,2702,2277,2643,2485,2302,2649,2127,2308,2357,2482
"ENSMUSG00000000085",896,766,1145,931,1014,1019,1034,892,910,954,1004,976
"ENSMUSG00000000088",6327,5929,7728,5818,6884,5439,5323,5432,6277,6475,6504,5469
"ENSMUSG00000000093",3526,3723,3704,3448,3565,3230,2791,3638,3174,3822,3234,3418
"ENSMUSG00000000094",3,6,3,0,0,3,2,0,2,1,0,2
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",98,120,117,119,131,112,142,115,104,94,86,147
"ENSMUSG00000000125",0,0,0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000000126",77,92,127,63,108,110,99,149,92,114,67,86
"ENSMUSG00000000127",624,567,731,648,782,715,642,592,560,627,621,652
"ENSMUSG00000000131",1981,1786,2619,2137,2402,2095,2149,2059,1974,2108,2146,2468
"ENSMUSG00000000134",1054,997,1443,1093,1269,1158,1036,1063,1107,1240,1069,1148
"ENSMUSG00000000142",200,212,236,150,232,255,326,378,167,251,263,181
"ENSMUSG00000000148",587,638,790,554,631,596,573,694,653,660,644,640
"ENSMUSG00000000149",5642,5082,5835,5526,5192,5153,4890,5424,5057,6382,5620,5332
"ENSMUSG00000000154",8032,6483,8340,5859,6944,5672,5665,5954,8151,6735,7871,5956
"ENSMUSG00000000157",0,3,1,0,2,2,0,1,0,1,0,1
"ENSMUSG00000000159",458,386,691,519,736,568,598,532,472,635,513,625
"ENSMUSG00000000167",83,79,89,86,119,81,60,66,67,84,97,73
"ENSMUSG00000000168",4349,4202,5476,4455,5065,3987,3959,3903,4478,4492,4576,3942
"ENSMUSG00000000171",5900,5658,7654,5792,6582,5252,5758,5559,6691,6817,6562,5583
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",1,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000184",1041,1114,1401,1634,1567,1623,1433,1411,1140,1399,1197,1507
"ENSMUSG00000000194",2068,1875,2568,2245,2540,2251,2194,2141,2145,2279,2240,2465
"ENSMUSG00000000197",15,10,14,18,12,10,12,7,10,8,24,16
"ENSMUSG00000000202",0,1,7,3,1,3,0,3,0,2,4,1
"ENSMUSG00000000204",5,7,10,32,15,7,4,7,4,4,7,12
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",2,1,2,1,2,1,2,1,3,0,2,0
"ENSMUSG00000000216",2068,1994,2569,2525,2138,2084,2169,1908,1908,2263,2104,2240
"ENSMUSG00000000223",2,5,4,2,8,4,6,11,2,7,10,3
"ENSMUSG00000000244",17,23,20,43,25,30,17,20,22,19,37,45
