"","Mmus_C57-6J_Quad_FLT_Rep1_M23","Mmus_C57-6J_Quad_FLT_Rep2_M24","Mmus_C57-6J_Quad_FLT_Rep3_M25","Mmus_C57-6J_Quad_FLT_Rep4_M26","Mmus_C57-6J_Quad_FLT_Rep5_M27","Mmus_C57-6J_Quad_FLT_Rep6_M28","Mmus_C57-6J_Quad_GC_Rep1_M33","Mmus_C57-6J_Quad_GC_Rep2_M34","Mmus_C57-6J_Quad_GC_Rep3_M35","Mmus_C57-6J_Quad_GC_Rep4_M36","Mmus_C57-6J_Quad_GC_Rep5_M37","Mmus_C57-6J_Quad_GC_Rep6_M38"
"ENSMUSG00000000001",690,780,674,756,968,730,844,818,757,802,692,727
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",81,89,88,73,85,77,75,116,110,91,113,102
"ENSMUSG00000000031",9681,21709,22076,13898,9101,9363,20284,11458,21231,9645,13834,10924
"ENSMUSG00000000037",10,14,9,9,7,8,7,12,8,6,3,5
"ENSMUSG00000000049",9,10,7,9,8,11,6,16,12,6,8,9
"ENSMUSG00000000056",5953,4906,6636,5566,7236,5825,6420,7158,6104,6910,6718,7047
"ENSMUSG00000000058",372,642,453,606,459,539,594,534,470,519,551,441
"ENSMUSG00000000078",1792,1810,1636,1431,1437,1515,2350,2458,2119,1715,2000,2108
"ENSMUSG00000000085",1423,1405,1468,1268,1676,1494,1602,1693,1530,1670,1680,1728
"ENSMUSG00000000088",7497,10312,8946,9256,6653,8153,8440,9286,10220,6981,8853,7882
"ENSMUSG00000000093",101,97,97,124,98,93,80,112,91,94,133,112
"ENSMUSG00000000094",70,54,56,98,78,60,70,50,91,95,76,87
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",39,41,57,15,45,33,81,66,68,78,69,61
"ENSMUSG00000000125",2,2,0,2,4,0,2,5,4,0,0,5
"ENSMUSG00000000126",406,384,422,494,441,492,540,464,498,464,487,492
"ENSMUSG00000000127",612,620,606,602,756,577,687,603,658,627,664,641
"ENSMUSG00000000131",1546,1590,1614,1320,1724,1705,1308,1284,1535,1325,1353,1379
"ENSMUSG00000000134",416,457,464,523,471,524,464,478,448,511,464,461
"ENSMUSG00000000142",250,339,296,320,185,336,285,340,319,264,215,266
"ENSMUSG00000000148",268,289,301,259,308,300,281,326,277,306,307,304
"ENSMUSG00000000149",1111,1313,1440,1233,1300,1098,1384,1094,1098,1174,1100,1085
"ENSMUSG00000000154",9,10,11,14,14,15,17,15,13,26,12,19
"ENSMUSG00000000157",0,0,0,1,0,0,0,0,0,8,0,0
"ENSMUSG00000000159",2,1,1,0,0,2,0,0,2,1,0,1
"ENSMUSG00000000167",18,19,11,8,15,11,17,19,21,16,7,11
"ENSMUSG00000000168",5343,6782,5817,6583,4724,5969,6336,6375,6572,5096,6409,5463
"ENSMUSG00000000171",4823,5911,5271,5614,4548,5466,5831,5918,6164,4967,6123,5232
"ENSMUSG00000000182",0,1,1,3,1,0,0,1,3,1,0,1
"ENSMUSG00000000183",287,344,402,195,207,271,280,221,202,443,251,317
"ENSMUSG00000000184",751,1031,731,977,870,625,1079,787,737,1150,561,913
"ENSMUSG00000000194",1863,1806,1891,1835,2416,1780,1870,2103,2091,1850,1914,1947
"ENSMUSG00000000197",53,59,55,58,20,68,34,36,68,46,47,69
"ENSMUSG00000000202",5,1,1,0,0,2,4,8,2,2,3,3
"ENSMUSG00000000204",7,12,12,28,3,13,6,9,0,6,0,10
"ENSMUSG00000000214",3,3,5,0,3,1,0,3,0,1,2,1
"ENSMUSG00000000215",0,0,0,1,0,0,0,1,0,0,0,0
"ENSMUSG00000000216",2,1,4,2,3,0,1,0,2,0,0,3
"ENSMUSG00000000223",249,741,348,448,340,294,290,402,376,241,303,374
"ENSMUSG00000000244",13,11,26,27,26,16,31,22,5,22,23,28
"ENSMUSG00000000247",6,1,8,0,10,6,6,7,11,7,15,8
"ENSMUSG00000000248",0,1,3,2,3,0,0,0,0,0,1,0
"ENSMUSG00000000253",4030,3858,4391,3169,3688,3641,5168,5434,4702,4563,5842,4995
"ENSMUSG00000000263",1,1,0,0,0,2,0,1,2,2,1,2
"ENSMUSG00000000266",384,467,359,497,375,352,428,374,308,334,304,435
"ENSMUSG00000000275",687,755,742,958,815,728,806,772,687,788,743,749
"ENSMUSG00000000276",299,401,337,362,336,401,325,350,313,383,394,333
"ENSMUSG00000000278",344,369,426,450,314,320,407,361,307,445,348,386
"ENSMUSG00000000282",692,587,897,404,684,412,609,735,684,702,818,688
"ENSMUSG00000000290",122,102,148,132,87,121,146,94,80,125,103,136
"ENSMUSG00000000295",147,127,142,137,93,143,144,155,143,127,116,139
"ENSMUSG00000000296",640,685,611,617,728,541,638,774,734,658,604,708
"ENSMUSG00000000301",34,42,46,34,50,43,32,43,38,41,40,48
"ENSMUSG00000000303",9,40,31,27,21,28,25,38,19,36,42,34
"ENSMUSG00000000305",526,330,559,391,446,359,1244,338,519,691,402,775
"ENSMUSG00000000308",12,11,9,1,5,12,6,7,6,3,14,18
