"","Mmus_C57-6J_SLS_FLT_Rep1_M23","Mmus_C57-6J_SLS_FLT_Rep2_M24","Mmus_C57-6J_SLS_FLT_Rep3_M25","Mmus_C57-6J_SLS_FLT_Rep4_M26","Mmus_C57-6J_SLS_FLT_Rep5_M27","Mmus_C57-6J_SLS_FLT_Rep6_M28","Mmus_C57-6J_SLS_GC_Rep1_M33","Mmus_C57-6J_SLS_GC_Rep2_M34","Mmus_C57-6J_SLS_GC_Rep3_M35","Mmus_C57-6J_SLS_GC_Rep4_M36","Mmus_C57-6J_SLS_GC_Rep5_M37","Mmus_C57-6J_SLS_GC_Rep6_M38"
"ENSMUSG00000000001",895,739,862,907,1116,721,1254,929,1104,910,916,931
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",90,124,88,135,194,107,151,119,130,111,118,138
"ENSMUSG00000000031",58637,55339,72974,77204,60217,47676,122000,89223,108426,97519,92017,101387
"ENSMUSG00000000037",8,5,6,10,13,3,23,8,8,4,3,13
"ENSMUSG00000000049",13,15,24,22,69,11,16,10,15,9,18,13
"ENSMUSG00000000056",3917,3891,4794,4915,5108,3791,6492,5471,5872,5626,5433,5641
"ENSMUSG00000000058",954,725,780,900,1009,656,1159,752,915,1067,893,759
"ENSMUSG00000000078",3021,2393,2845,2101,2731,1820,3534,3528,3768,2690,2812,3049
"ENSMUSG00000000085",1743,1683,2109,2160,2220,1728,2345,1898,2201,1978,2023,1931
"ENSMUSG00000000088",17665,16493,21077,20644,23751,17149,21292,20270,23514,19386,19799,19910
"ENSMUSG00000000093",120,131,197,167,267,98,135,97,135,168,177,175
"ENSMUSG00000000094",198,173,212,292,291,234,273,182,236,235,255,238
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",44,62,86,70,56,34,68,24,59,30,36,58
"ENSMUSG00000000125",3,9,1,6,0,4,0,0,2,4,0,2
"ENSMUSG00000000126",493,523,792,870,795,606,811,725,779,768,796,708
"ENSMUSG00000000127",762,737,765,713,867,715,1154,1042,988,990,980,893
"ENSMUSG00000000131",444,522,725,567,610,415,671,421,536,576,552,541
"ENSMUSG00000000134",470,479,647,653,804,561,811,628,703,664,692,587
"ENSMUSG00000000142",1292,1163,1562,1691,2105,1262,1355,1068,1240,1024,1286,1086
"ENSMUSG00000000148",308,368,405,465,458,393,545,566,501,498,504,518
"ENSMUSG00000000149",1737,1910,2453,2292,2832,1732,3086,2573,2854,2461,2614,2686
"ENSMUSG00000000154",23,14,17,23,14,11,15,22,15,12,7,16
"ENSMUSG00000000157",0,0,0,1,1,0,0,0,0,4,0,1
"ENSMUSG00000000159",3,1,2,0,2,0,0,1,0,3,0,0
"ENSMUSG00000000167",15,8,4,3,8,9,20,10,12,12,11,6
"ENSMUSG00000000168",9302,8839,10200,10841,12310,8781,10934,10704,12284,9988,9973,10218
"ENSMUSG00000000171",8708,8329,9857,10383,12260,8765,11161,10734,12841,9803,10257,10154
"ENSMUSG00000000182",7,3,2,5,0,2,4,3,1,4,4,1
"ENSMUSG00000000183",381,484,480,199,374,224,535,352,440,369,493,308
"ENSMUSG00000000184",797,853,1028,1146,1110,587,1667,1005,1233,1358,1149,1290
"ENSMUSG00000000194",1689,1683,2186,2129,2454,1666,2682,2137,2361,2167,2249,2250
"ENSMUSG00000000197",40,67,58,54,97,54,71,55,53,75,75,56
