"","Mmus_C57-6J_TA_FLT_Rep1_M23","Mmus_C57-6J_TA_FLT_Rep2_M24","Mmus_C57-6J_TA_FLT_Rep3_M25","Mmus_C57-6J_TA_FLT_Rep4_M26","Mmus_C57-6J_TA_FLT_Rep5_M27","Mmus_C57-6J_TA_FLT_Rep6_M28","Mmus_C57-6J_TA_GC_Rep1_M33","Mmus_C57-6J_TA_GC_Rep2_M34","Mmus_C57-6J_TA_GC_Rep3_M35","Mmus_C57-6J_TA_GC_Rep4_M36","Mmus_C57-6J_TA_GC_Rep5_M37","Mmus_C57-6J_TA_GC_Rep6_M38"
"ENSMUSG00000000001",864,883,940,917,951,890,1052,821,724,792,793,865
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",101,108,117,116,118,126,120,120,92,79,124,108
"ENSMUSG00000000031",21282,19287,21513,29682,15534,17441,30045,27180,27605,25827,20827,26999
"ENSMUSG00000000037",3,7,8,5,6,6,13,11,7,4,5,6
"ENSMUSG00000000049",11,7,20,8,25,10,13,30,22,12,14,17
"ENSMUSG00000000056",6690,5539,6889,6369,5700,6034,7126,6152,5658,5393,5472,6437
"ENSMUSG00000000058",820,878,880,1213,970,931,1365,1075,798,995,944,1228
"ENSMUSG00000000078",2919,2627,3259,2200,2129,2188,3557,3150,2614,2275,2423,3242
"ENSMUSG00000000085",1954,1691,2055,1986,1743,1849,2268,1852,1721,1664,1549,1772
"ENSMUSG00000000088",12515,11345,12600,14276,12000,11995,11982,11551,11702,10496,9927,11996
"ENSMUSG00000000093",164,139,187,339,267,265,172,157,146,212,217,217
"ENSMUSG00000000094",73,78,58,83,72,92,90,78,94,85,69,59
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",82,100,122,45,51,59,162,106,84,99,84,109
"ENSMUSG00000000125",0,0,3,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000126",471,486,469,695,550,578,755,554,588,633,487,680
"ENSMUSG00000000127",703,700,702,810,731,618,898,741,635,654,600,734
"ENSMUSG00000000131",2228,2188,2384,2461,2220,2259,2731,2402,2200,2222,2125,2388
"ENSMUSG00000000134",524,540,593,732,575,628,684,510,524,608,591,594
"ENSMUSG00000000142",551,526,559,599,547,597,626,505,474,568,529,551
"ENSMUSG00000000148",281,276,315,287,312,291,416,354,281,359,355,361
"ENSMUSG00000000149",1438,1312,1490,1747,1611,1352,1602,1213,1117,1174,1104,1278
"ENSMUSG00000000154",7,10,11,15,10,6,10,5,15,9,4,5
"ENSMUSG00000000157",0,0,0,0,0,0,1,2,1,0,0,0
"ENSMUSG00000000159",0,0,0,1,1,0,0,0,0,0,0,1
"ENSMUSG00000000167",16,17,6,11,8,14,18,16,17,9,11,12
"ENSMUSG00000000168",10280,8705,9254,12061,9575,9628,10023,9260,9585,8634,9139,10813
"ENSMUSG00000000171",8174,7039,7679,9162,8039,7729,7908,7647,7491,6775,7035,8523
"ENSMUSG00000000182",1,0,3,1,0,2,2,3,1,0,2,4
"ENSMUSG00000000183",513,418,514,369,346,344,446,235,238,380,278,284
"ENSMUSG00000000184",729,904,872,1352,827,808,1267,719,721,752,663,1194
"ENSMUSG00000000194",2302,2193,2350,2427,2415,2165,2690,2295,2087,2085,1971,2250
"ENSMUSG00000000197",47,42,38,64,49,51,52,42,37,42,41,55
"ENSMUSG00000000202",4,2,2,4,1,1,1,1,1,6,0,4
"ENSMUSG00000000204",11,17,8,29,15,11,7,6,6,11,4,12
"ENSMUSG00000000214",9,7,18,15,7,8,13,13,35,20,8,17
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000216",1,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000223",446,364,378,521,450,491,629,356,381,457,374,388
"ENSMUSG00000000244",26,18,17,27,7,22,36,18,12,35,20,22
"ENSMUSG00000000247",9,7,6,8,5,9,7,6,6,18,3,3
"ENSMUSG00000000248",1,0,0,1,1,3,0,0,0,1,0,0
"ENSMUSG00000000253",5287,4585,5204,4551,3574,4298,6093,5635,5145,4549,4791,5729
"ENSMUSG00000000263",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",464,488,535,597,501,492,634,522,423,462,436,576
"ENSMUSG00000000275",990,999,1085,1756,1068,1159,1313,1153,921,1176,1072,1237
"ENSMUSG00000000276",503,557,539,848,581,659,786,688,614,677,699,681
"ENSMUSG00000000278",266,357,332,408,317,360,430,276,286,318,303,343
"ENSMUSG00000000282",821,869,969,649,724,588,812,680,719,737,776,946
"ENSMUSG00000000290",110,136,149,166,91,96,158,83,85,113,72,96
"ENSMUSG00000000295",167,178,184,211,115,175,221,208,163,153,129,167
"ENSMUSG00000000296",721,619,693,666,652,591,802,714,639,533,630,659
"ENSMUSG00000000301",38,30,29,34,43,25,43,33,31,35,31,41
"ENSMUSG00000000303",18,10,22,31,7,12,20,4,9,8,17,5
"ENSMUSG00000000305",205,221,222,119,91,103,791,197,377,139,251,223
"ENSMUSG00000000308",1,1,0,2,0,0,0,2,0,0,1,0
"ENSMUSG00000000317",746,590,680,534,706,406,688,343,352,513,556,709
"ENSMUSG00000000318",50,55,63,94,42,61,119,81,51,60,65,66
"ENSMUSG00000000320",64,58,50,83,80,64,74,50,47,42,38,46
"ENSMUSG00000000326",1247,1056,1197,1437,1313,1288,1337,1145,1101,1085,1001,1214
"ENSMUSG00000000339",653,660,716,756,591,729,812,621,624,572,570,663
"ENSMUSG00000000340",1995,1908,1860,2095,1876,2029,2088,1792,1768,1196,1381,1539
"ENSMUSG00000000346",2691,2619,3029,2774,2543,2752,3212,2829,2680,2741,2585,3097
"ENSMUSG00000000355",733,752,733,784,727,707,811,731,645,664,587,638
"ENSMUSG00000000359",159,115,151,183,152,181,217,208,181,216,173,234
"ENSMUSG00000000365",1,0,3,2,7,2,4,3,0,7,5,7
"ENSMUSG00000000374",3667,3268,3684,3690,3326,3310,3746,3357,3076,2993,2829,3322
"ENSMUSG00000000378",634,536,610,698,652,648,791,573,624,562,573,662
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1947,1843,2063,2539,2032,2096,1999,1935,1874,1881,1773,2040
"ENSMUSG00000000385",2,0,6,10,5,5,5,3,3,3,3,3
"ENSMUSG00000000386",20,21,12,52,5,19,23,3,11,17,14,25
"ENSMUSG00000000392",407,764,696,603,638,722,729,438,427,701,545,707
"ENSMUSG00000000394",1,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000399",8174,7422,8242,9091,6792,7500,7774,7547,7469,6508,6406,7749
"ENSMUSG00000000402",8,16,9,23,16,16,18,5,7,9,13,16
"ENSMUSG00000000409",12,5,4,5,1,6,10,2,2,5,3,4
"ENSMUSG00000000411",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000416",80,83,72,125,115,125,131,110,97,88,86,90
"ENSMUSG00000000420",4206,3636,4072,4171,4134,3782,4442,3509,3421,3330,3138,3778
"ENSMUSG00000000435",49,23,32,48,35,35,37,32,35,36,39,38
"ENSMUSG00000000439",2328,2132,2320,2342,2007,2239,2554,2308,2175,2083,2106,2294
"ENSMUSG00000000440",185,220,226,227,175,181,279,194,179,186,136,203
"ENSMUSG00000000441",7463,6452,7332,8215,7057,7329,7616,6665,6174,5691,5504,6389
"ENSMUSG00000000486",36,34,34,33,29,58,51,22,24,47,33,21
"ENSMUSG00000000489",1410,1295,1488,1656,1507,1217,1499,1096,795,1137,976,1407
"ENSMUSG00000000530",670,636,696,852,643,730,861,617,510,588,582,710
"ENSMUSG00000000531",225,242,260,396,368,290,337,213,251,272,266,277
"ENSMUSG00000000532",2672,2362,3300,2701,2968,2464,3055,3267,3690,2772,2614,2801
"ENSMUSG00000000538",6149,5337,5718,6928,5930,6016,7082,6355,5905,6277,6274,7403
"ENSMUSG00000000544",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",249,233,244,343,262,271,378,314,267,297,290,304
"ENSMUSG00000000555",734,640,715,1066,917,761,838,622,533,712,592,782
"ENSMUSG00000000560",0,2,0,1,1,2,3,0,1,0,1,0
"ENSMUSG00000000561",547,532,495,565,629,601,675,585,537,505,522,522
"ENSMUSG00000000562",2,4,4,9,1,4,5,4,3,4,2,11
"ENSMUSG00000000563",19074,16726,18257,19808,16469,17077,18382,17221,17363,15664,14958,18112
"ENSMUSG00000000567",165,142,179,211,229,190,139,94,129,115,120,117
"ENSMUSG00000000568",2711,2528,2758,2841,3022,2778,3226,2883,2649,2638,2707,2717
"ENSMUSG00000000579",49,36,25,61,52,56,65,47,47,44,35,60
"ENSMUSG00000000581",849,721,870,817,798,840,931,904,691,749,716,792
"ENSMUSG00000000594",650,717,785,665,534,650,907,672,662,591,559,715
"ENSMUSG00000000600",1826,1607,1760,1868,1834,1879,2160,1705,1608,1601,1716,1801
"ENSMUSG00000000605",3460,3117,3426,3625,2909,3057,3634,2933,2858,2477,2584,3030
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",5,13,10,15,10,9,3,6,11,15,9,10
"ENSMUSG00000000628",27980,25079,28041,31261,26670,24512,27305,25094,24795,26763,30594,36732
"ENSMUSG00000000631",17316,16234,17888,24094,20957,20902,19904,17244,16412,18347,15211,17093
