"","Mmus_BAL-TAL_LVR_BSL_Rep1_B1","Mmus_BAL-TAL_LVR_BSL_Rep2_B2","Mmus_BAL-TAL_LVR_BSL_Rep3_B3","Mmus_BAL-TAL_LVR_BSL_Rep4_B4","Mmus_BAL-TAL_LVR_BSL_Rep5_B6","Mmus_BAL-TAL_LVR_BSL_Rep6_B7","Mmus_BAL-TAL_LVR_FLT_Rep1_F1","Mmus_BAL-TAL_LVR_FLT_Rep2_F2","Mmus_BAL-TAL_LVR_FLT_Rep3_F3","Mmus_BAL-TAL_LVR_FLT_Rep4_F4","Mmus_BAL-TAL_LVR_FLT_Rep5_F5","Mmus_BAL-TAL_LVR_FLT_Rep6_F6","Mmus_BAL-TAL_LVR_GC_Rep1_G1","Mmus_BAL-TAL_LVR_GC_Rep2_G2","Mmus_BAL-TAL_LVR_GC_Rep3_G3","Mmus_BAL-TAL_LVR_GC_Rep4_G5","Mmus_BAL-TAL_LVR_GC_Rep5_G6","Mmus_BAL-TAL_LVR_GC_Rep6_G7"
"ENSMUSG00000000001",7149,7433,6195,7146,6205,6446,4584,6198,5888,5911,5060,6598,5622,7109,6455,6091,8344,6518
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",29,68,46,70,90,29,40,75,26,48,41,36,17,73,41,24,44,22
"ENSMUSG00000000031",15,17,16,32,43,14,3,81,4,11,6,13,13,32,40,7,42,11
"ENSMUSG00000000037",10,3,9,16,10,1,6,8,3,8,7,2,9,4,1,0,16,10
"ENSMUSG00000000049",102045,94332,74506,79963,52525,72305,59909,76293,65739,83233,63031,71274,79004,100618,102825,95508,93134,73825
"ENSMUSG00000000056",4003,3215,3361,3502,1934,2006,2012,3039,1345,1872,1293,1447,2458,3102,1642,1512,1828,1398
"ENSMUSG00000000058",230,239,287,245,355,261,122,223,129,127,192,253,147,244,151,183,262,308
"ENSMUSG00000000078",856,674,773,768,847,662,510,674,822,826,747,1015,484,747,1182,832,1328,862
"ENSMUSG00000000085",300,242,250,315,258,188,174,276,246,246,276,424,257,316,366,328,421,302
"ENSMUSG00000000088",5761,6001,4945,4913,3815,4530,3265,4432,4572,4113,3377,4568,4359,4305,4432,4778,5820,4970
"ENSMUSG00000000093",189,236,259,272,221,149,119,241,133,108,164,225,140,213,151,202,276,134
"ENSMUSG00000000094",5,5,2,1,4,0,2,4,3,0,0,2,1,2,4,0,2,2
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",254,150,188,177,194,118,118,148,219,199,200,317,174,189,260,316,432,280
"ENSMUSG00000000125",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"ENSMUSG00000000126",15,26,21,31,15,14,13,17,11,12,29,18,30,14,20,18,23,8
"ENSMUSG00000000127",740,594,594,569,545,461,449,549,571,580,535,721,594,657,660,706,798,563
"ENSMUSG00000000131",1911,1629,1744,2063,1233,1052,1006,1522,1391,1547,1759,2253,1518,1975,2570,1776,2527,1494
"ENSMUSG00000000134",653,519,546,628,465,410,315,484,515,572,522,686,489,589,881,609,801,508
"ENSMUSG00000000142",329,299,278,473,313,387,232,196,301,497,521,658,383,391,861,637,491,643
"ENSMUSG00000000148",507,438,388,506,283,259,248,356,383,400,413,512,381,488,653,479,646,320
"ENSMUSG00000000149",6406,5582,6383,7420,3052,2794,3176,5178,2922,2981,4472,4135,4111,5826,7146,3705,5819,3293
"ENSMUSG00000000154",2984,2227,1643,2270,1165,1970,1173,1942,1768,2304,1190,1776,1807,2673,2583,1929,2755,1958
"ENSMUSG00000000157",0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0
"ENSMUSG00000000159",1677.11,1861,1772.03,1781,1667,1839.8,1482,1656,1319,1636,1421,1632,1718.74,1916,1289,1690.81,1958.84,2150.53
"ENSMUSG00000000167",46,22,25,29,35,31,17,21,25,31,23,24,17,30,29,33,32,29
"ENSMUSG00000000168",2411,2368,2104,2411,1823,1906,1389,2185,2444,2699,2164,3019,2005,2303,2576,2222,3427,2735
"ENSMUSG00000000171",14569,17597,14567,14900,12295,13973,11493,14925,9722,10549,9431,11920,12717,13770,11397,12662,14928,15222
"ENSMUSG00000000182",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000000184",1770,1250,1962,1896,1246,1173,839,790,1058,825,1177,1269,993,1354,1226,1269,2012,1259
"ENSMUSG00000000194",1159,1109,977,1319,970,818,717,941,685,894,794,1013,886,1349,1092,978,1328,887
"ENSMUSG00000000197",7,8,3,4,8,4,0,6,3,3,3,1,5,7,2,3,10,6
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",72,95,88,122,150.4,61,77,45,53.14,50,99.53,142,47,66,44.13,92.14,116.14,50
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000000216",1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
"ENSMUSG00000000223",5,0,6,5,4,4,0,2,0,3,0,3,3,3,3,2,6,4
"ENSMUSG00000000244",21,16,24,27,31,17,29,8,24,19,17,29,20,10,27,39,23,16
"ENSMUSG00000000247",166,122,139,146,139,98,76,112,168,102,105,222,115,114,207,148,242,124
"ENSMUSG00000000248",0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000253",40,62,55,44,58,56,35,55,48,32,36,57,44,39,85,54,68,42
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",519,505,513,571,444,347,328,519,393,479,502,728,465,565,630,586,837,575
"ENSMUSG00000000275",5572,5008,4456,6532,3214,3383,4059,2890,2589,3532,4220,5660,5203,5474,6041,5494,5961,4207
"ENSMUSG00000000276",70,45,58,91,59,79,52,58,69,60,72,75,62,58,67,69,107,76
"ENSMUSG00000000278",1720,1195,988,1298,1115,1123,789,1248,850,1349,985,1266,1146,1635,1529,1362,1659,1271
"ENSMUSG00000000282",257,170,229,253,241,187,97,142,218,144,169,294,162,170,353,198,277,146
"ENSMUSG00000000290",490,399,404,489,335,348,332,321,193,267,265,352,253,404,382,339,490,260
"ENSMUSG00000000295",57,61,42,51,53,48,50,24,42,36,41,48,58,23,34,45,67,59
"ENSMUSG00000000296",434,463,272,360,324,386,251,351,327,277,208,327,374,345,245,315,338,270
"ENSMUSG00000000301",11261,11105,9475,10876,8654,9570,7322,9592,7222,9890,7438,7839,10388,12739,11283,12032,10618,9543
"ENSMUSG00000000303",517,334,268,374,312,253,85,380,251,385,268,319,258,365,585,296,401,265
"ENSMUSG00000000305",105,91,78,97,60,67,23,62,51,52,52,55,63,68,81,73,84,59
"ENSMUSG00000000308",8,4,3,4,0,2,2,7,0,2,19,0,3,0,6,3,5,7
"ENSMUSG00000000317",125,191,188,196,114,119,61,79,61,98,84,120,94,135,94,73,72,133
"ENSMUSG00000000318",14,27.71,14,17,15,10,12,14,12,10.47,13,9,7,23,12,14,19,13.76
"ENSMUSG00000000320",76,36,52,83,76,35,20,30,39,49,29,38,44,35,40,47,64,60
"ENSMUSG00000000325",1300,1135,1245,1438,1184,947,829,1174,970,1017,910,1331,1088,1067,1281,1131,1549,941
"ENSMUSG00000000326",15613,18000,17827,21934,11637,10562,13631,18536,14814,18336,15408,19147,15520,20499,20940,17499,23331,18072
"ENSMUSG00000000339",364,358,270,348,267,239,234,280,256,320,295,297,296,292,318,288,423,279
"ENSMUSG00000000340",6693,6341,4626,5401,3949,5861,3286,4376,5508,5268,3450,5783,4272,4746,5982,4975,7843,5235
"ENSMUSG00000000346",3830.51,3099.15,3017.49,3264.8,2197.16,2201.08,2026.3,2756.75,3113.65,2936.6,2862.41,3912.74,3043.92,3374.54,4308.44,3759.34,4416.31,3067
"ENSMUSG00000000355",661,783,696,729,648,677,375,662,581,615,597,777,622,679,760,690,814,748
