"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000000001",1269,1264,1148,1455,1237
"ENSMUSG00000000003",0,0,0,0,0
"ENSMUSG00000000028",63,145,134,161,175
"ENSMUSG00000000031",0,5,7,2,3
"ENSMUSG00000000037",3,6,6,7,12
"ENSMUSG00000000049",0,0,0,0,0
"ENSMUSG00000000056",479,697,677,745,708
"ENSMUSG00000000058",25,109,133,155,145
"ENSMUSG00000000078",1218,980,1198,1289,1009
"ENSMUSG00000000085",125,124,222,210,120
"ENSMUSG00000000088",295,348,692,634,343
"ENSMUSG00000000093",0,33,40,37,30
"ENSMUSG00000000094",0,0,0,3,3
"ENSMUSG00000000103",0,0,0,0,0
"ENSMUSG00000000120",28,41,123,88,41
"ENSMUSG00000000125",4,0,5,3,0
"ENSMUSG00000000126",0,4,7,8,0
"ENSMUSG00000000127",12,73,68,78,78
"ENSMUSG00000000131",1211,912,1473,1269,879
"ENSMUSG00000000134",259,333,519,495,345
"ENSMUSG00000000142",136,102,220,195,84
"ENSMUSG00000000148",294,264,405,379,259
"ENSMUSG00000000149",232.79,577.29,861.88,744.28,508.08
"ENSMUSG00000000154",1,11,8,5,10
"ENSMUSG00000000157",5,6,4,28,9
"ENSMUSG00000000159",2,1,2,0,0
"ENSMUSG00000000167",1,4,4,4,2
"ENSMUSG00000000168",224,221,270,292,216
"ENSMUSG00000000171",378,475,801,737,560
"ENSMUSG00000000182",0,1,0,0,0
"ENSMUSG00000000183",0,0,0,0,1
"ENSMUSG00000000184",1920.54,1644,2293.97,2211.96,1706.81
"ENSMUSG00000000194",425,631,897,773,607
"ENSMUSG00000000197",0,1,0,1,1
"ENSMUSG00000000202",0,0,1,1,0
"ENSMUSG00000000204",139,99,125.04,110,81
"ENSMUSG00000000214",0,0,0,0,0
"ENSMUSG00000000215",0,5,6,4,9
"ENSMUSG00000000216",0,0,0,0,1
"ENSMUSG00000000223",1,9,4,2,7
"ENSMUSG00000000244",1022,709,1138,1077,702.86
"ENSMUSG00000000247",0,1,1,3,1
"ENSMUSG00000000248",14,14,17,9,15
"ENSMUSG00000000253",4,15,31,41,21.04
"ENSMUSG00000000263",0,0,0,0,0
"ENSMUSG00000000266",10,73,49,92,71
"ENSMUSG00000000275",1635,1377,2190,1884,1326
"ENSMUSG00000000276",252,221,298,257,182
"ENSMUSG00000000278",420,658,870,742,629
"ENSMUSG00000000282",474,369,721,561,352
"ENSMUSG00000000290",2820,3406,3860,3418,3242
"ENSMUSG00000000295",88,72,116,100,76
"ENSMUSG00000000296",0,4,5,3,3
"ENSMUSG00000000301",3,4,6,9,3
"ENSMUSG00000000303",33,57,50,39,61
"ENSMUSG00000000305",1,37,41,34,36
"ENSMUSG00000000308",0,3,0,2,2
"ENSMUSG00000000317",10,65,103,78,66
"ENSMUSG00000000318",36.84,59,66,64.72,36
"ENSMUSG00000000320",18,202,133,235,170
"ENSMUSG00000000325",36,332,564.33,480,335
"ENSMUSG00000000326",146,433.09,561.19,574.78,400
"ENSMUSG00000000339",154.37,163.84,238.24,229.03,171.8
"ENSMUSG00000000340",200,224,230,305,223
"ENSMUSG00000000346",2579,2648,4195,3591,2755
"ENSMUSG00000000355",205,128,177,218,134
"ENSMUSG00000000359",3,61,107,84,64
"ENSMUSG00000000365",4,11,5,6,14
"ENSMUSG00000000374",642,664,901,938,683
"ENSMUSG00000000378",1298,1030,1664,1294,1001
"ENSMUSG00000000381",0,0,0,0,0
"ENSMUSG00000000384",336,293,465.41,441,299
"ENSMUSG00000000385",0,3,3,1,4
"ENSMUSG00000000386",167,130.39,184,192.7,163.67
"ENSMUSG00000000392",5,9,5,12,10
"ENSMUSG00000000394",0,9,0,1,4
"ENSMUSG00000000399",315,396,657,488,414
"ENSMUSG00000000402",6,10,13,11,12
"ENSMUSG00000000409",2346,1469,2718,2112,1467
"ENSMUSG00000000411",0,3,0,1,1
"ENSMUSG00000000416",4,31,37,52,38
"ENSMUSG00000000420",1300,1365,1367,1545,1414
"ENSMUSG00000000435",0,0,0,0,0
