"","Mmus_BAL-TAL_ADR_BSL_Rep1_B1","Mmus_BAL-TAL_ADR_BSL_Rep2_B3","Mmus_BAL-TAL_ADR_BSL_Rep3_B4","Mmus_BAL-TAL_ADR_BSL_Rep4_B7","Mmus_BAL-TAL_ADR_BSL_Rep5_B8","Mmus_BAL-TAL_ADR_FLT_Rep1_F1","Mmus_BAL-TAL_ADR_FLT_Rep2_F3","Mmus_BAL-TAL_ADR_FLT_Rep3_F4","Mmus_BAL-TAL_ADR_FLT_Rep4_F7","Mmus_BAL-TAL_ADR_FLT_Rep5_F8","Mmus_BAL-TAL_ADR_GC_Rep1_G1","Mmus_BAL-TAL_ADR_GC_Rep2_G3","Mmus_BAL-TAL_ADR_GC_Rep3_G4","Mmus_BAL-TAL_ADR_GC_Rep4_G7","Mmus_BAL-TAL_ADR_GC_Rep5_G8"
"ENSMUSG00000000001",18948,22019,25809,23291,24194,17367,12241,19072,19067,20197,21693,20312,16918,20524,15669
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",576,603,512,685,656,391,333,478,486,538,591,576,446,408,424
"ENSMUSG00000000031",50,71,43,71,67,79,83,67,96,82,89,71,76,75,75
"ENSMUSG00000000037",62,67,71,64,47,130,55,77,87,96,69,70,111,119,80
"ENSMUSG00000000049",61,51,71,165,131,120,30,71,214,173,51,222,180,52,74
"ENSMUSG00000000056",1924,2161,1814,1707,2022,2130,1585,2302,2157,1922,2485,1569,2190,1927,1876
"ENSMUSG00000000058",2037,3477,3086,2236,3975,2723,2079,2478,3574,2654,2136,2294,2980,2724,2899
"ENSMUSG00000000078",5069,6729,6287,5473,5876,5233,3709,5303,5152,8709,6065,5548,4378,6855,6589
"ENSMUSG00000000085",1554,1259,1583,1313,1057,1654,1316,1528,1653,1336,1510,1454,1351,1457,1530
"ENSMUSG00000000088",4141,5805,4538,4133,5190,4733,4423,4269,4603,5464,3848,6002,4882,4968,5721
"ENSMUSG00000000093",1886,1768,2018,1931,1666,2459,1989,2391,2407,1683,2967,1762,2352,2428,2171
"ENSMUSG00000000094",12,7,16,10,7,17,17,24,13,8,2,15,20,26,17
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",313,172,222,251,133,421,285,265,270,216,262,241,372,444,288
"ENSMUSG00000000125",5,6,8,2,9,23,12,13,7,5,7,7,6,9,3
"ENSMUSG00000000126",73,105,73,170,102,185,160,146,158,130,120,74,184,166,101
"ENSMUSG00000000127",2490,2833,3165,2144,2261,3009,2091,2926,2928,2784,2731,2628,2534,2948,2770
"ENSMUSG00000000131",8591,8357,10120,8242,7817,8398,6411,9229,8560,8034,10265,7909,8119,9015,7822
"ENSMUSG00000000134",2255,2073,2449,2300,1843,2182,1990,2336,2292,2110,2457,2322,2232,2256,2317
"ENSMUSG00000000142",3049,2641,3513,3648,2733,3712,2919,3823,3149,2157,4079,2788,3183,3235,2893
"ENSMUSG00000000148",2255,2043,2268,1790,1871,2081,1679,2358,2140,1821,2231,1669,2097,2010,2173
"ENSMUSG00000000149",16116,13000,14073,13338,12231,12224,10898,15245,13743,11731,16228,12473,12663,12780,10828
"ENSMUSG00000000154",155,194,212,207,176,167,126,192,292,151,163,200,180,173,222
"ENSMUSG00000000157",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",0,2,1,2,10,3,0,3,2,2,7,1,0,2,4
"ENSMUSG00000000167",99,97,105,65,101,149,105,145,135,115,151,93,155,114,141
"ENSMUSG00000000168",6094,8275,6512,5876,8697,8056,7538,7212,9617,8321,5928,10009,9000,8047,9509
"ENSMUSG00000000171",8162,11282,8873,7735,10100,9680,7078,8699,9529,10572,8239,10913,10669,10071,10470
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",51069,64493,82768,56367,53329,57615,36261,59833,51244,59500,61483,62607,53024,61337,55409
"ENSMUSG00000000194",8079,8950,9611,8317,8176,7776,5871,8391,7879,8108,8526,8108,7417,8022,8046
"ENSMUSG00000000197",1870,1340,1800,1722,1393,1792,1632,1979,1737,1352,1807,1579,1740,2215,1683
"ENSMUSG00000000202",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000000204",26,35,36,29,12,10,20,21,27,34,21,35,37,20,72
"ENSMUSG00000000214",13583,9001,14021,14577,10933,11345,13066,15431,9838,11579,10751,12446,17124,11432,9770
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,7,4,8,1,9,2,9,5,5,13,4,10,1,8
"ENSMUSG00000000223",107,74,98,95,59,185,88,121,116,89,93,132,122,187,113
"ENSMUSG00000000244",7,6,14,12,9,7,14,8,24,5,10,10,10,13,18
"ENSMUSG00000000247",1,1,3,1,3,1,3,1,1,3,1,4,1,2,1
"ENSMUSG00000000248",0,0,0,0,0,0,0,1,1,1,0,1,0,2,0
"ENSMUSG00000000253",812,600,650,688,600,921,760,883,654,725,889,741,832,833,705
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000000266",4027,4253,4786,4074,4037,4315,3202,4484,4770,4810,5168,4015,4259,4558,3863
"ENSMUSG00000000275",28214,26205,31527,27479,25473,23493,18120,24899,27817,30565,24802,27401,25713,28222,25807
"ENSMUSG00000000276",2275,1984,2232,2208,2188,1872,1728,1956,1847,3236,2240,2285,1645,2848,2070
"ENSMUSG00000000278",14700,13810,13980,12948,12204,13641,10041,13239,12975,11402,13870,13516,12427,13180,12218
"ENSMUSG00000000282",1732,1616,2044,1909,1479,1669,1533,1679,1861,1392,1836,1460,1589,1098,1208
"ENSMUSG00000000290",1406,1066,1180,1218,1120,1063,839,1493,1308,899,1449,1228,1388,1177,1554
"ENSMUSG00000000295",1476,1500,1551,1195,1306,1702,1144,1636,1573,1128,1748,1379,1334,1431,1427
"ENSMUSG00000000296",1294,1154,1336,1088,1201,1298,1094,1337,1236,1049,1392,1148,1131,1481,1274
"ENSMUSG00000000301",147,168,210,168,154,177,106,170,190,133,165,171,190,160,183
"ENSMUSG00000000303",20,80,18,41,52,40,13,32,37,38,53,40,22,26,41
"ENSMUSG00000000305",532,363,395,614,512,520,575,542,475,432,587,485,497,501,548
"ENSMUSG00000000308",148,107,163,134,139,141,151,177,137,105,181,144,156,163,136
"ENSMUSG00000000317",1148,1002,1242,1143,886,805,658,957,876,590,962,671,883,980,697
"ENSMUSG00000000318",19,78,45,25,104,36,9,30,54,49,21,81,52,29,51
"ENSMUSG00000000320",170,222,328,182,148,323,178,300,233,179,253,153,263,341,345
"ENSMUSG00000000326",9943,9859,10538,9018,11913,16623,13023,16306,18766,15384,13235,13682,17769,18678,22106
