"","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F3","Mmus_C57-6T_LVR_GC_Rep1_G1","Mmus_C57-6T_LVR_GC_Rep2_G2","Mmus_C57-6T_LVR_GC_Rep3_G3","Mmus_C57-6T_SPL_FLT_Rep1_F1","Mmus_C57-6T_SPL_FLT_Rep2_F2","Mmus_C57-6T_SPL_FLT_Rep3_F3","Mmus_C57-6T_SPL_GC_Rep1_G1","Mmus_C57-6T_SPL_GC_Rep2_G2","Mmus_C57-6T_SPL_GC_Rep3_G3"
"ENSMUSG00000000001",2243,2093,520,1725,1720,1410,2102,2593,2881,2101,2706,2368
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",45,27,33,21,28,25,703,504,579,308,292,366
"ENSMUSG00000000031",18,5,6,10,5,5,7,15,16,16,13,16
"ENSMUSG00000000037",2,1,0,1,0,0,41,29,19,11,9,14
"ENSMUSG00000000049",36850,37170,37702,39463,36081,32264,1,5,22,1,19,0
"ENSMUSG00000000056",1336,1734,307,1461,1056,863,2364,2028,1386,723,1202,1234
"ENSMUSG00000000058",89,93,31,66,50,77,185,274,277,278,221,256
"ENSMUSG00000000078",253,219,106,202,177,220,1491,1784,2044,1786,2056,1878
"ENSMUSG00000000085",228,169,106,163,136,125,381,470,472,396,341,365
"ENSMUSG00000000088",1086,1415,818,1054,1241,1096,562,601,730,1008,565,637
"ENSMUSG00000000093",155,151,200,118,162,141,125,245,224,173,144,113
"ENSMUSG00000000094",1,0,2,0,0,1,3,3,0,0,0,2
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",141,78,31,55,54,62,213,164,240,164,171,151
"ENSMUSG00000000125",0,0,0,0,0,0,4,4,4,10,9,4
"ENSMUSG00000000126",6,13,9,14,11,19,7,6,10,4,5,10
"ENSMUSG00000000127",173,151,64,152,152,109,161,185,166,128,109,126
"ENSMUSG00000000131",853,790,447,734,623,544,1834,2525,3055,1963,2273,2300
"ENSMUSG00000000134",494,398,200,357,336,337,740,891,985,761,760,843
"ENSMUSG00000000142",292,82,19,187,144,143,127,185,211,138,223,226
"ENSMUSG00000000148",267,242,92,220,203,197,477,608,878,578,640,575
"ENSMUSG00000000149",1902,1561,1152,1392,1039,1253,983,986,1206,1340,839,925
"ENSMUSG00000000154",1683,1700,1556,1561,1493,1222,14,11,20,24,6,11
"ENSMUSG00000000157",139,76,11,80,63,71,30,13,12,46,19,21
"ENSMUSG00000000159",126,114,184,112,79,75,0,0,0,1,0,0
"ENSMUSG00000000167",4,4,7,1,9,4,12,4,6,1,10,9
"ENSMUSG00000000168",1202,1152,419,890,871,714,595,653,712,595,574,555
"ENSMUSG00000000171",3683,3923,3357,3841,3605,3450,1231,1250,1441,1932,1201,1097
"ENSMUSG00000000182",0,0,0,1,0,0,3,1,3,2,1,1
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000000184",341,202,69,201,184,255,4017,4267,5794,2848,4424,4162
"ENSMUSG00000000194",471,476,188,422,411,393,961,1214,1638,1012,1194,1109
"ENSMUSG00000000197",1,0,0,1,0,3,3,2,3,2,2,3
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,1,1,2,1
"ENSMUSG00000000204",43,4,7,18,11,25,373,181,154,318,380,308
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,1,1,1,0,0,0
"ENSMUSG00000000223",0,1,0,2,0,0,33,28,24,13,14,12
"ENSMUSG00000000244",24,23,39,35,32,20,1301,1729,2075,1897,1640,1576
"ENSMUSG00000000247",63,57,23,39,52,39,8,10,15,6,5,5
"ENSMUSG00000000248",3,0,0,3,0,1,106,110,136,120,110,135
"ENSMUSG00000000253",28,17,22,15,15,23,53,52,61,140,56,51
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",190,144,22,153,120,104,182,260,280,153,198,218
"ENSMUSG00000000275",2615,1799,855,1777,1814,1450,3316,3872,4583,2265,2883,2848
"ENSMUSG00000000276",63,23,15,44,24,38,399,566,706,403,515,522
"ENSMUSG00000000278",1183,853,626,712,630,664,929,1100,1334,1484,1126,940
"ENSMUSG00000000282",260,208,68,187,235,224,728,1049,1383,579,1035,969
"ENSMUSG00000000290",406,175,82,185,189,248,4946,4784,6311,6054,5082,5693
"ENSMUSG00000000295",22,17,46,27,17,18,152,193,255,437,188,182
"ENSMUSG00000000296",169,239,239,207,239,164,1,5,4,7,4,2
"ENSMUSG00000000301",6885,6574,10501,6223,5626,5222,13,11,26,21,18,19
"ENSMUSG00000000303",106,79,22,133,51,78,54,29,43,30,36,38
"ENSMUSG00000000305",8,21,6,5,17,15,54,53,98,50,53,72
"ENSMUSG00000000308",0,0,0,0,0,1,1,1,1,4,1,0
"ENSMUSG00000000317",116,90,68,95,57,58,158,215,230,150,197,151
"ENSMUSG00000000318",23,18,24,13,13,13,55,43,66,115,68,71
"ENSMUSG00000000320",44,24,12,33,21,26,372,437,383,497,430,331
"ENSMUSG00000000326",10581,8843,8840,7688,8086,6631,980,928,1043,1175,731,759
"ENSMUSG00000000339",161,170,176,173,134,117,427,455,543,733,437,410
"ENSMUSG00000000340",1929,2117,903,1928,2185,1560,320,380,487,417,427,380
"ENSMUSG00000000346",2428,2458,1095,2420,2153,2020,4688,5254,6152,7033,5347,4892
"ENSMUSG00000000355",471,494,394,410,470,399,496,640,757,786,688,625
"ENSMUSG00000000359",8,13,20,11,6,12,163,142,166,200,133,125
"ENSMUSG00000000365",2,1,1,0,2,2,13,25,23,22,8,16
"ENSMUSG00000000374",508,511,101,370,441,417,1854,1934,1960,900,1435,1472
"ENSMUSG00000000378",322,330,393,313,257,287,1408,1738,2285,2493,2025,1720
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000000384",605,703,476,633,586,525,852,1030,1341,951,947,907
"ENSMUSG00000000385",91,77,62,89,74,94,5,3,1,1,2,3
"ENSMUSG00000000386",141,43,47,71,70,77,450,503,596,541,437,494
"ENSMUSG00000000392",13,8,4,9,14,6,29,26,30,28,18,32
"ENSMUSG00000000394",0,0,0,0,0,0,7,3,2,3,1,3
"ENSMUSG00000000399",1472,1616,679,1556,1477,1531,710,705,813,948,727,695
"ENSMUSG00000000402",1,0,0,3,0,2,10,12,15,10,13,8
"ENSMUSG00000000409",52,30,39,49,36,43,1422,1906,2888,3166,2272,2495
"ENSMUSG00000000411",2,2,3,2,0,0,15,7,4,4,5,5
"ENSMUSG00000000416",5,6,1,6,2,18,74,76,89,56,44,84
"ENSMUSG00000000420",821,742,358,747,687,670,2766,2907,2891,2462,2601,2501
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",261,243,93,294,197,206,294,314,383,240,320,299
"ENSMUSG00000000440",221,183,121,208,126,137,248,165,143,448,160,207
"ENSMUSG00000000441",724,594,61,591,507,420,742,996,1130,502,928,900
"ENSMUSG00000000486",56,44,109,67,47,58,2704,3769,4413,6659,3678,3261
"ENSMUSG00000000489",32,20,9,24,23,30,284,272,342,376,289,295
"ENSMUSG00000000530",94,71,74,51,63,56,467,555,676,765,474,391
"ENSMUSG00000000531",31,43,49,27,37,47,103,123,159,150,120,139
"ENSMUSG00000000532",444,276,55,354,254,206,555,692,849,511,739,683
"ENSMUSG00000000538",785,558,232,661,383,408,661,798,1065,723,678,669
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000552",224,153,159,119,114,102,521,509,652,918,529,549
"ENSMUSG00000000555",553,287,309,264,244,254,366,306,370,455,251,250
"ENSMUSG00000000560",0,0,0,0,0,0,3,8,8,10,10,6
"ENSMUSG00000000561",168,176,260,201,127,145,279,382,443,643,371,336
"ENSMUSG00000000562",0,0,4,3,0,2,11,14,11,34,12,14
"ENSMUSG00000000563",4986,5952,5784,5177,4838,4408,2598,2511,2893,4540,2508,2559
"ENSMUSG00000000567",32,31,32,50,41,33,8,14,17,7,15,17
"ENSMUSG00000000568",997,838,274,1198,733,601,2962,3135,3447,3245,2630,2710
"ENSMUSG00000000579",28,19,20,25,25,19,147,189,239,131,242,182
"ENSMUSG00000000581",947,950,485,1010,903,823,631,642,737,1074,714,639
"ENSMUSG00000000594",2103,2014,2165,1507,1299,1213,3734,4364,5072,7831,4153,4051
"ENSMUSG00000000600",404,403,42,332,323,316,1160,1666,1813,912,1630,1497
