"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000000001",2844,2520,3887,3456,3413,3534
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",25,29,27,32,45,38
"ENSMUSG00000000031",15,6,4,2,23,23
"ENSMUSG00000000037",1,0,2,2,2,1
"ENSMUSG00000000049",64501,58738,50776,65874,60840,61178
"ENSMUSG00000000056",1075,1011,1241,1474,1269,1583
"ENSMUSG00000000058",217,155,215,200,307,216
"ENSMUSG00000000078",496,394,513,602,443,419
"ENSMUSG00000000085",70,101,74,88,95,106
"ENSMUSG00000000088",4381,3306,3582,3406,3053,3618
"ENSMUSG00000000093",101,123,84,108,106,105
"ENSMUSG00000000094",0,0,0,3,0,1
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",29,36,104,89,60,73
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",5,7,7,11,10,8
"ENSMUSG00000000127",219,234,387,289,376,371
"ENSMUSG00000000131",500,785,758,863,951,928
"ENSMUSG00000000134",128,221,299,374,313,381
"ENSMUSG00000000142",60,154,128,176,125,114
"ENSMUSG00000000148",87,132,199,258,238,208
"ENSMUSG00000000149",1234,1685,1458,2513,2172,2338
"ENSMUSG00000000154",1072,997,1114,1371,1370,1231
"ENSMUSG00000000157",1,1,1,1,2,0
"ENSMUSG00000000159",1257,1012,1710,943.38,1229,1277.14
"ENSMUSG00000000167",10,14,14,22,12,29
"ENSMUSG00000000168",1306,1189,1420,1062,1411,1191
"ENSMUSG00000000171",14156,8582,12143,8317,8917,9371
"ENSMUSG00000000182",0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",360,476,617,648,762,654
"ENSMUSG00000000194",554,650,600,764,721,714
"ENSMUSG00000000197",2,4,1,0,1,2
"ENSMUSG00000000202",0,0,0,0,0,0
"ENSMUSG00000000204",8.22,6,19.14,14,15.03,6
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,1,1,0,1
"ENSMUSG00000000223",0,0,0,0,5,0
"ENSMUSG00000000244",22,10,30,21,22,15
"ENSMUSG00000000247",47,82,42,83,61,73
"ENSMUSG00000000248",0,0,0,0,0,1
"ENSMUSG00000000253",19,26,46,38,47,44
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",185,205,184,174,205,209
"ENSMUSG00000000275",1668,1939,1839,1853,1663,1339
"ENSMUSG00000000276",70,80,46,66,72,60
"ENSMUSG00000000278",945,828,864,1027,1003,1102
"ENSMUSG00000000282",86,125,54,173,108,112
"ENSMUSG00000000290",190,155,366,419,320,243
"ENSMUSG00000000295",60,40,49,32,47,49
"ENSMUSG00000000296",365,167,183,152,153,166
"ENSMUSG00000000301",7483,5070,6701,6401,7167,7470
"ENSMUSG00000000303",233,292,485,655,579,423
"ENSMUSG00000000305",35,35,14,38,30,28
"ENSMUSG00000000308",0,8,4,0,1,1
"ENSMUSG00000000317",63,54,45,50,86,65
"ENSMUSG00000000318",10,10,11,13,12,6.57
"ENSMUSG00000000320",22,25,16,9,13,22
"ENSMUSG00000000325",623,692,572,707,585,745
"ENSMUSG00000000326",6329,4532,14523,11841,16369,11367
"ENSMUSG00000000339",204,178,216,210,170,216
"ENSMUSG00000000340",3512,3224,2553,3600,2764,3495
"ENSMUSG00000000346",1816,1613,1726,1686.88,1630,1552.9
"ENSMUSG00000000355",507,342,471,395,437,397
"ENSMUSG00000000359",7,12,18,13,6,16
"ENSMUSG00000000365",1,1,6,10,8,1
"ENSMUSG00000000374",809,1039,721,1123,966,1092
"ENSMUSG00000000378",334,332,399,412,431,437
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",501.97,519.63,321.62,422.46,524.57,517.76
"ENSMUSG00000000385",205,157,131,164,113,129
"ENSMUSG00000000386",41,24,39.18,52.63,45,28
"ENSMUSG00000000392",4,8,6,3,7,3
