"","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10"
"ENSMUSG00000000001",3417,3451,2323,2699,4509,3266,4490,2905,3098,3662,3539,3295,3121
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",247,251,159,224,268,198,195,206,148,209,246,158,226
"ENSMUSG00000000031",112,53,69,20,258,73,133,244,150,272,55,144,223
"ENSMUSG00000000037",119,121,89,124,141,81,111,105,124,113,109,102,111
"ENSMUSG00000000049",10,7,3,7,8,8,10,11,10,6,11,5,3
"ENSMUSG00000000056",6338,6104,4116,4927,5833,5769,6783,4368,3922,5250,5997,4655,4394
"ENSMUSG00000000058",1352,1348,777,1193,1882,1676,1896,1149,1309,1741,2000,1654,1778
"ENSMUSG00000000078",2177,1943,1258,1597,2794,1819,2596,1917,1918,2102,2111,1601,2091
"ENSMUSG00000000085",1364,1342,1241,1475,1440,1215,1408,1110,1748,1374,1336,1307,1329
"ENSMUSG00000000088",2616,1902,1494,1753,2706,2235,2597,1595,1692,2408,2282,1905,1890
"ENSMUSG00000000093",3663,3877,2575,3523,3991,3356,4031,3548,4348,3751,3937,3503,3622
"ENSMUSG00000000094",7,0,2,2,10,0,3,15,13.41,11,2,8.73,26
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",1922,1988,1142,1821,1741,1921,2299,1316,1292,1653,2661,1627,1670
"ENSMUSG00000000125",14,17,5,4,35,28,22,12,20,8,28,11,17
"ENSMUSG00000000126",92,86,68,62,158,80,111,130,122,106,99,146,109
"ENSMUSG00000000127",2556,2263,1803,2152,2731,2440,2614,1911,1794,2355,2478,2168,2052
"ENSMUSG00000000131",5617,5781,5559,6363,6191,5327,6139,5414,6333,5856,5606,6246,6278
"ENSMUSG00000000134",1268,1106,1026,1250,1325,1148,1309,981,1445,1203,1293,1064,1147
"ENSMUSG00000000142",2160,2143,1497,1737,2370,1768,2394,1766,2447,1868,1994,1625,2064
"ENSMUSG00000000148",1628,1579,1284,1511,1561,1419,1688,1153,1184,1387,1523,1330,1241
"ENSMUSG00000000149",2368,2086,1508,1848,2767,2076,2626,2167,2572,2114,2107,1958,1991
"ENSMUSG00000000154",45,24,25,17,117,51,42,54,75,63,21,40,38
"ENSMUSG00000000157",0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",3,0,2,2,1,6,5,3,7.49,5,6,6,1.75
"ENSMUSG00000000167",206,190,185,232,196,202,167,139,127,183,167,187,171
"ENSMUSG00000000168",3990,3587,2464,3104,4101,3266,4134,2887,2865,3275,3488,3155,2785
"ENSMUSG00000000171",3665,3218,2105,2498,4212,3097,4245,2920,2609,3395,3333,2768,2939
"ENSMUSG00000000182",0,0,1,0,0,1,1,0,0,0,0,1,1
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,4,0,0,1
"ENSMUSG00000000184",974,664,407,298,3286,303,1595,2164,5923,2081,752,1266,3083
"ENSMUSG00000000194",6716,6324,4761,6448,6525,5635,6263,4732,4566,5832,6039,5476,5346
"ENSMUSG00000000197",7713,8134,4455,6745,7464,7245,8304,5574,5477,6527,9376,7422,5970
"ENSMUSG00000000202",52,43,25,50,60,32,60,34,13,62,27,50,45
"ENSMUSG00000000204",12,0,6,3,4,7,5,15,0,26,4.04,1,6
"ENSMUSG00000000214",376,337,165,380,238,228,304,163,178,250,348,153,208
"ENSMUSG00000000215",18,8,10,3,18,11,17,11,13,5,2,7,9
"ENSMUSG00000000216",8,1,3,3,11,0,14,2,3,3,3,1,3
"ENSMUSG00000000223",978,983,597,840,903,933,1154,792,912,777,1098,717,907
"ENSMUSG00000000244",0,0,1,0,1,1,1,2,4,0,1,3,3
"ENSMUSG00000000247",1394,1327,810,1196,1845,1158,2049,1387,2191,1443,1618,1350,1522
"ENSMUSG00000000248",9,13,5,8,78,24,40,67,78,38,15,38,41
"ENSMUSG00000000253",775,709,442,461,1176,708,1000,881,925,737,691,797,803
"ENSMUSG00000000263",1056,1167,638,1061,915,988,989,786,836,969,1354,1092,972
"ENSMUSG00000000266",1070,1059,664,910,1379,1028,1341,994,1396,1189,1183,1069,937
"ENSMUSG00000000275",949,909,825,848,1454,903,952,913,1539,1153,908,887,1170
"ENSMUSG00000000276",23767,22772,20363,26079,21788,20864,21483,14896,15781.92,22828,20079,18952,18139
"ENSMUSG00000000278",1152,970,715,823,1753,859,1373,1300,1520,1233,933,1124,1468
"ENSMUSG00000000282",939,1057,891,1041,1144,836,932,938,1673,1064,998,1074,1008
"ENSMUSG00000000290",88,63,62,57,156,65,93,57,89,74,91,88,78
"ENSMUSG00000000295",269,226,190,187,354,210,313,223,214,241,183,220,287
"ENSMUSG00000000296",63,72,29,11,134,50,105,91,95,91,46,51,116
"ENSMUSG00000000301",49,33,28,30,49,29,54,23,28,34,27,32,41
"ENSMUSG00000000303",248,72,198,277,2232,100,183,628,1607,1414,260,472,1104
"ENSMUSG00000000305",2818,2642,1919,2569,2493,2139,2596,2112,2550,2356,2638,2343,2082
"ENSMUSG00000000308",6494,5176,3854,5239,5347,4884,4585,3174,2667,4642,4624,4016,3660
"ENSMUSG00000000317",37,34,38,21,37,25,37,25,16,42,37,21,56
"ENSMUSG00000000318",11.66,7,10.28,8.29,14.14,12.77,30.59,15.22,12,6.12,20.77,15.64,21.29
"ENSMUSG00000000320",4,12,27,137,458,34,11,28,30,223,18,34,37
"ENSMUSG00000000325",3445,3693,2976,3442,4042,2849,4013,3720,3821,3040,3422,3763,3068
"ENSMUSG00000000326",2763,2488,1376,1906,3353,2172,3231,2348,2422,2286,2664,2180,2221
"ENSMUSG00000000339",1767,1510,1026,1240,1718,1490,1850,1197,1156,1531,1646,1407,1214
"ENSMUSG00000000340",847,762,603,674,1146,739,1003,815,892,820,746,733,742
"ENSMUSG00000000346",4003.06,3426.91,2210.14,2843.27,4778.99,3413.04,4523.97,3050.31,3392.61,3846.23,3814.41,3503.74,3094.8
"ENSMUSG00000000355",953,908,775,923,929,813,923,656,648,803,882,684,789
"ENSMUSG00000000359",30,25,27,17,101,28,46,68,63,60,40,33,144
"ENSMUSG00000000365",2,3,4,3,6,22,5,6,9,10,0,6,3
"ENSMUSG00000000374",7924,7353,5363,6939,7834,6995,7929,5649,6075,7362,7129,6117,5799
"ENSMUSG00000000378",698,771,394,564,839,686,862,578,590,649,709,549,595
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1050.67,997.68,833.56,864.52,1025.6,997.38,1093.48,768.35,838.64,904.15,1054.21,845.77,845.82
"ENSMUSG00000000385",6,3,38,47,146,18,6,14,30,95,11,19,13
"ENSMUSG00000000386",8,2,6,14,32.22,8,6,28.07,16.13,20.22,5,5,12
"ENSMUSG00000000392",565,446,625,255,1018,821,488,514,593,273,159,398,371
"ENSMUSG00000000394",0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",4492,3728,2479,3372,4698,3619,4485,3137,2994,3895,3822,3346,3251
"ENSMUSG00000000402",77,65,40,25,173,55,146,134,148,120,76,89,143
"ENSMUSG00000000409",40,26,22,28,45,31,49,27,49,38,38,38,41
"ENSMUSG00000000411",7,2,1,9,5,7,13,7,6,6,5,5,12
"ENSMUSG00000000416",3096,3378,2501,3298,2607,2671,3036,2300,2545,2652,3619,2618,2564
"ENSMUSG00000000420",4730,4270,3176,3842,5818,3940,5321,3845,3885,4431,4307,4458,3975
"ENSMUSG00000000435",0,0,0,0,0,2,0,1,2,4,0,1,0
"ENSMUSG00000000439",2597,2377,1948,2183,2543,2345,2714,1888,1893,2253,2347,2033,1960
"ENSMUSG00000000440",6,10,19,4,33,18,11,26,74,23,11,23,29
"ENSMUSG00000000441",6580,6449,5788,7022,7171,6225,7290,5438,5045,6793,6870,5858,6222
"ENSMUSG00000000486",47,42,30,51,46,54,46,45,47,36,42,50,56
"ENSMUSG00000000489",207,205,141,187,311,221,195,259,209,266,253,241,344
"ENSMUSG00000000530",536,440,295,538,708,449,518,497,426,641,566,531,977
"ENSMUSG00000000531",112,86,77,106,103,82,108,66,81,128,117,97,116
"ENSMUSG00000000532",6085,6080,3918,5605,6040,5386,6329,4371,4198,5416,6410,5239,4550
"ENSMUSG00000000538",11869,12183,7536,10312,12034,10879,12459,9143,11210,10329,11558,9859,8534
"ENSMUSG00000000544",0,0,3,2,8,0,1,0,2,3,0,2,0
"ENSMUSG00000000552",5779,4991,4156,5782,6061,4682,4378,4031,10983,5702,4339,4287,4039
"ENSMUSG00000000555",74,68,79,68,185,65,77,104,218,131,94,97,184
"ENSMUSG00000000560",2611,2701,1183,1820,2244,2340,3168,1741,1965,2055,3075,1981,1578
"ENSMUSG00000000561",4361.8,4131.47,3239.74,3916.11,4275.5,3928,4457.86,3049.94,2800.82,4094.91,4287.27,3370.46,3460.7
"ENSMUSG00000000562",15,6,8.94,3,8,8,7,8,13,12,8,7.69,7
"ENSMUSG00000000563",11295.22,9615.19,6549.67,8082.3,12478.48,9530.35,11658.06,7931.45,7517.02,9774.5,10202.19,8684.14,8215.58
"ENSMUSG00000000567",453,484,418,535,594,506,454,474,1000,563,627,592,599
"ENSMUSG00000000568",3392,3576,2992,3948,3664,3127,3121,2908,5830,3751,3659,3783,3522
"ENSMUSG00000000579",1274.8,1357.36,1349.09,1549.53,1181.35,1295.8,1226.42,973.61,870.25,1274.49,1384.25,1135.94,1174.52
"ENSMUSG00000000581",1697,1494,948,1250,1798,1466,1654,1162,1079,1477,1462,1208,1191
"ENSMUSG00000000594",1617,1520,893,1187,2656,1499,2256,2016,2331,1769,1697,1701,1900
"ENSMUSG00000000600",5110,5309,5207,6337,5245,4687,5290,4181,4032,5124,5745,5039,5260
"ENSMUSG00000000605",13105,12563,7945,10804,13232,11660,13490,8976,8753,10354,13116,10518,9940
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",2811,3151,2658,3889,2542,2852,2779,2473,3817,2594,4042,3011,3143
"ENSMUSG00000000627",267,290,173,284,200,215,261,204,351,204,292,253,196
"ENSMUSG00000000628",24453,19124,16852,22465,17056,18862,14324,11398,13882,16003,14104,13183,12522
"ENSMUSG00000000631",5105,5344,3865,4683,6286,4747,5893,4842,6800,5449,5042,4935,4805
"ENSMUSG00000000632",2756,2844,2186,3477,2423,2575,2729,2243,3615,2481,3152,2669,2415
"ENSMUSG00000000673",7,12,14,9,9,3,11,11,12,5,8,7,14
"ENSMUSG00000000682",18,9,6,21,24,11,19,16,17,13,17,22,17
"ENSMUSG00000000686",60,46,32,54,59,47,70,37,50,47,39,43,48
"ENSMUSG00000000690",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000693",339,373,217,283,636,249,495,488,463,350,434,378,525
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,2,0,9,4,7,4,1,9,5,10,2,2
"ENSMUSG00000000708",9731.97,8345.97,6066.97,7807.98,11310.96,8987.94,10385.98,6942.98,7406.99,9301.98,8378.98,8643.99,7198.98
