"","Mmus_C57-6J_SPL_HLLC_IRC_Rep1_M18","Mmus_C57-6J_SPL_HLLC_IRC_Rep2_M21","Mmus_C57-6J_SPL_HLLC_IRC_Rep3_M22","Mmus_C57-6J_SPL_HLLC_IRC_Rep4_M25","Mmus_C57-6J_SPL_HLLC_IRC_Rep5_M2","Mmus_C57-6J_SPL_HLLC_IRC_Rep6_M12","Mmus_C57-6J_SPL_HLLC_IR_Rep1_M7","Mmus_C57-6J_SPL_HLLC_IR_Rep2_M13","Mmus_C57-6J_SPL_HLLC_IR_Rep3_M14","Mmus_C57-6J_SPL_HLLC_IR_Rep4_M23","Mmus_C57-6J_SPL_HLLC_IR_Rep5_M24","Mmus_C57-6J_SPL_HLLC_IR_Rep6_M1","Mmus_C57-6J_SPL_HLU_IRC_Rep1_M8","Mmus_C57-6J_SPL_HLU_IRC_Rep2_M10","Mmus_C57-6J_SPL_HLU_IRC_Rep3_M16","Mmus_C57-6J_SPL_HLU_IR_Rep1_M3","Mmus_C57-6J_SPL_HLU_IR_Rep2_M9","Mmus_C57-6J_SPL_HLU_IR_Rep3_M11","Mmus_C57-6J_SPL_HLU_IR_Rep4_M15","Mmus_C57-6J_SPL_HLU_IR_Rep5_M17","Mmus_C57-6J_SPL_HLU_IR_Rep6_M19"
"ENSMUSG00000000001",3340,4474,3889,2677,2420,5371,3144,4030,2985,3527,3448,3061,1577,3325,3463,2165,1905,3757,2213,3306,4310
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000000028",295,365,485,273,211,588,230,392,328,548,167,396,155,470,365,440,179,418,304,332,1884
"ENSMUSG00000000031",8,14,6,12,12,22,4,24,17,11,9,17,1,1,11,23,3,14,5,20,11
"ENSMUSG00000000037",34,20,16,27,12,49,19,30,23,60,16,21,9,25,13,25,9,43,31,24,160
"ENSMUSG00000000049",1,20,5,20,3,21,33,3,14,2,31,24,4,63,2,33,20,28,8,5,4
"ENSMUSG00000000056",1959,1902,1557,1605,1325,2749,1482,1878,1373,2278,1570,1078,695,1731,1592,1880,801,2207,1542,1823,9183
"ENSMUSG00000000058",319,472,313,338,193,372,430,655,352,296,544,256,165,327,287,227,172,370,155,266,309
"ENSMUSG00000000078",3749,5585,3622,3137,2420,5245,3816,4612,3576,3627,4753,3140,1716,2732,3368,1984,1751,4295,2276,3462,3528
"ENSMUSG00000000085",1015,875,692,781,523,789,707,587,751,675,817,447,324,309,744,427,274,793,538,738,946
"ENSMUSG00000000088",1019,1622,1505,1071,866,1697,1181,1648,1152,1452,1342,1372,687,1514,1226,1075,643,1381,869,1266,1920
"ENSMUSG00000000093",182,182,136,167,130,106,123,151,148,195,139,93,94,45,191,86,73,157,145,186,97
"ENSMUSG00000000094",2,0,3,2,0,8,9,1,3,0,13,3,6,0,3,0,1,5,1,3,5
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",451,722,668,358,539,790,466,589,580,625,416,907,434,284,411,388,375,661,337,650,468
"ENSMUSG00000000125",21,22,14,15,9,25,9,26,15,16,15,15,14,9,5,12,10,13,19,9,12
"ENSMUSG00000000126",25,16,7,16,6,18,44,25,20,21,25,10,12,13,18,10,14,15,7,22,11
"ENSMUSG00000000127",467,656,452,535,243,420,555,544,509,430,754,389,238,287,447,327,183,480,321,522,653
"ENSMUSG00000000131",7177,6639,5539,6393.89,4159,7039,5198,5360,6175,5736,6706,4052,2570,2420,5711,2796,2402,6271,4206,5512,5716
"ENSMUSG00000000134",1410,1859,1414,1343,817,1627,1287,1358,1373,1468,1689,987,578,677,1323,892,661,1537,907,1274,1838
"ENSMUSG00000000142",616,655,485,547,500,646,470,596,460,568,522,410,250,222,502,264,267,533,383,500,380
"ENSMUSG00000000148",1381,1520,1118,1121,800,1509,929,1192,1132,1258,1244,900,522,535,1045,524,495,1240,866,1058,1136
"ENSMUSG00000000149",2528,4386,3489,2959,1645,4303,2612,4213,2996,3973,3683,2664,1322,1509,2609,2192,1355,3251,1661,2853,5425
"ENSMUSG00000000154",13,28,33,19,22,34,29,37,27,24,31,23,9,16,22,25,17,27,15,20,25
"ENSMUSG00000000157",31,39,175,109,21,47,89,73,50,166,19,58,29,126,140,276,39,103,86,185,1406
"ENSMUSG00000000159",0,3,0,2,1,2,4,1,1,3,2,0,3,3,0,0,6,2.4,2,1,2
"ENSMUSG00000000167",15,28,12,16,10,20,32,24,9,28,25,18,4,17,14,9,7,26,16,14,20
"ENSMUSG00000000168",799,1009,1003,741,581,1189,690,967,842,970,833,730,448,555,871,531,379,910,536,716,1479
"ENSMUSG00000000171",1532,2309,1697,1343,954,2231,1521,2277,1436,1704,1461,1830,826,2373,1520,1276,937,1795,1012,1549,2612
"ENSMUSG00000000182",2,7,3,0,3,2,6,3,6,6,2,7,6,3,4,1,3,1,2,1,2
"ENSMUSG00000000183",0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000184",5916,11797,11227,5788,5477,12257,8713,6709,7610,9062,11179,7285,5058,3829,7577,4610,3773,8773,4893,6681,7670
"ENSMUSG00000000194",3718,3913,2752,3220,2128,3446,3083,3636,3321,2966,3881,2651,1484,1689,2970,1765,1421,3365,2408,3176,2817
"ENSMUSG00000000197",23,23,19,28,13,19,31,21,24,20,25,16,15,6,26,6,17,31,15,40,15
"ENSMUSG00000000202",0,0,1,4,3,1,3,2,2,0,0,2,0,1,0,0,0,1,1,0,0
"ENSMUSG00000000204",471.6,997.18,347.74,668.23,137.5,125.43,792.88,442.16,277.89,252.42,1303.2,299.1,236.73,323.87,364.67,1323.47,194.45,673.6,307.52,398.55,1572.4
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000000216",4,5,1,1,2,1,2,2,0,1,5,0,1,1,0,3,3,0,0,0,0
"ENSMUSG00000000223",27,46,35,44,32,56,53,29,32,27,29,38,26,28,22,41,43,74,33,29,90
"ENSMUSG00000000244",6140,4854,3377,5472,3467,4917,4185,5421,4761,3565,5228,3115,1932,2816,4207,2269,2001,4433,3543,4504,3937
"ENSMUSG00000000247",6,5,7,13,9,9,11,13,5,8,5,7,0,2,11,11,3,15,5,11,8
"ENSMUSG00000000248",31.01,260.09,205.02,73.03,22,300.07,191.12,90,66,59.01,82.03,163.05,73,177,132.02,33,64,105.05,61.01,227.03,93
"ENSMUSG00000000253",65,152,126,120,52,107,82,100,116,132,129,61,35,57,81,102,34,82,74,81,191
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",413,632,555,467,267,494,486,610,517,443,615,417,213,190,389,284,222,492,257,458,423
"ENSMUSG00000000275",4409,4554,3723,3767,3010,4690,3553,3554,3952,3837,4348,2679,1872,2768,4059,2430,1761,3988,2882,3432,5306
"ENSMUSG00000000276",1209,1261,953,1096,692,1104,1025,1184,1205,998,1337,868,490,525,915,518,463,1064,746,1033,753
"ENSMUSG00000000278",1766,2899,2277,1592,1340,3159,2059,2836,2057,2066,2256,2351,1172,1674,1841,1494,1173,2182,1213,2112,2123
"ENSMUSG00000000282",1767,1587,1434,1296,1108,1777,1090,1062,1420,1511,1495,1043,581,468,1253,585,527,1533,1054,1276,1251
"ENSMUSG00000000290",8479,17649,10559,8625,6010,14851,12203,15176,9745,10875,17170,11970,6957,7250,9186,7917,6334,10958,5945,10066,11679
"ENSMUSG00000000295",367,427,302,314,192,456,375,427,283,284,267,288,124,307,290,160,177,374,194,309,261
"ENSMUSG00000000296",5,4,5,4,2,4,2,1,7,2,8,3,2,1,4,4,1,6,1,4,2
"ENSMUSG00000000301",30,28,36,17,26,39,22,35,24,23,26,18,8,33,34,18,11,32,16,19,32
"ENSMUSG00000000303",91,155,99,69,91,71,127,90,70,114,153,86,60,79,112,45,36,113,62,77,58
"ENSMUSG00000000305",184,241,172,166,91,195,172,261,204,207,270,168,86,82,177,140,93,167,90,161,239
"ENSMUSG00000000308",12,1,2,10,12,10,4,5,2,3,7,1,1,0,3,5,5,4,0,2,2
"ENSMUSG00000000317",308,374,192,237,114,240,293,264,353,275,340,247,113,112,255,151,114,308,149,250,272
"ENSMUSG00000000318",124.55,229.08,107.74,87.14,100.96,118.87,188.73,168.85,109.47,127.74,231.1,107,80.3,84.05,190.18,73.9,58.73,202.31,83.55,96.42,139.3
"ENSMUSG00000000320",597,1014,1092,1205,358,647,651,839,855,1146,719,639,328,422,846,1202,324,801,963,904,2003
"ENSMUSG00000000325",1846,2110,1692,1801,837,1540,1493,2067,1684,1564,1877,943,575,739,1441,786,580,1789,1098,1574,1786
"ENSMUSG00000000326",1271,2214,1576,1470,832,2250,1374,2641,1562,1789,1770,1524,774,1561,1389,1585,807,2031,965,1562,3854
"ENSMUSG00000000339",464,679,522,364,276,722,402,611,467,547,459,455,210,497,455,319,269,526,352,469,672
"ENSMUSG00000000340",561,726,518,458,348,724,529,706,541,564,617,507,226,448,433,289,273,603,364,448,541
"ENSMUSG00000000346",4225,7108.8,5723,3814,3428.8,8382.65,4116.71,5552.32,4317,5642,5238,4847,2222.81,4056.68,4039.68,3260,2397,5459.67,3065.28,4465.67,8125.57
"ENSMUSG00000000355",594,610,551,485,422,659,567,642,489,480,575,482,258,536,505,300,291,550,367,570,492
"ENSMUSG00000000359",405,396,266,321,177,292,359,280,356,281,376,166,163,135,321,140,115,331,168,300,164
"ENSMUSG00000000365",32,81,42,30,32,42,63,49,30,52,66,28,20,23,48,21,27,69,50,97,55
"ENSMUSG00000000374",3709,4163,3496,3374,2426,4858,2970,3561,3233,3715,3588,2610,1379,2006,3239,2428,1431,3957,2642,3494,7982
"ENSMUSG00000000378",3763,3607,3012,3365,2263,4773,2684,3275,3282,3245,3375,2340,1354,1921,3075,1433,1313,3334,2301,2806,2780
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1369.23,1353.19,1203.54,1353.8,893.33,1537.38,1009.05,1247.94,1277,1263.39,1244.98,906.42,512.91,738.01,1108.78,663.99,520.02,1322.78,967.72,1171.26,1628.3
"ENSMUSG00000000385",2,4,4,7,5,0,5,2,6,7,3,0,3,3,2,4,3,4,2,1,1
"ENSMUSG00000000386",561.67,687.03,441.75,530.7,258.11,439.8,520.09,696.48,571.72,297.06,972.22,399.79,200.97,347.01,524.03,222.67,216,594.19,424.7,446.41,393.41
"ENSMUSG00000000392",57,95,52,61,52,64,127,64,77,40,110,75,30,31,54,56,32,64,47,66,77
"ENSMUSG00000000394",0,1,2,1,0,0,0,0,2,6,0,0,1,0,0,1,0,0,1,2,4
"ENSMUSG00000000399",932,1516,1303,887,735,1773,968,1491,956,1217,1053,1148,505,1253,1021,687,580,1210,645,1135,1964
"ENSMUSG00000000402",38,29,17,26,6,27,16,29,24,25,24,28,8,8,11,19,17,31,8,22,17
"ENSMUSG00000000409",3634,4609,3227,2901,3248,5655,2932,4480,3237,3619,3217,3573,2096,3678,3416,1704,2208,3378,2801,3367,2823
"ENSMUSG00000000411",0,3,1,1,0,2,4,2,3,3,1,2,2,0,1,0,0,1,9,0,1
"ENSMUSG00000000416",249,308,226,267,102,177,216,243,287,209,324,157,111,84,281,100,118,246,180,258,196
"ENSMUSG00000000420",5193,7318,5046,4141,3674,7766,4854,6711,4795,5132,6289,4955,2709,4199,4535,4199,2980,6208,3419,5444,9542
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",1131,1147,906,988,631,1213,953,1129,964,870,1148,653,402,549,842,412,426,1070,701,983,994
"ENSMUSG00000000440",282,1015,456,471,153,538,803,833,479,479,1511,421,323,306,388,279,179,577,172,366,658
"ENSMUSG00000000441",4640,5200,4246,4361,2690,5603,4220,4986,4460,4230,5342,3457,1860,2789,4156,2137,2004,4467,3125,4043,4514
"ENSMUSG00000000486",3508,3564,3417,2798,2968,5403,2202,3107,2884,3586,2682,2891,1560,2113,3157,1547,1508,3425,2301,2963,3008
"ENSMUSG00000000489",590,1234,864,652,402,627,813,826,720,763,1220,686,407,348,596,428,326,897,481,663,705
"ENSMUSG00000000530",1046,1898,1196,1033,601,1309,1289,1748,1163,1305,1617,1009,632,753,1022,783,589,1278,610,1227,1308
