"","Mmus_C57-6J_DSKN_HLLC_IRC_Rep1_M22","Mmus_C57-6J_DSKN_HLLC_IRC_Rep2_M25","Mmus_C57-6J_DSKN_HLLC_IRC_Rep3_M2","Mmus_C57-6J_DSKN_HLLC_IRC_Rep4_M12","Mmus_C57-6J_DSKN_HLLC_IRC_Rep5_M18","Mmus_C57-6J_DSKN_HLLC_IRC_Rep6_M21","Mmus_C57-6J_DSKN_HLLC_IR_Rep1_M14","Mmus_C57-6J_DSKN_HLLC_IR_Rep2_M23","Mmus_C57-6J_DSKN_HLLC_IR_Rep3_M24","Mmus_C57-6J_DSKN_HLLC_IR_Rep4_M1","Mmus_C57-6J_DSKN_HLLC_IR_Rep5_M7","Mmus_C57-6J_DSKN_HLLC_IR_Rep6_M13","Mmus_C57-6J_DSKN_HLU_IRC_Rep1_M10","Mmus_C57-6J_DSKN_HLU_IRC_Rep2_M4","Mmus_C57-6J_DSKN_HLU_IRC_Rep3_M8","Mmus_C57-6J_DSKN_HLU_IR_Rep1_M11","Mmus_C57-6J_DSKN_HLU_IR_Rep2_M15","Mmus_C57-6J_DSKN_HLU_IR_Rep3_M17","Mmus_C57-6J_DSKN_HLU_IR_Rep4_M3","Mmus_C57-6J_DSKN_HLU_IR_Rep5_M9","Mmus_C57-6J_DSKN_HLU_IR_Rep6_M19"
"ENSMUSG00000000001",6574,5122,5374,5319,7053,6071,6637,6208,5544,4588,7483,6712,6099,6536,5782,7826,5311,4648,4971,6516,5633
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",296,194,199,204,194,219,190,222,129,152,405,220,179,443,305,239,321,128,175,212,173
"ENSMUSG00000000031",4794,6848,8277,5457,12513,7597,6021,5151,6867,6496,8285,5854,12521,2982,6047,13489,4154,14130,8809,9969,5071
"ENSMUSG00000000037",260,310,344,271,407,413,347,385,270,256,475,347,293,249,161,353,153,269,275,357,271
"ENSMUSG00000000049",1,1,1,7,3,1,3,2,6,6,9,0,1,4,6,3,2,4,1,2,2
"ENSMUSG00000000056",2396,2819,2912,2499,3289,2934,2642,3092,2526,2300,3054,2970,2680,2063,1829,2908,2052,2319,2361,3095,2322
"ENSMUSG00000000058",2248,3351,3290,2455,3670,3966,3765,4355,4074,2642,3290,4867,3806,1414,1448,4161,1345,2210,3013,3945,2890
"ENSMUSG00000000078",5190,5546,5759,5424,8064,6500,7455,6727,6979,4732,6706,7809,6410,4318,4201,7992,3855,5186,5035,6914,4896
"ENSMUSG00000000085",1098,1341,1468,1226,1500,1577,1486,1486,1207,1134,1731,1332,1010,799,790,1396,856,1288,1243,1505,1345
"ENSMUSG00000000088",2011,1938,2135,1738,2174,2076,1896,2065,1611,1824,2152,2126,1647,2011,1916,2276.99,1788,1637,1979,2268,1617
"ENSMUSG00000000093",141,157,116,125,146,137,137,203,139,117,141,110,96,111,46,95,62,144,120,158,75
"ENSMUSG00000000094",20,28,43,39,29,39,37,45,23,33,34,61,50,20,23,41,20,34,48,83,30
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",625,670,809,596,797,741,1832,837,591,571,773,664,841,478,881,1541,497,869,751,1074,652
"ENSMUSG00000000125",899,933,1149,993,1088,973,1297,1251,957,969,993,1108,683,1072,647,1098,825,813,1088,1423,808
"ENSMUSG00000000126",267,259,256,327,274,232,189,260,218,188,263,233,196,286,243,202,247,186,140,239,334
"ENSMUSG00000000127",2134,2114,2223,2006,2815,2620,2586,2618,2207,1861,2705,2693,2277,1795,1622,2977,1636,1951,2191,2660,1998
"ENSMUSG00000000131",3884,4048,3825,4182,4359,3995,4114,4506,3701,3125,4952,3897,3258,4376,3139,4121,3319,3509,3251,4102,3826
"ENSMUSG00000000134",1580,1457,1520,1632,1867,1569,1845,1583,1375,1280,1934,1617,1246,1655,1297,1779,1349,1451,1377,1671,1563
"ENSMUSG00000000142",2155,2502,2986,2213,2808,3159,3162,3141,2222,2447,3158,2243,1925,2265,1449,2814,1815,2446,2651,3106,2107
"ENSMUSG00000000148",753,888,868,862,985,898,1042,1014,769,660,1090,893,802,800,627,1056,771,742,697,953,872
"ENSMUSG00000000149",2878,2328,2451,3014,3333,2886,2865,2475,2278,1986,3725,2728,2092,3052,2305,2847,2543,2370,1941,2446,2730
"ENSMUSG00000000154",128,100,115,151,151,163,141,136,100,97,130,159,146,96,120,182,101,110,110,110,140
"ENSMUSG00000000157",1,0,1,0,4,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0
"ENSMUSG00000000159",3,0,0,0,2.18,0,0,0,4,0,1,0,1,2,0,0,0,1,0,0,0
"ENSMUSG00000000167",50,31,34,43,28,46,25,29,34,35,48,27,33,47,40,38,31,25,43,34,40
"ENSMUSG00000000168",1885,2404,2910,2146,2871,2497,2272,2622,2027,2173,2658,3580,2557,1853,1691,3205,1634,2070,2428,3185,2130
"ENSMUSG00000000171",1911,2139,2338,1772,2741,2603,2233,2444,1998,1855,2701,2618,2141,1439,1604,2909,1456,1983,2152,2689,1791
"ENSMUSG00000000182",1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",28,25,30,28,46,44,36,40,22,31,51,31,17,7,15,43,5,54,56,51,16
"ENSMUSG00000000184",12594,13133,12317,11085,13359,11058,14187,15868,12189,8724,16931,13405,10511,14383,10639,11778,10508,11013,12118,14107,13717
"ENSMUSG00000000194",3662,3956,4064,4121,4402,4159,4183,4648,3684,3193,4634,3988,3351,3751,3112,4425,3058,3555,3485,4525,4001
"ENSMUSG00000000197",73,58,102.06,72,124,127,81,95,75,98,109,94,81,35,31,98,41,82,72,93,50
"ENSMUSG00000000202",6,6,6,12,19,13,15,10,8,7,12,7,13,3,2,4,7,8,9,3,8
"ENSMUSG00000000204",323.3,154,100.81,125.69,185.8,193,555.53,124.13,156.27,101,1143.63,195.23,187.05,34,861.41,751.59,76,812.59,108.3,144.35,97.38
"ENSMUSG00000000214",57,197,213,42,146,99,97,216,64,86,81,62,73,40,26,139,44,90,110,98,49
"ENSMUSG00000000215",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",317,180,149,239,172,182,154,218,137,131,203,134,147,399,268,179,257,137,131,193,252
"ENSMUSG00000000223",571,801,911,677,1367,1256,1174,1002,996,818,952,1134,898,284,372,1021,285,907,955,1230,539
"ENSMUSG00000000244",194,222,209,252,508,263,425,234,278,189,351,410,340,104,131,364,120,291,190,272,191
"ENSMUSG00000000247",1455,1682,1455,1603,1262,1556,1432,1762,1265,1041,2442,906,938,1406,1013,1261,1086,1248,782,1143,1793
"ENSMUSG00000000248",123,147.02,139.03,132.02,228.02,257,198,222.02,150.07,152.04,200.04,192.1,168,73,55,222.02,83,214.06,221.14,230.02,135
"ENSMUSG00000000253",541,819,971,715,1241,1217,810,954,758,925,961,1010,805,209,327,1136,335,1021,864,1282,583
"ENSMUSG00000000263",0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000000266",2334,1951,1859,2091,2082,2094,2116,2341,1885,1689,2212,1958,1760,2686,2056,2210,1771,1531,1811,2079,2228
"ENSMUSG00000000275",1572,2051,2048,1857,2323,2264,2410,2550,2392,1593,2628,2100,1633,1170,1327,2638,1092,2368,1924,2637,1878
"ENSMUSG00000000276",909,873,767,890,940,949,850,1045,805,730,1038,859,677,926,734,959,767,715,783,930,885
"ENSMUSG00000000278",2718,1958,1887,2404,3201,2797,2349,2061,2211,1594,3513,2868,2549,2845,2312,3132,2100,2468,1728,2551,2347
"ENSMUSG00000000282",915,1113,1152,1053,1337,1274,1348,1391,1040,883,1346,1067,803,615,535,1160,741,1224,932,1170,953
"ENSMUSG00000000290",896,774,813,860,1715,1449,1681,921,1026,633,1613,1420,1307,286,751,1756,491,1600,659,919,578
"ENSMUSG00000000295",305,197,185,248,250,258,220,244,211,183,312,241,226,344,255,284,290,176,198,224,213
"ENSMUSG00000000296",369,230,216,292,256,228,219,210,167,198,266,234,177,567,397,284,301,166,211,278,263
"ENSMUSG00000000301",57,47,42,41,38,50,48,60,45,47,54,72,37,50,41,52,36,36,54,60,42
"ENSMUSG00000000303",13822,12172,11829,13126,12663,12108,13464,14438,10832,8877,13346,10151,8881,14771,11864,12064,11439,9878,10397,12076,13735
"ENSMUSG00000000305",547,980,1244,867,1770,1372,1801,1415,1083,1003,1108,1440,1503,363,430,1924,412,1167,1209,1965,753
"ENSMUSG00000000308",3255,2860,2395,3335,2662,2269,2626,3138,2430,1868,2828,2331,2137,3548,2951,2897,2620,1880,2380,3037,3703
"ENSMUSG00000000317",127,183,171,162,204,184,188,265,174,174,215,185,123,123,100,168,130,153,212,239,173
"ENSMUSG00000000318",1495.37,1014.49,1755.06,1443.56,3659.95,2401.42,2658.02,1263.22,2254.27,1252.05,2796.79,3495.36,2467.42,543.57,1085.49,3323.54,920.5,2762.85,1175.81,2138.63,1285.61
"ENSMUSG00000000320",610,478,464,529,402,450,476,552,296,299,399,374,319,746,594,409,563,328,415,478,404
"ENSMUSG00000000325",1790,2440,2598,2096,2855,2655,2643,3159,2150,2260,2831,2379,1806,1590,1169,2514,1292,2266,1990,2652,2138
"ENSMUSG00000000326",2087,2570,3228,2465,3468,2940,3037,3000,2465,2718,2985,4119,3291,1775,1631,3647,1625,2037,2412,3651,2481
"ENSMUSG00000000339",487,444,448,519,470,498,466,453,393,334,549,518,371,512,426,611,375,377,348,426,376
"ENSMUSG00000000340",979,900,966,924,1130,1268,1033,968,841,877,1208,1186,890,1095,863,1047,915,656,1010,1190,797
"ENSMUSG00000000346",3961.81,3256,3125.83,3523,3985.67,3821,3660.71,3629.8,3076,2540,4170,3567.85,3199.87,4019,3431,4321.84,3248,2899,2701.67,3465.8,3167.82
"ENSMUSG00000000355",540,461,447,456,556,551,522,494,469,374,535,631,481,566,553,614,453,393,450,560,480
"ENSMUSG00000000359",95,154,223,188,257,178,230,252,157,117,177,217,134,46,64,204,75,189,189,160,113
"ENSMUSG00000000365",13,3,1,15,11,17,7,11,15,9,13,25,8,23,17,6,5,17,9,24,4
"ENSMUSG00000000374",4162,4447,4471,4247,4698,4345,4718,5279,4030,3485,5053,4532,4073,4262,3382,5164,3309,3750,4190,5161,4497
"ENSMUSG00000000378",929,869,905,923,1165,937,945,973,842,755,1173,1012,928,912,740,1176,825,823,740,981,852
"ENSMUSG00000000381",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1112.58,926.43,963.18,1105.92,989.04,861.17,1069.59,1040.06,823.9,733.4,1237.35,822.73,745.25,1377.96,916,975.16,1129.84,806.42,893.55,1123.96,948.75
"ENSMUSG00000000385",643,186,112,339,100,102,94,107,131,93,116,79,92,837,827,80,632,73,88,97,388
"ENSMUSG00000000386",136.73,117.03,112,150,247.45,183,317.66,124.62,170.3,89.02,523.86,249.38,230.32,73,280.49,679.56,59.62,355.92,73.6,196,119.59
"ENSMUSG00000000392",864,736,704,889,1249,1047,873,863,768,660,1178,1190,865,809,559,1169,622,959,603,903,678
"ENSMUSG00000000394",0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ENSMUSG00000000399",2283,2114,2234,2036,2812,2491,2182,2518,1913,1866,2530,2573,2079,2235,2024,3016,2001,1833,2017,2580,2029
"ENSMUSG00000000402",191,258,197,184,250,217,196,305,225,177,288,205,168,214,119,264,140,212,109,201,232
"ENSMUSG00000000409",101,80,76,84,204,145,126,132,134,94,175,105,125,137,95,153,53,78,87,121,84
"ENSMUSG00000000411",5,2,7,2,0,0,1,2,1,1,1,0,1,2,2,3,4,0,0,4,3
"ENSMUSG00000000416",2532,2911,2940,2825,3377,3547,3234,3780,2881,2399,3011,3053,2399,2596,1716,3067,2031,2511,2814,3636,2673
"ENSMUSG00000000420",2827,3154,3337,2910,4360,3799,4114,3515,3009,2603,4100,4291,3723,2223,2278,4865,2169,2949,3129,4074,3025
"ENSMUSG00000000435",1,21,12,5,15,8,12,7,4,13,17,5,26,7,1,12,3,11,5,19,3
