"","Mmus_C57-6J_LVR_BSL_C1_Rep1_B1","Mmus_C57-6J_LVR_BSL_C1_Rep2_B2","Mmus_C57-6J_LVR_BSL_C1_Rep3_B3","Mmus_C57-6J_LVR_BSL_C1_Rep4_B4","Mmus_C57-6J_LVR_CC_C1_Rep1_C1-1","Mmus_C57-6J_LVR_CC_C1_Rep2_C1-2","Mmus_C57-6J_LVR_CC_C1_Rep3_C1-3","Mmus_C57-6J_LVR_CC_C1_Rep4_C1-4","Mmus_C57-6J_LVR_CC_C1_Rep5_C1-5","Mmus_C57-6J_LVR_CC_C2_Rep1_C2-1","Mmus_C57-6J_LVR_CC_C2_Rep2_C2-2","Mmus_C57-6J_LVR_CC_C2_Rep3_C2-3","Mmus_C57-6J_LVR_CC_C2_Rep4_C2-4","Mmus_C57-6J_LVR_FLT_C1_Rep1_F1","Mmus_C57-6J_LVR_FLT_C1_Rep2_F2","Mmus_C57-6J_LVR_FLT_C1_Rep3_F3","Mmus_C57-6J_LVR_FLT_C1_Rep4_F4","Mmus_C57-6J_LVR_FLT_C1_Rep5_F5","Mmus_C57-6J_LVR_GC_C2_Rep1_G1","Mmus_C57-6J_LVR_GC_C2_Rep2_G3","Mmus_C57-6J_LVR_GC_C2_Rep3_G4","Mmus_C57-6J_LVR_GC_C2_Rep4_G5","Mmus_C57-6J_LVR_VIV_C2_Rep1_V3"
"ENSMUSG00000000001",4038,3346,3074,2768,2821,4128,3177,4189,3674,2616,3602,2845,1748,3782,2892,3789,3887,3178,2584,3544,3227,2141,2906
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",21,18,17,13,47,48,21,26,42,35,47,18,9,27,34,44,37,32,31,36,16,21,33
"ENSMUSG00000000031",3,5,0,4,1,39,0,3,3,4,0,4,3,1,1,14,16,1,438,7,0,6,5
"ENSMUSG00000000037",3,2,4,1,1,4,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000000049",30511,32847,34305,37143,28832,42694,23985,32598,56167,22934,48226,21527,22939,55620,40341,55695,56957,43442,30408,48474,39432,18268,33372
"ENSMUSG00000000056",1581,1447,2705,1973,1239,1120,954,1289,1385,1027,1359,973,629,1136,937,1210,1241,899,867,976,864,589,875
"ENSMUSG00000000058",536,406,205,182,299,394,385,254,244,427,289,336,157,236,215,189,159,125,246,146,182,322,151
"ENSMUSG00000000078",691,453,292,300,377,485,354,478,550,397,377,411,248,356,426,339,359,293,320,334,343,317,356
"ENSMUSG00000000085",155,160,207,149,107,150,102,208,225,89,176,175,129,126,138,200,241,130,144,203,150,198,208
"ENSMUSG00000000088",3292,3456,3062,3156,3485,3688,3244,3577,2718,3340,3985,2668,1687,3374,2651,3553,2616,2343,3199,2462,2418,2679,2345
"ENSMUSG00000000093",61,56,79,33,36,48,29,52,62,70,47,53,22,44,50,46,26,46,42,75,52,43,76
"ENSMUSG00000000094",0,3,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",186,197,161,111,115,208,77,127,119,106,96,89,93,98,97,110,160,116,128,213,132,151,92
"ENSMUSG00000000125",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
