"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000000001",1288,1450,1965,1296,738
"ENSMUSG00000000003",0,0,0,0,0
"ENSMUSG00000000028",178,152,236,114,61
"ENSMUSG00000000031",223,110,142,821,22
"ENSMUSG00000000037",25,23,17,25,18
"ENSMUSG00000000049",27,64,52,15,11
"ENSMUSG00000000056",6580,7379,10782,5152,3869
"ENSMUSG00000000058",2904,2594,4266,2140,1130
"ENSMUSG00000000078",3774,4908,4947,3135,1797
"ENSMUSG00000000085",1965,1705,2749,1520,935
"ENSMUSG00000000088",22680,19415,36647,19161,11534
"ENSMUSG00000000093",230,209,248,113,125
"ENSMUSG00000000094",4,9,0,0,0
"ENSMUSG00000000103",0,0,0,0,0
"ENSMUSG00000000120",151,95,183,97,57
"ENSMUSG00000000125",0,0,0,0,0
"ENSMUSG00000000126",412,298,417,245,126
"ENSMUSG00000000127",1394,1257,2371,1182,585
"ENSMUSG00000000131",1059,701,1291,718,362
"ENSMUSG00000000134",720,577,1006,572,311
"ENSMUSG00000000142",221,142,301,161,118
"ENSMUSG00000000148",590,523,702,405,234
"ENSMUSG00000000149",9983,9473,13215,7527,4571
"ENSMUSG00000000154",47,23,57,19,22
"ENSMUSG00000000157",1,0,0,0,0
"ENSMUSG00000000159",1,1,5,0,0
"ENSMUSG00000000167",23,17,29,19,15
"ENSMUSG00000000168",19933,17914,30538,15549,10835
"ENSMUSG00000000171",25073,21708,39712,19654,10208
"ENSMUSG00000000182",0,0,0,0,0
"ENSMUSG00000000183",81,93,153,64,83
"ENSMUSG00000000184",5964,5929,9466,5151,3599
"ENSMUSG00000000194",2676,2183,3707,1954,1314
"ENSMUSG00000000197",86,73,103,65,51
"ENSMUSG00000000202",0,0,0,0,0
"ENSMUSG00000000204",12,13,13,19,16
"ENSMUSG00000000214",4,24,19,5,14
"ENSMUSG00000000215",0,0,0,0,0
"ENSMUSG00000000216",5,0,0,0,0
"ENSMUSG00000000223",44,34,68,29,5
"ENSMUSG00000000244",20,14,19,13,1
"ENSMUSG00000000247",0,1,1,2,0
"ENSMUSG00000000248",1,0,0,0,0
"ENSMUSG00000000253",5166,4521,7828,4459,2422
"ENSMUSG00000000263",0,0,0,0,0
"ENSMUSG00000000266",1278,1614,2398,1456,700
"ENSMUSG00000000275",2195,2024,2669,1642,883
"ENSMUSG00000000276",1523,1137,2145,996,657
"ENSMUSG00000000278",1037,827,1189,774,335
"ENSMUSG00000000282",424,492,573,343,126
"ENSMUSG00000000290",400,380,698,384,200
"ENSMUSG00000000295",134,90,205,108,70
"ENSMUSG00000000296",319,366,552,435,156
"ENSMUSG00000000301",89,59,110,52,46
"ENSMUSG00000000303",18,0,14,1,0
"ENSMUSG00000000305",147,207,182,103,63
"ENSMUSG00000000308",47,49,106,32,27
"ENSMUSG00000000317",1223,775,1741,985,363
"ENSMUSG00000000318",103,71,181,85,22
"ENSMUSG00000000320",184,94,436,299,94
"ENSMUSG00000000326",7228,7060,9615,4859,3058
"ENSMUSG00000000339",924,825,1404,759,374
"ENSMUSG00000000340",5567,4993,9406,4935,3156
"ENSMUSG00000000346",7407,6677,11588,6115,3258
"ENSMUSG00000000355",880,849,1528,785,498
"ENSMUSG00000000359",606,321,779,356,164
"ENSMUSG00000000365",4,3,0,5,7
"ENSMUSG00000000374",4119,3563,6263,3257,2080
"ENSMUSG00000000378",930,702,1226,699,345
"ENSMUSG00000000381",0,0,0,0,0
"ENSMUSG00000000384",2647,2289,3967,1941,1134
"ENSMUSG00000000385",14,0,0,0,0
"ENSMUSG00000000386",38,0,21,22,15
"ENSMUSG00000000392",262,241,404,195,111
"ENSMUSG00000000394",0,0,0,0,0
"ENSMUSG00000000399",23667,19460,37190,18071,11047
"ENSMUSG00000000402",12,0,7,3,3
"ENSMUSG00000000409",150,37,31,51,0
"ENSMUSG00000000411",0,0,0,0,0
"ENSMUSG00000000416",51,68,82,56,23
"ENSMUSG00000000420",5249,4845,8568,4261,2719
"ENSMUSG00000000435",0,0,0,0,0
"ENSMUSG00000000439",2847,2292,4365,2134,1315
"ENSMUSG00000000440",561,796,826,407,151
"ENSMUSG00000000441",7393,5837,11196,5585,3434
"ENSMUSG00000000486",149,78,175,139,31
"ENSMUSG00000000489",1261,1023,1560,980,444
"ENSMUSG00000000530",1801,1716,2557,1207,802
"ENSMUSG00000000531",371,386,437,273,164
"ENSMUSG00000000532",1043,1281,1540,889,509
"ENSMUSG00000000538",9676,9397,14198,7441,5057
"ENSMUSG00000000544",0,0,0,0,0
"ENSMUSG00000000552",266,264,220,188,123
"ENSMUSG00000000555",1974,2187,2623,1621,920
"ENSMUSG00000000560",0,3,0,0,0
"ENSMUSG00000000561",929,844,1443,857,460
"ENSMUSG00000000562",14,9,16,13,7
"ENSMUSG00000000563",69522,60491,111310,57864,32117
"ENSMUSG00000000567",262,149,232,140,55
"ENSMUSG00000000568",1316,1277,2002,1142,703
"ENSMUSG00000000579",107,121,188,92,49
"ENSMUSG00000000581",1434,1071,2318,1283,711
"ENSMUSG00000000594",1591,1546,2314,1219,736
"ENSMUSG00000000600",2147,1904,3431,1771,969
"ENSMUSG00000000605",4174,3711,6279,3647,1949
"ENSMUSG00000000606",0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0
"ENSMUSG00000000627",18,31,11,15,0
"ENSMUSG00000000628",25096,24941,41733,21216,13746
"ENSMUSG00000000631",13868,12754,18645,10260,6733
"ENSMUSG00000000632",43,15,41,11,13
"ENSMUSG00000000673",9,13,14,17,0
"ENSMUSG00000000682",115,78,179,321,80
"ENSMUSG00000000686",130,144,181,60,44
"ENSMUSG00000000690",3,12,6,0,0
"ENSMUSG00000000693",291,286,361,187,118
"ENSMUSG00000000701",0,0,0,0,0
"ENSMUSG00000000706",0,1,0,0,0
"ENSMUSG00000000708",6755,6188,10555,5383,3435
"ENSMUSG00000000711",5535,5072,8484,4405,2468
"ENSMUSG00000000724",0,0,0,0,0
"ENSMUSG00000000730",5,7,14,7,0
"ENSMUSG00000000731",0,0,1,0,0
"ENSMUSG00000000732",375,417,479,357,184
"ENSMUSG00000000738",4092,3351,6434,3464,2044
"ENSMUSG00000000739",35,34,50,20,9
"ENSMUSG00000000740",9007,6450,11402,7715,3721
"ENSMUSG00000000743",1936,1669,2881,1657,859
"ENSMUSG00000000751",3404,2688,4964,2696,1556
"ENSMUSG00000000753",1702,1307,1730,1064,360
"ENSMUSG00000000759",1333,861,1707,861,473
"ENSMUSG00000000766",2,0,0,0,0
"ENSMUSG00000000776",808,777,1368,729,338
"ENSMUSG00000000782",229,63,43,80,27
"ENSMUSG00000000787",17095,16014,27796,14045,8507
