"","Mmus_C57-6CR_SPL_GC_1G_Rep1_gc1","Mmus_C57-6CR_SPL_GC_1G_Rep2_gc2","Mmus_C57-6CR_SPL_GC_1G_Rep3_gc3","Mmus_C57-6J_SPL_FLT_1G_Rep1_ag1","Mmus_C57-6J_SPL_FLT_1G_Rep2_ag2","Mmus_C57-6J_SPL_FLT_1G_Rep3_ag3","Mmus_C57-6J_SPL_FLT_uG_Rep1_mg1","Mmus_C57-6J_SPL_FLT_uG_Rep2_mg2","Mmus_C57-6J_SPL_FLT_uG_Rep3_mg3"
"ENSMUSG00000000001",975,898,1056,784,654,930,668,1125,947
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",70,55,80,54,44,53,47,90,65
"ENSMUSG00000000031",7,7,4,7,7,7,8,9,8
"ENSMUSG00000000037",3,4,7,1,2,5,3,1,6
"ENSMUSG00000000049",1,3,5,0,1,2,0,3,1
"ENSMUSG00000000056",531,525,574,378,389,563,404,487,432
"ENSMUSG00000000058",84,58,70,21,67,48,57,89,102
"ENSMUSG00000000078",866,840,940,572,654,777,664,971,844
"ENSMUSG00000000085",398,342,391,241,265,361,273,441,387
"ENSMUSG00000000088",344,297,352,238,219,366,267,337,355
"ENSMUSG00000000093",40,39,64,84,40,57,91,90,68
"ENSMUSG00000000094",2,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",87,82,91,94,56,100,64,87,46
"ENSMUSG00000000125",0,3,1,4,1,1,2,3,1
"ENSMUSG00000000126",0,3,0,4,1,3,1,3,8
"ENSMUSG00000000127",154,143,152,87,146,155,140,205,200
"ENSMUSG00000000131",2081,2064,2195,1763,1541,2242,1675,2279,1791
"ENSMUSG00000000134",521,480,517,409,381,534,431,531,451
"ENSMUSG00000000142",223,215,221,207,133,208,152,223,166
"ENSMUSG00000000148",362,312,352,411,266,372,364,389,317
"ENSMUSG00000000149",614,544,699,666,484,667,572,716,612
"ENSMUSG00000000154",3,10,10,7,6,2,2,2,0
"ENSMUSG00000000157",2,4,4,0,0,2,1,2,3
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,2
"ENSMUSG00000000167",3,5,7,7,2,4,3,13,7
"ENSMUSG00000000168",359,265,324,249,223,381,264,345,308
"ENSMUSG00000000171",268,232,271,180,172,260,218,328,298
"ENSMUSG00000000182",0,1,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",2907,2593,3035,2390,2114,2802,2137,3018,2356
"ENSMUSG00000000194",1046,999,1160,777,818,1124,904,1234,993
"ENSMUSG00000000197",6,2,3,3,3,2,4,7,3
"ENSMUSG00000000202",0,1,1,0,0,0,0,0,0
"ENSMUSG00000000204",67,55,46,18,64,25,65,107,47
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,1,0,0,0,0,0,2
"ENSMUSG00000000223",9,2,11,5,1,6,10,7,4
"ENSMUSG00000000244",1733,1759,1886,1490,1428,2037,1523,1872,1578
"ENSMUSG00000000247",4,0,0,1,3,1,1,4,1
"ENSMUSG00000000248",4,1,4,0,4,2,7,9,4
