"","Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1","Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2","Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3","Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1","Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep2","Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep3","Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1","Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2","Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3","Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1","Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep2","Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep3","Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1","Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2","Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3","Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1","Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2","Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3"
"ENSMUSG00000000001",562,689,788,649,570,710,625,486,502,1156,1141,1202,1390,1190,1265,1156,1179,1197
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",177,159,220,164,145,178,87,103,95,73,69,86,245,217,242,316,289,266
"ENSMUSG00000000031",13,18,20,11,10,12,9,6,8,17,13,22,23,21,38,31,20,29
"ENSMUSG00000000037",7,16,12,7,7,8,7,11,4,9,5,9,21,20,20,18,18,11
"ENSMUSG00000000049",2,2,0,0,1,7,0,1,2,1,7,4,7,3,8,3,2,4
"ENSMUSG00000000056",567,441,587,449,329,485,333,307,299,589,775,593,949,767,691,1039,851,797
"ENSMUSG00000000058",4,13,18,7,7,14,20,8,6,38,24,20,39,37,24,23,28,20
"ENSMUSG00000000078",333,330,462,285,282,379,316,255,283,618,604,499,792,724,563,740,699,633
"ENSMUSG00000000085",261,309,377,270,239,280,290,245,223,496,553,535,712,612,624,679,541,593
"ENSMUSG00000000088",167,118,188,155,152,168,172,155,161,165,192,209,266,220,200,333,301,286
"ENSMUSG00000000093",7,4,6,12,9,7,14,9,9,25,19,16,15,17,13,21,19,9
"ENSMUSG00000000094",0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",15,8,13,9,12,13,13,10,13,18,16,31,25,32,27,17,14,20
"ENSMUSG00000000125",0,2,0,5,0,0,3,2,1,1,2,3,2,4,1,3,2,2
"ENSMUSG00000000126",4,5,11,8,14,8,8,11,9,19,16,19,18,16,11,16,15,16
"ENSMUSG00000000127",33,37,42,42,24,38,65,36,44,121,80,104,88,94,72,55,61,43
"ENSMUSG00000000131",926,874,1175,932,917,1120,1155,807,761,1702,1760,1603,2075,1953,1742,1910,1771,1989
"ENSMUSG00000000134",106,86,112,108,116,100,154,110,104,255,207,233,237,248,227,220,170,184
"ENSMUSG00000000142",219,185,232,188,197,173,210,158,156,371,359,312,448,411,325,444,350,361
"ENSMUSG00000000148",182,164,250,169,211,222,204,159,145,288,346,291,390,309,321,378,332,375
"ENSMUSG00000000149",198,172,223,203,217,247,269,183,174,391,392,377,412,469,348,364,324,400
"ENSMUSG00000000154",3,3,4,3,7,9,8,6,5,1,11,8,6,15,8,0,6,3
"ENSMUSG00000000157",1,1,0,1,2,3,0,0,0,0,1,3,2,4,1,2,0,2
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ENSMUSG00000000167",13,5,8,5,6,10,3,10,6,10,13,22,26,12,17,21,13,13
"ENSMUSG00000000168",202,182,238,190,154,205,184,186,161,284,285,302,396,320,319,389,367,435
"ENSMUSG00000000171",196,181,221,189,109,192,141,197,178,215,219,254,349,293,302,348,331,311
"ENSMUSG00000000182",0,0,2,0,1,1,1,2,1,1,1,2,2,2,1,2,0,1
