"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000000001",2547,2611,3112,2039,2564,2877
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",1082,1070,1352,985,1082,1356
"ENSMUSG00000000031",0,0,0,0,0,0
"ENSMUSG00000000037",2034,1987,2536,1736,2176,1902
"ENSMUSG00000000049",0,0,0,0,3,3
"ENSMUSG00000000056",303,405,430,260,363,481
"ENSMUSG00000000058",1,4,3,1,0,0
"ENSMUSG00000000078",58,25,34,37,78,59
"ENSMUSG00000000085",567,571,899,868,851,974
"ENSMUSG00000000088",2507,3028,3443,3430,3186,2608
"ENSMUSG00000000093",0,0,3,0,2,0
"ENSMUSG00000000094",1236,1439,1966,1224,2015,1748
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",0,0,5,0,4,0
"ENSMUSG00000000125",0,0,0,1,0,3
"ENSMUSG00000000126",0,0,1,0,5,7
"ENSMUSG00000000127",1550,1459,1908,1709,2047,1717
"ENSMUSG00000000131",278,288,378,267,276,274
"ENSMUSG00000000134",866,882,1521,929,1250,1320
"ENSMUSG00000000142",510,658,789,546,685,690
"ENSMUSG00000000148",7,8,18,9,2,31
"ENSMUSG00000000149",345,432,547,370,458,611
"ENSMUSG00000000154",2,1,32,0,1,12
"ENSMUSG00000000157",0,0,0,0,17,5
"ENSMUSG00000000159",0,0,1,0,0,0
"ENSMUSG00000000167",2,5,8,11,1,5
"ENSMUSG00000000168",1084,916,1224,893,1113,1277
"ENSMUSG00000000171",1240,1313,1130,1241,734,888
"ENSMUSG00000000182",0,0,0,0,0,0
"ENSMUSG00000000183",5,13,13,5,4,14
"ENSMUSG00000000184",0,8,3,1,3,7
"ENSMUSG00000000194",168,142,198,163,107,174
"ENSMUSG00000000197",95,41,67,47,75,61
"ENSMUSG00000000202",21,14,31,11,36,19
"ENSMUSG00000000204",0,0,0,0,0,0
"ENSMUSG00000000214",977,953,1384,1099,1168,1229
"ENSMUSG00000000215",20,13,27,36,46,30
"ENSMUSG00000000216",1,0,0,0,0,0
"ENSMUSG00000000223",0,0,1,1,0,0
"ENSMUSG00000000244",0,0,0,0,0,0
"ENSMUSG00000000247",63,139,63,42,72,126
"ENSMUSG00000000248",1,11,7,3,0,0
"ENSMUSG00000000253",829,687,863,620,458,1015
"ENSMUSG00000000263",2,9,2,5,3,8
"ENSMUSG00000000266",2,9,0,0,0,0
"ENSMUSG00000000275",5,0,3,2,0,1
"ENSMUSG00000000276",151,215,189,104,160,182
"ENSMUSG00000000278",2179,2267,2676,2379,2805,2726
"ENSMUSG00000000282",86,53,54,58,95,68
"ENSMUSG00000000290",0,9,13,0,12,4
"ENSMUSG00000000295",36,65,64,54,46,43
"ENSMUSG00000000296",161,174,188,210,235,189
"ENSMUSG00000000301",134,139,165,159,127,156
"ENSMUSG00000000303",729,893,1263,1051,1558,1209
"ENSMUSG00000000305",94,127,117,99,194,161
"ENSMUSG00000000308",1,1,7,2,0,5
"ENSMUSG00000000317",1,1,2,4,0,0
"ENSMUSG00000000318",396,429,556,494,347,366
"ENSMUSG00000000320",190,266,277,182,204,300
"ENSMUSG00000000326",7,1,0,0,8,0
"ENSMUSG00000000339",312,257,354,284,328,337
"ENSMUSG00000000340",82,77,109,37,81,36
"ENSMUSG00000000346",13368,12404,14103,10345,10987,12174
"ENSMUSG00000000355",40,55,25,25,43,55
"ENSMUSG00000000359",0,0,0,0,0,1
"ENSMUSG00000000365",4402,4694,4759,3560,4607,3898
"ENSMUSG00000000374",270,313,342,232,432,379
"ENSMUSG00000000378",22,52,99,56,61,52
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",35,56,36,49,23,85
"ENSMUSG00000000385",5,0,0,0,7,1
"ENSMUSG00000000386",22,44,18,38,13,8
"ENSMUSG00000000392",0,4,0,0,0,0
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",104,102,139,99,136,148
"ENSMUSG00000000402",593,549,688,597,695,416
"ENSMUSG00000000409",0,0,0,7,6,4
"ENSMUSG00000000411",5,7,0,1,4,2
"ENSMUSG00000000416",345,332,401,239,251,278
"ENSMUSG00000000420",525,492,635,573,793,553
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",1412,1380,1504,1394,1428,1392
"ENSMUSG00000000440",1079,817,1010,1040,1050,958
"ENSMUSG00000000441",3322,3372,4954,3311,4061,3993
"ENSMUSG00000000486",51,57,68,60,74,56
"ENSMUSG00000000489",76,118,213,106,92,112
"ENSMUSG00000000530",0,0,0,0,0,0
"ENSMUSG00000000531",9,6,15,20,10,10
"ENSMUSG00000000532",88,86,148,71,155,178
"ENSMUSG00000000538",492,464,663,576,499,625
"ENSMUSG00000000544",97,113,295,187,154,225
"ENSMUSG00000000552",245,302,484,315,218,432
"ENSMUSG00000000555",16,3,38,2,15,12
"ENSMUSG00000000560",0,0,3,7,0,0
"ENSMUSG00000000561",1,0,0,0,1,1
"ENSMUSG00000000562",2,1,4,3,7,0
"ENSMUSG00000000563",1885,1850,2507,2054,2057,2383
