"","SRR11148753","SRR11148754","SRR11148755","SRR11148756","SRR11148757","SRR11148758","SRR11148759","SRR11148760"
"ENSMUSG00000000001",103,163,1299,104,100,57,87,1064
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",7,41,228,26,84,39,0,203
"ENSMUSG00000000031",738,3530,24375,3684,8898,5147,1161,12670
"ENSMUSG00000000037",1,25,22,0,0,0,0,19
"ENSMUSG00000000049",0,44,134,0,0,0,0,18
"ENSMUSG00000000056",528,1301,8651,1145,2728,694,444,5271
"ENSMUSG00000000058",116,66,1258,66,146,115,85,1179
"ENSMUSG00000000078",113,249,2007,250,497,184,79,1245
"ENSMUSG00000000085",262,702,4110,514,1336,814,416,3108
"ENSMUSG00000000088",4086,11294,80281,10110,17330,7258,5189,34475
"ENSMUSG00000000093",119,321,1872,231,560,283,123,1525
"ENSMUSG00000000094",2,30,164,16,19,23,9,70
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",4,16,87,18,27,0,34,45
"ENSMUSG00000000125",0,0,9,1,0,0,0,27
"ENSMUSG00000000126",65,242,1530,174,363,153,105,585
"ENSMUSG00000000127",55,179,841,102,293,116,62,567
"ENSMUSG00000000131",2615,2740,23764,2407,4407,3726,2298,23162
"ENSMUSG00000000134",118,265,2217,238,590,405,251,1519
"ENSMUSG00000000142",119,125,734,141,153,92,18,683
"ENSMUSG00000000148",127,175,1668,181,208,205,117,956
"ENSMUSG00000000149",143,421,2841,321,855,286,80,1492
"ENSMUSG00000000154",3,0,77,0,34,19,26,50
"ENSMUSG00000000157",0,0,0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0,0,0
"ENSMUSG00000000167",0,11,58,11,15,5,0,20
"ENSMUSG00000000168",468,1488,10850,1205,1891,743,376,3969
"ENSMUSG00000000171",825,3137,22952,2661,4515,1929,898,7668
"ENSMUSG00000000182",0,6,14,8,0,11,0,24
"ENSMUSG00000000183",26,89,819,51,118,154,6,526
"ENSMUSG00000000184",123,186,1866,179,210,176,221,1180
"ENSMUSG00000000194",255,545,3960,415,1088,755,170,2992
"ENSMUSG00000000197",44,18,63,0,29,0,0,18
"ENSMUSG00000000202",2,0,14,16,0,0,0,0
"ENSMUSG00000000204",0,31,153,0,51,14,0,76
"ENSMUSG00000000214",0,0,0,0,0,0,0,8
"ENSMUSG00000000215",0,3,0,0,40,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0
"ENSMUSG00000000223",338,272,4004,269,305,243,128,3232
"ENSMUSG00000000244",5,1,74,0,0,0,0,37
"ENSMUSG00000000247",0,2,68,0,0,0,0,2
"ENSMUSG00000000248",0,0,5,0,0,0,0,0
"ENSMUSG00000000253",819,3489,20333,3069,6073,2933,1330,9257
"ENSMUSG00000000263",0,0,0,0,0,0,0,0
"ENSMUSG00000000266",25,44,710,67,108,51,26,411
"ENSMUSG00000000275",183,375,3247,321,623,357,224,2047
"ENSMUSG00000000276",160,316,2657,117,318,376,84,1717
"ENSMUSG00000000278",51,140,1348,95,253,184,54,679
"ENSMUSG00000000282",186,319,1589,325,498,299,203,1288
"ENSMUSG00000000290",6,84,338,41,57,40,0,113
"ENSMUSG00000000295",108,378,2365,269,486,198,238,1233
"ENSMUSG00000000296",138,389,2918,610,729,386,276,1741
"ENSMUSG00000000301",7,50,379,65,38,15,84,221
"ENSMUSG00000000303",0,3,103,0,27,9,0,63
"ENSMUSG00000000305",99,376,591,246,222,200,95,848
"ENSMUSG00000000308",0,55,29,0,22,0,11,1
"ENSMUSG00000000317",134,405,2168,339,318,295,187,2252
"ENSMUSG00000000318",95,160,1184,102,334,95,77,582
"ENSMUSG00000000320",17,20,429,14,44,0,19,296
"ENSMUSG00000000326",460,785,6969,901,2053,1133,706,4758
"ENSMUSG00000000339",251,565,3469,551,716,472,395,2025
"ENSMUSG00000000340",179,220,1898,293,888,333,314,2664
"ENSMUSG00000000346",346,1014,7559,823,1501,808,495,4995
"ENSMUSG00000000355",142,308,3913,202,434,251,196,1230
"ENSMUSG00000000359",18,29,524,60,102,102,24,352
"ENSMUSG00000000365",3,1,15,0,0,0,0,7
"ENSMUSG00000000374",300,583,4344,502,974,600,383,2642
"ENSMUSG00000000378",187,557,3735,521,1093,559,352,2054
"ENSMUSG00000000381",0,3,0,0,0,0,0,0
"ENSMUSG00000000384",691,1056,8805,1258,2329,1191,1054,4830
"ENSMUSG00000000385",0,0,3,0,18,0,0,25
"ENSMUSG00000000386",0,12,182,30,91,6,0,14
"ENSMUSG00000000392",80,159,2334,279,224,150,251,1180
"ENSMUSG00000000394",0,0,0,0,0,0,0,0
"ENSMUSG00000000399",1699,5278,38788,4801,10342,5762,3186,20932
"ENSMUSG00000000402",4,0,12,19,0,0,0,89
"ENSMUSG00000000409",0,6,45,0,27,0,0,23
"ENSMUSG00000000411",0,0,0,0,0,0,0,0
"ENSMUSG00000000416",25,23,335,23,50,37,27,287
"ENSMUSG00000000420",202,625,4302,417,872,415,313,1939
"ENSMUSG00000000435",21,12,241,23,29,8,7,125
"ENSMUSG00000000439",274,746,5649,804,1106,739,392,3340
"ENSMUSG00000000440",83,44,643,13,58,37,1,377
"ENSMUSG00000000441",1382,2556,19671,2239,5936,2953,1782,13146
"ENSMUSG00000000486",31,51,337,56,56,52,18,298
"ENSMUSG00000000489",300,684,4564,651,1000,904,416,4402
"ENSMUSG00000000530",196,254,2981,356,610,422,175,2209
"ENSMUSG00000000531",139,338,1438,230,322,138,138,1319
"ENSMUSG00000000532",559,689,4145,600,1179,383,560,3325
"ENSMUSG00000000538",1506,2610,23339,2187,4574,3258,1975,11852
"ENSMUSG00000000544",0,0,0,0,0,0,0,0
"ENSMUSG00000000552",53,137,987,192,174,186,86,616
"ENSMUSG00000000555",304,352,3304,589,675,478,322,2624
"ENSMUSG00000000560",0,0,2,0,0,0,21,0
"ENSMUSG00000000561",202,401,4058,306,438,269,97,1485
"ENSMUSG00000000562",0,0,32,0,0,0,0,13
"ENSMUSG00000000563",2055,6803,58850,5832,9719,4458,2407,19658
"ENSMUSG00000000567",16,14,287,57,32,39,7,334
"ENSMUSG00000000568",334,603,4885,415,907,460,122,2965
"ENSMUSG00000000579",28,11,434,30,85,33,78,214
"ENSMUSG00000000581",69,290,2137,253,282,165,102,1004
"ENSMUSG00000000594",138,426,2947,460,818,482,232,2516
"ENSMUSG00000000600",237,197,2595,158,352,220,180,1449
"ENSMUSG00000000605",546,979,7661,854,1512,741,681,4955
"ENSMUSG00000000606",0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,5,0,0,0,0
"ENSMUSG00000000627",0,15,86,11,20,5,0,59
"ENSMUSG00000000628",1528,4190,30344,4186,5737,2337,1115,12913
"ENSMUSG00000000631",1306,3105,24542,2992,7182,5093,1974,20486
"ENSMUSG00000000632",2,22,143,4,73,17,18,292
"ENSMUSG00000000673",0,19,52,5,15,0,7,5
"ENSMUSG00000000682",12,52,367,59,32,52,0,157
"ENSMUSG00000000686",0,0,23,0,0,11,0,6
"ENSMUSG00000000690",18,28,337,23,0,77,16,286
"ENSMUSG00000000693",90,166,1450,152,261,262,92,974
"ENSMUSG00000000701",0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0
"ENSMUSG00000000708",147,565,3872,396,751,258,180,2160
"ENSMUSG00000000711",230,678,5477,560,1460,557,147,2203
"ENSMUSG00000000724",0,0,0,0,0,0,0,0
"ENSMUSG00000000730",5,0,10,0,0,0,0,0
"ENSMUSG00000000731",0,0,1,0,0,0,0,0
"ENSMUSG00000000732",65,106,853,173,220,114,117,310
"ENSMUSG00000000738",871,1621,10775,1725,2942,1643,745,5851
"ENSMUSG00000000739",109,58,1196,178,216,186,66,696
"ENSMUSG00000000740",2976,6628,43836,7000,17506,9560,4405,35154
"ENSMUSG00000000743",434,1044,7126,904,2384,1065,530,5267
"ENSMUSG00000000751",325,674,5650,728,1397,716,563,3886
"ENSMUSG00000000753",402,808,6550,727,1300,1036,629,5719
"ENSMUSG00000000759",256,403,3186,408,641,421,235,2298
"ENSMUSG00000000766",0,0,0,0,24,0,0,0
"ENSMUSG00000000776",125,324,2451,280,777,269,280,1412
"ENSMUSG00000000782",13,7,65,1,20,6,0,85
"ENSMUSG00000000787",345,713,5902,366,911,313,139,3097
"ENSMUSG00000000791",8,1,5,0,0,0,0,4
"ENSMUSG00000000792",4,0,46,10,0,0,0,15
"ENSMUSG00000000794",24,48,342,18,68,7,0,193
"ENSMUSG00000000804",73,135,1379,88,347,221,42,779
"ENSMUSG00000000805",134,146,1577,123,287,298,268,1051
"ENSMUSG00000000811",63,125,1169,97,89,169,147,654
"ENSMUSG00000000817",0,6,8,0,0,0,0,0
"ENSMUSG00000000823",550,876,7314,628,1870,1016,373,5026
"ENSMUSG00000000826",489,890,7850,837,1767,972,553,5341
"ENSMUSG00000000827",645,1292,9827,1153,2777,1314,828,5991
"ENSMUSG00000000838",38,137,1150,81,106,92,49,731
"ENSMUSG00000000861",0,0,52,0,9,0,0,0
"ENSMUSG00000000869",0,0,14,0,0,0,0,11
"ENSMUSG00000000876",249,334,2470,352,762,387,176,1422
"ENSMUSG00000000881",114,153,1375,290,209,251,111,1222
"ENSMUSG00000000884",45,85,990,105,433,130,72,456
"ENSMUSG00000000889",0,0,0,0,0,0,0,0
"ENSMUSG00000000901",74,147,1348,171,103,111,102,665
"ENSMUSG00000000902",259,465,3460,578,1027,656,660,2645
"ENSMUSG00000000903",5,1,60,0,0,4,0,22
"ENSMUSG00000000915",152,363,2193,379,454,364,106,1472
"ENSMUSG00000000916",246,297,2327,253,1112,385,119,1630
"ENSMUSG00000000934",197,324,2250,318,836,344,209,1618
"ENSMUSG00000000938",60,209,958,93,82,90,82,537
"ENSMUSG00000000942",36,63,480,38,99,70,18,298
"ENSMUSG00000000948",0,23,161,0,0,0,0,45
"ENSMUSG00000000957",81,170,1916,63,230,258,116,1398
"ENSMUSG00000000958",16,25,247,24,96,62,41,164
"ENSMUSG00000000959",481,940,7242,896,1935,841,656,4047
"ENSMUSG00000000976",104,320,2516,321,519,336,171,2000
"ENSMUSG00000000982",0,0,9,0,0,0,0,0
"ENSMUSG00000000983",0,2,0,0,0,0,0,4
"ENSMUSG00000001014",14,35,261,48,76,56,11,137
"ENSMUSG00000001016",384,724,5261,513,1268,696,624,3901
"ENSMUSG00000001017",1025,1470,13747,1591,3170,1517,1110,8559
"ENSMUSG00000001018",564,1557,10870,1211,2694,1218,523,6186
"ENSMUSG00000001020",18,18,235,62,67,70,54,336
"ENSMUSG00000001021",0,0,0,0,0,0,0,6
"ENSMUSG00000001023",0,7,18,0,0,19,25,110
"ENSMUSG00000001025",668,1267,11721,1410,2491,1886,896,10552
"ENSMUSG00000001027",2193,4409,40307,3600,9797,6638,2593,30736
"ENSMUSG00000001029",81,120,1333,137,258,216,169,1246
"ENSMUSG00000001034",82,196,1548,186,271,258,32,1206
"ENSMUSG00000001036",432,639,4438,680,1219,635,207,3771
"ENSMUSG00000001039",28,57,434,45,127,74,73,414
"ENSMUSG00000001052",142,315,3089,367,751,283,177,2005
"ENSMUSG00000001053",131,148,849,199,88,159,78,813
"ENSMUSG00000001054",119,235,2228,244,548,281,144,1540
"ENSMUSG00000001056",260,530,4424,629,1290,888,523,3087
"ENSMUSG00000001062",230,398,3411,384,1029,448,221,1986
"ENSMUSG00000001065",327,336,3040,388,592,387,219,2014
"ENSMUSG00000001076",0,0,0,0,0,0,0,0
"ENSMUSG00000001082",87,104,819,151,127,125,38,735
"ENSMUSG00000001089",97,128,1358,126,264,180,116,1036
"ENSMUSG00000001095",0,0,0,0,1,0,0,0
"ENSMUSG00000001098",75,289,2495,210,424,362,97,2665
"ENSMUSG00000001100",609,1608,11663,1742,3189,1713,773,5851
"ENSMUSG00000001103",0,12,69,0,0,0,0,3
"ENSMUSG00000001105",172,389,3128,292,1151,498,362,2170
"ENSMUSG00000001119",478,1393,14752,1518,1886,1653,913,7418
"ENSMUSG00000001120",23,69,431,96,60,73,52,321
"ENSMUSG00000001123",83,256,1823,213,513,273,132,1860
"ENSMUSG00000001127",852,1597,12536,1633,3355,1893,854,9333
"ENSMUSG00000001128",175,224,2573,369,667,404,316,2221
"ENSMUSG00000001131",12,41,203,83,51,15,0,89
"ENSMUSG00000001134",307,595,3930,465,1147,668,549,2274
"ENSMUSG00000001138",268,342,3559,254,558,462,419,2088
"ENSMUSG00000001143",251,506,3860,406,867,520,403,2481
"ENSMUSG00000001150",1016,1134,9345,963,2323,1349,405,8770
"ENSMUSG00000001151",508,1006,7977,923,1737,1384,403,5067
"ENSMUSG00000001155",0,0,0,0,0,0,0,0
"ENSMUSG00000001156",163,146,1077,111,272,171,51,1211
"ENSMUSG00000001157",49,92,657,83,39,74,21,493
