"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000000001",938,978,1184,1311,1226,1024
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",54,44,43,82,60,59
"ENSMUSG00000000031",40,12,65,65,90,51
"ENSMUSG00000000037",17,11,16,19,47,24
"ENSMUSG00000000049",7,2,18,13,4,8
"ENSMUSG00000000056",1791,1974,1712,1816,2327,1920
"ENSMUSG00000000058",551,663,695,766,900,640
"ENSMUSG00000000078",2894,2449,3188,3199,4269,2832
"ENSMUSG00000000085",1464,1642,1449,1576,1779,1357
"ENSMUSG00000000088",804,950,1227,1262,943,737
"ENSMUSG00000000093",43,43,46,43,53,54
"ENSMUSG00000000094",11,9,12,4,6,6
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",23,45,24,24,21,23
"ENSMUSG00000000125",39,24,30,34,29,24
"ENSMUSG00000000126",372,554,403,420,320,388
"ENSMUSG00000000127",1973,2254,2188,2281,2294,2203
"ENSMUSG00000000131",3392,3557,3184,3496,3422,3544
"ENSMUSG00000000134",1235,1090,1164,1328,1222,1046
"ENSMUSG00000000142",1417,1330,1294,1334,1226,1399
"ENSMUSG00000000148",350,373,372,410,396,320
"ENSMUSG00000000149",2001,2002,1615,1900,2050,1798
"ENSMUSG00000000154",11,6,14,12,8,17
"ENSMUSG00000000157",0,0,0,0,0,0
"ENSMUSG00000000159",2,11,2,14,0,13
"ENSMUSG00000000167",69,78,76,78,87,60
"ENSMUSG00000000168",2447,2805,2796,2959,3111,2490
"ENSMUSG00000000171",1461,2118,2243,2117,2040,1384
"ENSMUSG00000000182",5,3,3,0,3,0
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",3053,3672,3458,3642,4259,3349
"ENSMUSG00000000194",1188,1009,1143,1220,1294,1207
"ENSMUSG00000000197",7200,5989,7732,7633,9460,7194
"ENSMUSG00000000202",294,337,370,322,212,387
"ENSMUSG00000000204",0,0,0,0,0,0
"ENSMUSG00000000214",46,9,30,14,19,10
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",8,0,5,2,10,3
"ENSMUSG00000000223",3740,4665,3845,4375,3178,4769
"ENSMUSG00000000244",0,0,0,0,1,0
"ENSMUSG00000000247",1738,1824,1434,1498,2233,1386
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",752,699,794,789,718,706
"ENSMUSG00000000263",53,52,63,73,12,31
"ENSMUSG00000000266",1240,1116,1250,1517,1711,1314
"ENSMUSG00000000275",241,170,243,262,318,222
"ENSMUSG00000000276",2914,2640,2877,2697,3672,3026
"ENSMUSG00000000278",426,392,382,538,577,421
"ENSMUSG00000000282",1124,1019,811,919,1192,981
"ENSMUSG00000000290",217,192,215,274,209,167
"ENSMUSG00000000295",283,310,368,345,351,304
"ENSMUSG00000000296",402,508,470,447,558,366
"ENSMUSG00000000301",50,59,109,110,88,56
"ENSMUSG00000000303",99,15,83,119,260,79
"ENSMUSG00000000305",1641,1132,1199,1220,985,1267
"ENSMUSG00000000308",6865,5299,7019,7426,6320,7465
"ENSMUSG00000000317",69,22,91,54,76,74
"ENSMUSG00000000318",10,7,30,17,22,25
"ENSMUSG00000000320",27,20,21,39,26,23
"ENSMUSG00000000326",2041,1668,1913,2058,1980,1792
"ENSMUSG00000000339",900,1021,1064,1058,962,866
"ENSMUSG00000000340",732,787,880,844,1032,779
"ENSMUSG00000000346",3075,3264,3270,3476,3619,3077
"ENSMUSG00000000355",799,892,1058,1061,834,944
"ENSMUSG00000000359",25,37,19,17,35,40
"ENSMUSG00000000365",2,3,9,3,5,5
"ENSMUSG00000000374",3649,4002,3820,4256,3902,3599
"ENSMUSG00000000378",873,741,923,860,1080,1003
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",577,510,524,519,540,596
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",1,13,4,4,15,13
"ENSMUSG00000000392",128,186,173,180,60,185
"ENSMUSG00000000394",4,0,4,0,3,3
"ENSMUSG00000000399",2500,2367,3163,3076,2868,2810
"ENSMUSG00000000402",59,56,90,93,54,78
"ENSMUSG00000000409",37,22,54,40,47,53
"ENSMUSG00000000411",3,3,2,0,11,0
"ENSMUSG00000000416",3925,3583,3091,3493,3746,4122
"ENSMUSG00000000420",1636,1761,1872,1842,1867,2019
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",850,737,974,1115,1083,819
"ENSMUSG00000000440",159,403,221,337,160,309
"ENSMUSG00000000441",1430,1652,1705,1701,1792,1619
"ENSMUSG00000000486",27,24,25,22,31,19
"ENSMUSG00000000489",460,437,493,561,514,500
"ENSMUSG00000000530",535,555,688,604,549,680
"ENSMUSG00000000531",2768,1948,3187,3135,2000,2831
"ENSMUSG00000000532",4064,4380,3954,3723,4178,4679
"ENSMUSG00000000538",9272,10484,9986,10778,9953,9386
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",1242,1035,931,993,812,1014
"ENSMUSG00000000555",77,41,65,75,63,59
