"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000000001",1065,773,1481,1593,1665,1248,128,1210
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",40,21,50,48,46,31,70,38
"ENSMUSG00000000031",0,2,3,4,8,2,2,5
"ENSMUSG00000000037",18,13,27,44,22,27,2,18
"ENSMUSG00000000049",12,6,8,15,9,5,21,8
"ENSMUSG00000000056",1317,1073,1660,1576,1636,1480,1002,1300
"ENSMUSG00000000058",1205,563,1414,1734,1288,1097,119,1024
"ENSMUSG00000000078",1385,791,1575,1983,1593,1306,366,1324
"ENSMUSG00000000085",903,804,1131,1137,1253,1072,1568,839
"ENSMUSG00000000088",1560,1701,2024,2117,1955,1731,4457,1492
"ENSMUSG00000000093",48,38,57,61,65,67,115,48
"ENSMUSG00000000094",4,5,8,2,12,3,1,7
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",81,73,120,133,144,132,339,126
"ENSMUSG00000000125",58,77,171,238,68,97,271,60
"ENSMUSG00000000126",211,213,255,316,355,200,353,212
"ENSMUSG00000000127",667,530,778,880,978,650,92,630
"ENSMUSG00000000131",2699,2268,3442,3327,3307,2729,4205,2510
"ENSMUSG00000000134",910,778,1192,1165,1081,942,2974,876
"ENSMUSG00000000142",602,450,889,893,755,727,681,622
"ENSMUSG00000000148",438,333,577,554,562,495,1168,442
"ENSMUSG00000000149",2632,2533,3827,3996,3539,2987,6403,2754
"ENSMUSG00000000154",6,4,27,39,40,39,87,18
"ENSMUSG00000000157",2,0,3,9,3,13,2,3
"ENSMUSG00000000159",6,6,13,10,9,10,12,10
"ENSMUSG00000000167",41,27,52,76,83,56,31,52
"ENSMUSG00000000168",4124,2915,4754,5099,5519,4009,1488,3956
"ENSMUSG00000000171",1683,1361,2113,2386,2352,1940,3437,1827
"ENSMUSG00000000182",3,6,4,1,2,8,2,2
"ENSMUSG00000000183",0,0,0,0,0,1,0,0
"ENSMUSG00000000184",3055,2311,3353,3650,4103,3487,1169,3345
"ENSMUSG00000000194",1498,1211,1997,2066,2044,1837,2941,1484
"ENSMUSG00000000197",5027,3647,6178,6718,6599,5051,728,4568
"ENSMUSG00000000202",403,406,588,619,502,477,2095,405
"ENSMUSG00000000204",4,1,1,2,1,1,0,0
"ENSMUSG00000000214",19,20,30,30,16,23,160,10
"ENSMUSG00000000215",0,0,5,6,10,10,15,14
"ENSMUSG00000000216",6,3,5,8,7,6,7,7
"ENSMUSG00000000223",1989,1654,2225,2252,2545,1972,1521,1828
"ENSMUSG00000000244",5,4,8,11,12,3,16,5
"ENSMUSG00000000247",1973,1731,2029,2409,2612,2052,2547,1961
"ENSMUSG00000000248",0,0,1,0,0,0,0,0
"ENSMUSG00000000253",1016,1120,1219,1278,1474,1142,3481,1104
"ENSMUSG00000000263",5,6,455,166,9,122,42,11
"ENSMUSG00000000266",1237,787,1677,1689,1481,1223,123,1066
"ENSMUSG00000000275",258,199,407,509,454,379,156,319
"ENSMUSG00000000276",3408,2464,4047,4257,4313,3196,682,3125
"ENSMUSG00000000278",346,242,559,577,568,472,600,400
"ENSMUSG00000000282",1461,1130,1516,1809,1822,1442,3405,1301
"ENSMUSG00000000290",181,151,178,225,216,161,366,139
"ENSMUSG00000000295",179,159,289,280,273,231,383,182
"ENSMUSG00000000296",624,505,849,960,805,724,891,636
"ENSMUSG00000000301",35,31,42,41,53,43,177,36
"ENSMUSG00000000303",53,3,140,212,285,199,80,90
"ENSMUSG00000000305",472,413,919,819,593,660,1240,453
"ENSMUSG00000000308",4526,4108,5855,5949,5576,4878,15487,4083
"ENSMUSG00000000317",47,29,58,59,69,61,112,44
"ENSMUSG00000000318",12,7,17,16,20,13,24,6
"ENSMUSG00000000320",11,18,40,26,24,44,54,14
"ENSMUSG00000000326",1395,1254,1616,1969,1914,1458,3178,1319
"ENSMUSG00000000339",996,800,1258,1265,1327,1009,1288,944
"ENSMUSG00000000340",684,490,856,1049,1013,836,93,770
"ENSMUSG00000000346",2823,2215,3541,3986,3907,2981,2968,2760
"ENSMUSG00000000355",905,686,1087,1256,1307,913,317,918
"ENSMUSG00000000359",11,7,21,15,17,22,22,15
"ENSMUSG00000000365",32,14,46,38,34,19,4,17
"ENSMUSG00000000374",3683,3247,4569,4727,4797,3799,5947,3496
"ENSMUSG00000000378",959,852,1266,1401,1301,1090,3216,984
"ENSMUSG00000000381",0,0,0,0,0,0,0,0
"ENSMUSG00000000384",669,578,809,906,851,703,1991,639
"ENSMUSG00000000385",1,1,0,6,4,6,3,4
"ENSMUSG00000000386",5,3,9,8,5,9,6,5
"ENSMUSG00000000392",17,9,91,159,112,148,9,88
"ENSMUSG00000000394",1,0,1,1,0,0,0,0
