"","GSM5398358","GSM5398359","GSM5398360","GSM5398361","GSM5398362","GSM5398363","GSM5398364","GSM5398365","GSM5398366","GSM5398367","GSM5398368","GSM5398369"
"ENSMUSG00000000001",350,444,326,406,317,472,390,506,247,428,393,392
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",38,40,26,44,45,46,38,45,29,30,29,39
"ENSMUSG00000000031",24081,20460,22997,16920,12757,16312,19580,21072,15590,16215,11767,12436
"ENSMUSG00000000037",7,3,14,6,9,6,4,3,5,1,0,6
"ENSMUSG00000000049",3,5,3,0,4,5,9,2,12,1,6,2
"ENSMUSG00000000056",2037,2346,2356,2429,1694,2026,2566,2833,2290,2762,1986,2008
"ENSMUSG00000000058",359,416,419,450,280,455,450,559,352,448,300,402
"ENSMUSG00000000078",1621,1633,963,1301,1598,2116,1386,1811,728,1116,1643,1674
"ENSMUSG00000000085",592,690,638,809,647,794,669,861,582,781,564,664
"ENSMUSG00000000088",2459,2599,2343,2171,1553,1674,2553,3241,1739,2295,1363,1705
"ENSMUSG00000000093",76,109,92,114,116,121,69,60,62,77,52,60
"ENSMUSG00000000094",40,42,51,55,47,48,24,30,3,52,19,28
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",61,44,61,107,67,68,84,127,35,96,79,73
"ENSMUSG00000000125",2,1,0,1,0,0,1,1,0,0,1,3
"ENSMUSG00000000126",158,186,177,194,165,135,150,209,175,175,141,127
"ENSMUSG00000000127",316,371,355,373,401,452,366,452,251,429,421,394
"ENSMUSG00000000131",1562,1681,1482,1909,2337,2161,1240,1371,945,1446,1443,1536
"ENSMUSG00000000134",237,263,254,287,250,338,232,277,181,285,182,210
"ENSMUSG00000000142",269,299,292,399,375,417,195,246,184,266,174,201
"ENSMUSG00000000148",166,173,143,193,157,143,124,150,129,151,116,106
"ENSMUSG00000000149",412,455,388,406,384,411,403,466,319,389,299,402
"ENSMUSG00000000154",3,2,5,3,5,1,6,6,5,6,3,1
"ENSMUSG00000000157",0,0,0,0,0,0,0,0,11,0,3,1
"ENSMUSG00000000159",0,1,0,0,1,0,0,0,0,3,0,0
"ENSMUSG00000000167",11,3,11,9,16,8,13,11,5,7,7,6
"ENSMUSG00000000168",3009,3211,3125,3246,2377,2850,3488,4290,2333,3356,2573,2608
"ENSMUSG00000000171",1965,2300,2239,1917,1386,1742,2383,2724,1777,2035,1436,1625
"ENSMUSG00000000182",0,1,0,0,4,0,0,0,0,0,0,0
"ENSMUSG00000000183",89,125,140,118,73,99,107,148,96,107,66,67
"ENSMUSG00000000184",387,432,321,402,386,446,460,578,231,366,317,369
"ENSMUSG00000000194",893,1023,928,961,893,950,958,1148,707,962,885,907
"ENSMUSG00000000197",14,24,17,10,21,25,13,15,5,20,9,18
"ENSMUSG00000000202",1,1,0,2,1,0,0,0,0,0,0,0
"ENSMUSG00000000204",7,11,2,10,9,10,5,15,7,7,21,11
"ENSMUSG00000000214",1,2,0,2,0,7,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",871,884,642,786,1322,1332,297,381,229,280,223,320
"ENSMUSG00000000244",4,4,1,4,3,4,2,10,0,3,2,3
"ENSMUSG00000000247",4,1,3,1,0,1,2,2,0,0,0,2
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000000253",1621,1859,1514,1847,1603,1775,1681,1975,1215,1912,1529,1644
"ENSMUSG00000000263",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000266",223,207,214,241,191,251,206,267,164,224,164,188
"ENSMUSG00000000275",667,458,417,493,576,448,475,452,277,382,607,325
"ENSMUSG00000000276",186,208,305,306,187,207,147,234,321,289,192,161
"ENSMUSG00000000278",99,134,104,100,91,107,119,138,52,113,99,100
"ENSMUSG00000000282",385,412,354,457,341,415,363,341,217,386,268,298
"ENSMUSG00000000290",38,34,31,36,36,39,34,30,14,28,36,37
"ENSMUSG00000000295",76,60,68,66,59,63,89,108,45,104,64,78
"ENSMUSG00000000296",176,212,198,173,127,194,227,299,221,298,167,192
"ENSMUSG00000000301",10,16,15,7,8,7,13,21,16,11,13,15
"ENSMUSG00000000303",105,95,67,74,167,167,35,32,25,34,18,36
"ENSMUSG00000000305",591,574,579,833,611,823,711,1107,631,822,723,766
"ENSMUSG00000000308",0,0,1,0,1,1,0,4,0,0,0,0
"ENSMUSG00000000317",516,546,229,488,349,595,396,440,162,340,204,423
"ENSMUSG00000000318",20,38,34,23,36,52,53,57,37,48,45,60
"ENSMUSG00000000320",35,66,41,51,33,42,40,31,42,41,19,22
"ENSMUSG00000000326",425,493,430,450,380,502,501,578,356,437,389,392
"ENSMUSG00000000339",194,244,198,209,163,237,240,323,223,275,194,210
"ENSMUSG00000000340",509,695,597,746,438,637,676,756,576,870,502,607
"ENSMUSG00000000346",718,813,792,799,582,787,866,941,707,849,637,731
"ENSMUSG00000000355",238,252,265,297,158,252,287,335,190,317,305,259
"ENSMUSG00000000359",104,127,89,127,128,128,77,79,72,120,78,84
"ENSMUSG00000000365",0,0,0,1,3,0,0,0,0,0,0,0
"ENSMUSG00000000374",1044,1135,1012,1169,994,1186,1114,1348,760,1131,892,1062
"ENSMUSG00000000378",229,268,229,275,211,269,255,269,132,223,200,232
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",562,659,580,606,584,596,600,634,483,510,403,558
"ENSMUSG00000000385",1,1,0,2,2,9,0,1,0,1,0,1
"ENSMUSG00000000386",5,4,1,5,3,6,5,3,6,7,5,8
"ENSMUSG00000000392",142,193,184,209,221,187,234,304,174,331,265,221
"ENSMUSG00000000394",0,0,0,0,1,0,1,0,0,0,2,0
"ENSMUSG00000000399",2252,2533,2363,2404,1777,2047,2600,3164,1765,2324,1815,2037
"ENSMUSG00000000402",1,3,2,0,5,3,1,2,7,9,6,2
"ENSMUSG00000000409",0,2,4,0,3,7,1,2,0,0,0,4
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",85,76,73,104,108,115,42,61,30,60,45,56
"ENSMUSG00000000420",1059,1083,1099,1264,882,1183,1265,1594,1136,1348,1129,1289
"ENSMUSG00000000435",21,17,26,30,24,34,23,31,0,22,27,17
"ENSMUSG00000000439",794,977,978,1101,847,912,1022,1122,797,1090,826,898
"ENSMUSG00000000440",126,120,78,124,135,145,160,131,54,101,88,118
"ENSMUSG00000000441",1987,2266,2047,2429,1975,2361,2184,2629,1637,2333,1943,2183
"ENSMUSG00000000486",24,15,17,27,16,35,8,21,9,11,10,17
"ENSMUSG00000000489",549,523,399,534,389,419,354,471,307,429,258,370
"ENSMUSG00000000530",386,368,251,318,393,360,271,300,181,257,301,285
"ENSMUSG00000000531",159,142,130,157,160,122,93,130,60,104,169,103
"ENSMUSG00000000532",1675,1507,1063,1278,1206,1353,1450,1562,978,1237,1468,1117
"ENSMUSG00000000538",2397,2737,2752,2764,2543,2542,2402,2559,2053,2375,2014,2138
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",148,228,159,203,209,240,156,219,189,194,117,177
"ENSMUSG00000000555",394,422,279,367,383,446,259,265,145,286,251,257
"ENSMUSG00000000560",1,8,5,3,3,4,1,2,3,0,3,1
"ENSMUSG00000000561",248,338,301,324,209,270,350,434,299,364,248,273
"ENSMUSG00000000562",0,0,1,0,0,0,1,4,0,0,0,0
"ENSMUSG00000000563",2779,3073,2809,2813,2008,2473,3281,3949,2377,3092,2459,2436
"ENSMUSG00000000567",65,66,72,66,51,60,41,55,35,78,59,60
"ENSMUSG00000000568",1116,1273,1202,1355,1116,1299,1310,1751,1006,1494,1192,1250
"ENSMUSG00000000579",3,8,3,6,7,6,5,7,0,10,5,4
"ENSMUSG00000000581",351,373,376,336,234,298,478,589,536,505,388,371
"ENSMUSG00000000594",230,248,203,292,185,285,273,311,175,223,196,223
"ENSMUSG00000000600",878,871,795,977,830,1068,862,1090,667,945,914,837
"ENSMUSG00000000605",744,833,802,769,606,706,848,914,657,804,664,656
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",4,3,4,2,6,3,2,9,0,9,1,1
"ENSMUSG00000000628",9922,10466,8541,9360,8152,9760,10142,10950,7501,9571,9124,8671
"ENSMUSG00000000631",7529,7667,6852,8116,8412,8227,7147,8468,5480,8502,7375,7247
"ENSMUSG00000000632",8,8,1,10,3,6,8,2,15,6,1,3
"ENSMUSG00000000673",0,4,0,2,1,4,1,0,0,0,1,1
"ENSMUSG00000000682",1,3,2,1,7,9,2,1,0,6,1,6
"ENSMUSG00000000686",20,24,3,13,10,19,17,10,9,12,4,13
"ENSMUSG00000000690",24,19,33,32,19,15,14,14,18,29,17,19
"ENSMUSG00000000693",50,69,47,73,87,93,70,95,38,51,56,62
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,3,0,0,0,1,0
"ENSMUSG00000000708",1138,1251,1315,1543,1004,1340,1293,1805,1172,1563,1069,1219
"ENSMUSG00000000711",634,748,743,777,526,704,792,933,589,707,571,582
"ENSMUSG00000000724",0,0,0,1,2,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,3,0,1,0,0,2,0,0
"ENSMUSG00000000731",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000732",66,73,65,77,82,83,82,73,37,71,72,61
"ENSMUSG00000000738",1188,1325,1175,1373,1276,1357,1274,1505,1074,1318,1219,1262
"ENSMUSG00000000739",24,49,26,24,33,47,23,22,5,29,27,36
"ENSMUSG00000000740",147,198,169,211,161,129,293,267,156,212,197,237
"ENSMUSG00000000743",223,278,196,242,204,232,256,308,190,255,207,209
"ENSMUSG00000000751",949,1187,1046,1311,1012,1223,1333,1517,1081,1172,1055,1227
"ENSMUSG00000000753",239,395,260,274,336,336,419,487,277,398,373,347
"ENSMUSG00000000759",378,404,337,391,418,517,350,437,201,438,373,352
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000776",328,373,394,345,363,396,392,421,339,412,361,357
"ENSMUSG00000000782",7,10,15,22,17,26,12,10,4,9,3,8
"ENSMUSG00000000787",6286,6934,6321,6876,5604,7146,7477,8274,6153,8298,6873,6536
"ENSMUSG00000000791",1,1,2,1,7,5,3,1,0,4,6,0
"ENSMUSG00000000792",1,2,1,1,2,5,2,3,0,0,1,1
"ENSMUSG00000000794",106,81,92,121,99,122,78,126,89,83,63,56
"ENSMUSG00000000804",660,759,650,800,734,830,744,931,700,904,757,761
"ENSMUSG00000000805",118,138,79,124,122,168,118,105,126,124,110,77
"ENSMUSG00000000811",80,106,111,118,93,133,125,154,84,140,116,95
"ENSMUSG00000000817",0,0,0,0,0,3,2,1,0,0,0,0
"ENSMUSG00000000823",682,934,898,1106,852,1054,786,1032,548,1023,619,704
