"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000000001",112,184,126,106,213,28,71,162,139,118,85,81
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",0,0,24,6,0,0,2,2,2,0,0,0
"ENSMUSG00000000031",3583,2321,1236,886,3086,1092,1129,4620,3394,362,1306,828
"ENSMUSG00000000037",0,0,0,52,2,0,0,0,0,4,33,0
"ENSMUSG00000000049",0,1,0,0,0,0,0,12,2,0,0,0
"ENSMUSG00000000056",867,902,983,622,1043,234,359,1203,907,471,290,575
"ENSMUSG00000000058",317,222,121,84,270,118,109,266,332,131,107,214
"ENSMUSG00000000078",492,601,537,341,627,208,626,936,1045,330,411,520
"ENSMUSG00000000085",207,119,94,86,192,106,116,176,286,45,16,38
"ENSMUSG00000000088",14646,10958,8550,8375,14030,4434,6088,19438,16677,5106,6069,5612
"ENSMUSG00000000093",52,7,0,17,0,0,0,2,22,34,1,0
"ENSMUSG00000000094",6,0,47,0,0,0,0,55,24,43,10,7
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0,0,3,0,5,5,11,22,7,1,0,0
"ENSMUSG00000000125",0,10,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",155,15,46,51,85,4,24,63,140,16,6,8
"ENSMUSG00000000127",188,161,193,206,332,31,102,216,341,204,51,53
"ENSMUSG00000000131",8,18,35,1,94,0,14,22,2,3,15,19
"ENSMUSG00000000134",68,63,46,57,111,28,84,123,195,39,33,11
"ENSMUSG00000000142",67,45,9,24,70,24,53,110,97,1,146,71
"ENSMUSG00000000148",30,47,7,16,83,0,48,45,80,12,2,0
"ENSMUSG00000000149",137,124,113,80,171,27,50,152,137,83,53,25
"ENSMUSG00000000154",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000157",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000167",0,2,0,15,0,0,0,0,0,7,0,0
"ENSMUSG00000000168",2821,1692,1255,1261,1993,699,910,2375,2584,719,914,986
"ENSMUSG00000000171",2721,2453,2178,1953,2989,964,1381,3962,3737,1121,1280,1543
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",27,26,66,0,85,0,24,102,34,7,0,1
"ENSMUSG00000000184",310,446,222,203,425,72,112,459,327,194,212,241
"ENSMUSG00000000194",155,165,152,63,198,78,50,229,166,64,112,40
"ENSMUSG00000000197",28,13,0,13,2,2,1,2,30,39,0,0
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000214",0,30,0,0,12,0,0,0,1,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",29,151,89,43,105,57,2,79,155,15,95,146
"ENSMUSG00000000244",1,0,3,1,1,0,0,11,0,0,0,0
"ENSMUSG00000000247",0,2,1,9,7,0,0,23,0,0,0,0
"ENSMUSG00000000248",0,0,0,5,0,0,0,0,0,0,1,0
"ENSMUSG00000000253",3012,2488,2891,2034,3142,1018,1823,3434,3561,1625,1100,1633
"ENSMUSG00000000263",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",3,73,5,8,3,0,58,28,55,18,0,30
"ENSMUSG00000000275",17,41,3,80,66,0,13,50,59,34,0,20
"ENSMUSG00000000276",116,34,21,25,29,0,0,105,112,43,17,35
"ENSMUSG00000000278",35,116,98,3,52,18,38,76,92,41,47,0
"ENSMUSG00000000282",37,96,24,25,13,24,49,168,73,34,66,46
"ENSMUSG00000000290",6,0,0,5,31,0,1,11,7,0,0,1
"ENSMUSG00000000295",169,152,185,144,226,1,132,163,211,163,199,54
