"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000000001",187,757,1012,214,1052,644,111,175,726,213,112,209,413,1226,879,653,80,450,925,668
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",8,26,62,16,72,13,0,5,1,0,5,10,28,98,68,23,1,0,27,47
"ENSMUSG00000000031",3,7,6,1,7,1,0,10,11,2,0,0,1,14,2,2,0,1,3,1
"ENSMUSG00000000037",0,7,0,19,0,3,0,1,4,0,0,0,16,2,0,0,0,0,5,3
"ENSMUSG00000000049",1,1,15,0,1,0,0,0,2,0,0,0,2,27,27,16,2,0,2,4
"ENSMUSG00000000056",58,241,373,102,281,182,38,110,235,53,37,64,140,399,275,160,29,82,220,304
"ENSMUSG00000000058",22,95,126,25,90,68,23,35,75,51,15,16,26,126,75,56,11,66,57,55
"ENSMUSG00000000078",218,1115,1701,372,1595,800,179,273,1141,336,133,343,441,1986,1482,799,95,550,1174,925
"ENSMUSG00000000085",23,103,241,45,202,116,33,45,212,34,6,35,88,242,195,105,35,67,119,159
"ENSMUSG00000000088",357,1970,4256,674,4977,2164,271,732,2834,561,347,493,1240,4665,3610,2758,224,1474,3455,2548
"ENSMUSG00000000093",8,37,34,0,8,37,0,0,27,3,1,0,16,28,5,9,0,5,2,2
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000000120",0,65,44,6,56,24,19,7,32,32,3,7,5,72,43,24,1,13,21,25
"ENSMUSG00000000125",0,0,0,1,0,0,0,0,0,5,0,0,0,0,7,8,0,7,0,0
"ENSMUSG00000000126",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0
"ENSMUSG00000000127",13,188,216,74,178,83,42,8,226,12,14,12,70,151,155,135,12,84,159,97
