"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000000001",347,406,370,496,323,261,388,620,276,694,1004,486,4100,1477,366,3342,537,729,1647,286
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",1,1,12,1,1,4,2,17,0,1,121,31,425,145,2,473,46,44,173,3
"ENSMUSG00000000031",0,1,0,1,7,0,1,1,15,1,30,0,44,4,2,12,0,4,30,1
"ENSMUSG00000000037",0,0,0,7,0,0,9,4,0,0,0,2,41,0,0,22,26,0,17,2
"ENSMUSG00000000049",0,0,0,0,0,1,0,1,0,0,0,0,4,5,0,11,4,2,0,0
"ENSMUSG00000000056",74,115,98,143,59,120,85,184,112,228,368,129,1462,499,205,1394,84,177,425,35
"ENSMUSG00000000058",27,66,28,228,43,42,21,63,20,17,31,13,836,13,78,41,54,106,36,71
"ENSMUSG00000000078",219,209,173,406,158,199,182,593,236,457,851,241,4716,886,367,2551,423,513,908,207
"ENSMUSG00000000085",113,82,55,31,40,51,33,202,40,191,119,96,667,226,22,562,150,177,331,46
"ENSMUSG00000000088",874,1185,590,3831,1364,1004,750,3562,1230,1964,1525,1182,23348,3443,2267,12032,1014,2964,2679,1228
"ENSMUSG00000000093",0,3,2,0,0,6,0,7,0,4,0,18,12,9,0,7,0,23,0,0
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0,1,0,0,3,0,0,1,0,0,0,2,39,3,0,19,0,2,0,0
"ENSMUSG00000000125",20,0,0,0,0,0,4,0,0,0,8,0,0,0,0,6,0,0,1,0
"ENSMUSG00000000126",0,0,9,17,34,0,0,0,9,15,21,0,76,2,0,26,12,16,8,0
"ENSMUSG00000000127",51,6,16,40,0,29,2,132,57,75,8,91,261,74,54,294,70,68,49,33
