"","EU181","EU182","EU183","EU184","EU185","EU186","EU187","EU188","EU189","EU190","EU191","EU192","EU226","EU228","EU229","EU230","EU231","EU236"
"ENSMUSG00000000001",251,366,81,225,915,576,315,572,167,7,419,372,42,107,256,174,42,113
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",25,44,13,18,55,16,11,17,40,0,55,13,5,12,28,6,15,33
"ENSMUSG00000000031",15,87,26,31,60,35,9,23,143,0,325,164,64,58,1324,53,593,1444
"ENSMUSG00000000037",0,0,0,0,1,51,0,0,0,0,4,0,1,0,0,0,1,0
"ENSMUSG00000000049",1,2,1,0,4,1,2,2,2,0,3,5,0,0,0,0,0,0
"ENSMUSG00000000056",166,157,44,151,215,296,82,261,477,0,126,92,43,66,159,58,97,131
"ENSMUSG00000000058",25,84,23,66,231,235,109,79,68,0,96,80,16,2235,166,76,114,62
"ENSMUSG00000000078",2211,2664,1096,2559,6621,3766,4321,4291,1629,5,639,2103,290,1671,847,533,1003,249
"ENSMUSG00000000085",61,122,51,145,198,295,275,165,167,1,108,104,98,88,387,213,16,99
"ENSMUSG00000000088",26,60,17,57,113,61,66,83,62,1,68,58,29,72,268,96,17,73
"ENSMUSG00000000093",1,1,0,2,1,0,0,3,6,0,5,0,0,6,39,10,1,17
"ENSMUSG00000000094",0,0,0,0,0,3,0,0,1,2,0,0,0,0,4,6,1,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3
"ENSMUSG00000000125",0,6,0,1,0,4,0,2,0,4,0,12,0,0,1,0,0,0
"ENSMUSG00000000126",26,28,20,19,130,47,37,27,43,0,53,25,12,56,222,55,17,29
"ENSMUSG00000000127",764,479,18,45,672,672,309,649,221,3,162,103,26,116,79,88,46,27
"ENSMUSG00000000131",111,113,26,88,372,135,145,210,77,9,114,51,226,48,124,44,34,167
"ENSMUSG00000000134",91,155,89,155,418,406,135,467,218,0,157,125,64,145,265,83,122,124
"ENSMUSG00000000142",2,23,6,6,11,4,97,30,24,1,8,14,7,16,6,7,1,23
"ENSMUSG00000000148",23,50,12,28,73,109,150,381,119,0,45,131,34,17,53,22,7,133
"ENSMUSG00000000149",132,115,77,64,270,157,149,146,104,1,146,96,66,119,328,53,45,113
"ENSMUSG00000000154",46,15,33,181,132,62,12,12,28,0,14,11,22,42,75,34,11,9
"ENSMUSG00000000157",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000167",3,7,3,1,9,4,3,1,2,0,8,2,1,7,11,2,1,3
"ENSMUSG00000000168",52,141,28,123,331,212,251,375,175,1,135,158,38,78,158,73,34,118
"ENSMUSG00000000171",103,100,64,123,312,165,188,221,135,0,183,95,50,125,293,194,41,157
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",7052,7309,2445,7086,28758,30104,5410,18809,10422,20,1301,8547,9902,7302,1077,723,3544,2021
"ENSMUSG00000000194",112,117,53,115,248,274,105,250,109,0,133,116,80,73,208,43,99,149
"ENSMUSG00000000197",0,0,0,3,4,2,1,11,0,2,4,2,0,6,9,2,1,21
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,3
"ENSMUSG00000000204",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000214",4,1,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",47,78,33,168,311,273,25,315,56,3,35,39,13,216,11,7,34,42
"ENSMUSG00000000244",5,2,2,1,5,4,4,6,6,0,19,6,8,11,14,3,2,4
"ENSMUSG00000000247",0,0,0,2,48,0,1,2,0,6,4,1,5,0,9,7,1,5
"ENSMUSG00000000248",0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",6,14,7,9,29,7,4,18,8,0,28,6,4,9,47,18,9,14
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",263,24,12,58,77,61,58,288,25,10,71,32,34,34,75,27,11,38
"ENSMUSG00000000275",18,16,13,14,48,34,32,45,9,0,46,17,22,35,69,23,14,36
"ENSMUSG00000000276",36,71,60,11,229,142,73,319,37,3,40,13,18,12,49,20,1,39
"ENSMUSG00000000278",1005,792,409,838,2458,1617,1539,1838,535,2,1109,819,560,1052,1311,896,288,330
"ENSMUSG00000000282",66,57,38,54,226,197,104,205,44,1,132,48,146,144,235,53,18,76
"ENSMUSG00000000290",64,61,4,17,43,78,34,114,150,0,33,71,5,9,28,12,3,4
"ENSMUSG00000000295",34,53,30,36,79,42,29,56,42,0,89,52,37,34,58,61,29,5
"ENSMUSG00000000296",3,0,1,0,0,1,1,3,0,0,0,0,0,2,3,0,2,0
"ENSMUSG00000000301",19,18,13,18,48,38,33,59,30,0,29,19,24,26,43,11,6,2
"ENSMUSG00000000303",0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000000305",0,0,0,0,0,0,1,0,1,0,0,1,3,2,2,9,0,4
"ENSMUSG00000000308",4,0,2,3,14,54,1,2,2,17,1,0,17,7,44,11,0,110
"ENSMUSG00000000317",2,0,0,4,2,4,3,27,4,0,3,0,1,6,26,5,6,21
"ENSMUSG00000000318",0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0
"ENSMUSG00000000320",0,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,2
"ENSMUSG00000000326",146,220,81,178,587,352,218,351,246,0,357,199,127,277,884,358,203,743
"ENSMUSG00000000339",106,93,44,73,185,103,111,148,72,0,144,85,42,74,272,120,29,81
"ENSMUSG00000000340",36,15,4,13,28,103,15,18,7,1,33,11,10,14,73,30,9,38
"ENSMUSG00000000346",592,303,174,397,990,549,451,916,296,3,596,291,263,449,746,414,109,431
"ENSMUSG00000000355",74,88,44,80,239,142,113,135,65,1,159,75,43,81,97,98,53,50
"ENSMUSG00000000359",83,125,17,65,191,45,52,36,48,0,7,46,3,26,42,10,201,98
"ENSMUSG00000000365",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000374",44,58,37,49,117,70,80,93,37,4,79,49,52,73,166,50,26,101
"ENSMUSG00000000378",128,140,39,43,128,93,41,141,111,3,95,51,54,150,148,66,32,103
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",337,352,71,81,596,516,510,612,580,2,149,185,142,66,158,90,41,47
"ENSMUSG00000000385",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000386",1,5,2,3,4,0,0,2,0,0,4,0,0,4,18,1,0,1
"ENSMUSG00000000392",1,1,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",42,37,23,48,85,53,55,60,32,0,74,26,32,25,81,42,9,42
"ENSMUSG00000000402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000409",0,0,0,0,20,1,0,84,2,0,6,1,2,2,1,0,1,0
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",0,1,0,0,0,0,0,6,0,2,0,0,1,0,3,1,0,6
"ENSMUSG00000000420",221,418,62,278,503,377,321,391,208,5,233,223,64,89,545,80,34,167
"ENSMUSG00000000435",626,516,263,1097,3685,2515,669,849,438,2,364,1153,1225,1982,584,306,170,795
"ENSMUSG00000000439",16,53,11,27,59,41,17,121,61,1,54,16,17,24,180,12,5,17
"ENSMUSG00000000440",7,8,2,20,33,27,13,27,8,0,39,11,16,22,51,23,10,8
"ENSMUSG00000000441",69,10,15,43,62,40,42,93,22,2,50,14,15,21,73,30,6,62
"ENSMUSG00000000486",2,0,2,1,0,1,2,11,1,0,0,0,0,2,1,0,3,0
"ENSMUSG00000000489",0,0,0,3,13,0,1,1,0,5,7,0,12,3,2,0,0,0
"ENSMUSG00000000530",1,3,1,4,1,2,0,3,0,0,2,1,17,4,11,6,1,94
"ENSMUSG00000000531",9,4,3,5,58,9,4,18,20,1,12,9,11,9,13,8,1,14
"ENSMUSG00000000532",3,11,3,4,27,16,3,7,7,4,11,6,9,11,17,13,4,51
"ENSMUSG00000000538",75,65,57,103,221,199,105,138,65,1,119,43,118,123,126,49,48,149
"ENSMUSG00000000544",0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,3,0,0
"ENSMUSG00000000552",62,107,44,65,196,170,49,137,101,0,110,64,143,223,658,162,24,119
"ENSMUSG00000000555",154,274,140,352,392,318,187,364,233,0,263,183,158,171,799,137,77,700
"ENSMUSG00000000560",0,1,0,0,0,1,0,9,0,4,0,0,0,0,1,0,0,6
"ENSMUSG00000000561",82,77,56,104,221,129,138,139,67,0,130,124,81,144,208,93,40,51
"ENSMUSG00000000562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000563",307,371,108,469,1094,814,420,772,379,3,764,392,161,528,1295,561,112,360
"ENSMUSG00000000567",751,2350,845,1775,4543,1619,2233,1719,2047,6,244,2276,835,1902,698,624,3253,3801
"ENSMUSG00000000568",364,600,286,258,561,383,206,778,475,4,253,501,1590,382,473,214,273,354
"ENSMUSG00000000579",4,2,4,3,21,7,2,22,8,0,7,5,0,3,9,3,3,9
"ENSMUSG00000000581",107,95,66,123,402,202,235,241,128,0,200,144,29,118,180,184,154,92
"ENSMUSG00000000594",1194,3105,1933,1694,5144,4209,629,6730,4117,11,687,3927,2478,522,737,394,2324,4008
"ENSMUSG00000000600",431,463,196,314,1334,1219,431,1747,528,10,137,810,54,58,289,81,185,87
"ENSMUSG00000000605",119,171,46,187,1123,395,465,969,261,0,207,207,82,214,218,116,45,183
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,20
"ENSMUSG00000000627",8,9,1,9,118,13,20,26,16,2,11,5,8,39,4,1,0,30
"ENSMUSG00000000628",10460,8508,3938,10510,25159,20293,10166,22085,12812,56,1938,9402,20169,5078,2943,1743,1539,235
"ENSMUSG00000000631",109,330,358,80,285,199,51,188,161,1,105,76,70,73,229,65,55,279
"ENSMUSG00000000632",0,0,1,0,0,0,0,0,0,0,0,0,5,6,5,1,0,14
"ENSMUSG00000000673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000682",0,0,0,0,0,0,0,0,20,0,0,0,0,7,0,0,0,0
"ENSMUSG00000000686",0,0,0,4,1,1,1,4,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000690",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ENSMUSG00000000693",7,6,7,1,13,5,5,6,3,0,17,4,5,11,40,9,9,98
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,1,1,0,1,0,0,0,0,4,0,0,6,0,0,0,0
"ENSMUSG00000000708",43,136,18,29,967,227,101,370,123,2,67,279,35,50,101,40,44,66
"ENSMUSG00000000711",101,98,47,90,221,197,180,354,66,0,152,100,48,64,117,45,34,35
"ENSMUSG00000000724",0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,1,1,1
"ENSMUSG00000000730",4,37,6,6,26,94,10,55,42,0,19,61,4,13,20,10,42,0
"ENSMUSG00000000731",201,207,37,67,581,534,147,206,336,0,78,209,40,809,46,11,3,2
"ENSMUSG00000000732",1,5,0,2,4,5,1,5,0,0,3,0,2,2,6,0,0,0
"ENSMUSG00000000738",82,144,51,324,352,357,65,198,133,0,156,125,97,202,501,107,47,179
"ENSMUSG00000000739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
"ENSMUSG00000000740",1818,1945,1203,1805,3512,2899,1555,2705,2665,4,3711,2010,2690,4574,10606,4317,1382,1189
"ENSMUSG00000000743",136,126,73,134,369,277,131,256,223,0,206,124,108,256,649,227,72,185
"ENSMUSG00000000751",47,89,27,69,182,137,40,244,179,0,93,53,33,39,111,65,54,91
"ENSMUSG00000000753",376,901,331,499,1139,919,285,943,992,1,1220,694,297,445,1428,519,402,968
"ENSMUSG00000000759",35,41,17,48,186,214,62,139,109,0,81,50,37,46,86,47,14,25
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000000776",311,192,133,140,662,466,248,465,329,0,108,181,39,430,237,62,41,89
"ENSMUSG00000000782",2,7,2,3,6,23,12,11,5,2,20,11,8,5,5,17,7,40
"ENSMUSG00000000787",1216,1407,435,1495,5114,2719,1390,3438,615,20,1349,1654,376,634,1009,602,369,555
"ENSMUSG00000000791",1,1,2,3,78,2,1,2,1,0,5,2,0,3,14,5,4,10
"ENSMUSG00000000792",0,0,0,0,3,6,5,1,1,0,0,1,5,0,2,0,0,0
"ENSMUSG00000000794",0,7,0,0,11,4,1,4,3,7,9,1,2,6,20,5,2,7
"ENSMUSG00000000804",95,130,27,67,268,255,197,439,35,16,161,96,49,58,132,72,65,133
"ENSMUSG00000000805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000811",21,14,13,29,36,63,20,16,37,0,42,23,22,25,157,21,5,26
"ENSMUSG00000000817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000823",702,304,147,212,637,593,51,145,367,1,94,285,80,158,113,48,179,239
"ENSMUSG00000000826",983,1057,506,979,2942,2512,1297,2449,1398,2,1057,993,609,656,1378,473,191,280
"ENSMUSG00000000827",596,319,160,571,453,531,363,1053,706,1,315,343,737,291,418,246,153,199
"ENSMUSG00000000838",719,666,711,1214,2325,2025,799,2070,704,12,309,1066,77,437,384,162,530,304
"ENSMUSG00000000861",0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,2,0,2
"ENSMUSG00000000869",11,7,2,10,59,45,7,70,12,0,11,26,7,15,14,2,15,0
"ENSMUSG00000000876",16,315,9,23,46,240,17,33,111,0,37,31,13,25,61,18,108,95
"ENSMUSG00000000881",10,6,9,13,35,15,8,22,7,10,20,11,11,12,37,44,7,104
"ENSMUSG00000000884",2,89,35,17,22,9,11,71,4,0,9,3,10,3,37,15,38,10
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"ENSMUSG00000000901",119,190,67,150,331,286,79,351,166,0,386,163,201,418,647,299,81,302
"ENSMUSG00000000902",127,192,72,302,338,207,173,368,181,1,217,178,128,209,264,268,62,149
"ENSMUSG00000000903",0,0,0,1,4,0,2,0,0,0,1,0,0,0,2,0,0,0
"ENSMUSG00000000915",7,48,14,7,59,53,82,150,55,0,29,17,17,26,115,38,13,53
"ENSMUSG00000000916",17,41,19,15,34,30,22,51,24,0,29,10,27,44,70,27,13,6
"ENSMUSG00000000934",13,19,6,20,21,25,14,19,11,0,33,23,26,20,88,36,5,13
