"","GSM5194612","GSM5194613","GSM5194614","GSM5194615","GSM5194616","GSM5194617","GSM5194618","GSM5194619","GSM5194620","GSM5194621","GSM5194622","GSM5194623","GSM5194626","GSM5194629","GSM5194632","GSM5194635"
"ENSMUSG00000000001",2685,1998,1609,3924,1817,4444,3523,1987,2128,3474,1627,2757,2542,1645,1987,3419
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",857,941,607,792,717,1905,2111,684,734,1520,882,446,652,552,449,1127
"ENSMUSG00000000031",827,2888,5762,2005,5774,5681,3031,2135,6448,2060,1549,2610,2208,6038,9191,1798
"ENSMUSG00000000037",69,36,36,95,40,72,95,48,36,83,40,49,49,35,37,72
"ENSMUSG00000000049",0,5,5,3,3,8,5,5,5,6,5,6,3,3,6,2
"ENSMUSG00000000056",2494,2308,2516,2750,3173,6378,6252,2301,2904,4095,2374,2308,2568,2768,3158,3762
"ENSMUSG00000000058",394,308,531,871,662,924,689,601,578,376,217,1106,795,682,1039,693
"ENSMUSG00000000078",2246,1658,1612,2647,1512,3353,2808,1658,2475,3372,1504,2128,2137,1363,2031,2384
"ENSMUSG00000000085",224,231,338,289,468,473,729,278,478,455,296,220,338,421,582,340
"ENSMUSG00000000088",607,693,720,638,784,1313,943,525,1153,640,556,1092,653,744,1167,851
"ENSMUSG00000000093",82,99,294,241,274,185,311,320,456,152,127,160,326,223,444,163
"ENSMUSG00000000094",6,8,32,31,36,23,29,33,41,19,18,55,25,39,93,26
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",4,2,8,10,18,5,17,8,16,6,5,5,13,16,20,8
"ENSMUSG00000000125",0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000126",16,19,71,38,128,77,72,61,79,36,38,71,75,129,195,53
"ENSMUSG00000000127",289,240,237,342,269,459,399,226,389,401,214,256,275,234,324,281
"ENSMUSG00000000131",851,694,1125,1236,1273,2108,2762,1112,1319,1650,999,931,1114,1161,1493,1352
"ENSMUSG00000000134",648,492,524,530,600,989,1319,557,795,1098,729,416,572,507,604,669
"ENSMUSG00000000142",15,11,51,31,53,40,76,19,66,37,34,37,31,43,72,39
"ENSMUSG00000000148",77,67,151,126,211,247,373,176,169,142,108,108,166,132,192,182
"ENSMUSG00000000149",231,182,371,402,528,659,1071,376,426,419,242,229,358,388,467,381
"ENSMUSG00000000154",4,3,12,6,18,10,32,12,13,7,4,5,15,13,27,10
"ENSMUSG00000000157",2085,2020,1365,1714,1625,3104,3489,1603,2255,5568,2764,1160,1727,1710,1477,2929
"ENSMUSG00000000159",3,1,5,12,4,6,6,4,2,13,3,6,8,4,5,6
"ENSMUSG00000000167",13,11,10,20,21,25,17,10,16,19,17,16,11,8,18,17
"ENSMUSG00000000168",997,940,1264,1385,1255,2152,1497,981,1594,1118,892,2041,1121,1372,2336,1476
"ENSMUSG00000000171",1461,1483,2309,2331,2768,4311,3876,2102,2649,1991,1470,2680,2187,2677,3776,2834
"ENSMUSG00000000182",9,19,10,40,26,285,38,24,27,10,15,43,43,35,73,37
"ENSMUSG00000000183",36,31,73,66,164,144,93,62,106,68,51,149,145,192,193,128
"ENSMUSG00000000184",1397,1110,1169,2221,1561,3295,2037,1299,1579,2105,920,1334,1721,1237,1628,1382
"ENSMUSG00000000194",449,468,690,773,869,1200,1299,632,756,929,524,565,759,696,948,801
"ENSMUSG00000000197",3,12,30,22,25,26,19,28,9,12,7,41,28,33,61,14
"ENSMUSG00000000202",0,1,1,0,0,0,1,1,1,1,0,0,5,7,2,0
"ENSMUSG00000000204",4473,3836,2169,5285,2500,11276,6023,3376,1975,6356,3043,3229,3471,2420,2204,4831
"ENSMUSG00000000214",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
