"","Mmus_C57-6T_LVR_BSL_Rep1_B1","Mmus_C57-6T_LVR_BSL_Rep2_B2","Mmus_C57-6T_LVR_BSL_Rep3_B3","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F4","Mmus_C57-6T_LVR_GC_Rep1_G2","Mmus_C57-6T_LVR_GC_Rep2_G3","Mmus_C57-6T_LVR_GC_Rep3_G5"
"ENSMUSG00000000001",1987,2720,2531,2520,2750,3204,2700,2472,3158
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",31,37,37,40,38,32,48,49,54
"ENSMUSG00000000031",31,34,44,39,13,23,24,20,30
"ENSMUSG00000000037",0,0,1,3,0,1,0,0,1
"ENSMUSG00000000049",55209,56572,53944,46445,51651,58691,57421,57775,48813
"ENSMUSG00000000056",1329,1397,1043,1571,2001,2415,1594,1485,1382
"ENSMUSG00000000058",115,114,127,112,87,113,94,122,125
"ENSMUSG00000000078",375,447,285,433,266,389,366,422,606
"ENSMUSG00000000085",242,314,254,354,284,331,310,300,374
"ENSMUSG00000000088",2700,2339,2662,1963,2755,2963,2300,2470,2171
"ENSMUSG00000000093",267,236,214,255,246,335,325,315,279
"ENSMUSG00000000094",3,0,4,0,2,4,0,0,4
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",113,275,113,220,126,148,129,136,320
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",18,28,20,20,9,12,18,38,16
"ENSMUSG00000000127",130,194,186,246,210,273,271,192,297
"ENSMUSG00000000131",1080,1147,1069,1258,1291,1403,1409,1311,1533
"ENSMUSG00000000134",642,777,779,765,642,774,667,700,950
"ENSMUSG00000000142",520,443,316,482,143,179,229,304,247
"ENSMUSG00000000148",311,324,255,336,338,362,339,333,401
"ENSMUSG00000000149",2386,2929,3259,3669,3169,3510,2797,3709,2421
"ENSMUSG00000000154",1852,1951,2080,2169,2470,2592,2448,2387,2160
"ENSMUSG00000000157",0,2,0,1,1,0,2,0,1
"ENSMUSG00000000159",153,230,337,222,244,243,215,257,224
"ENSMUSG00000000167",7,15,17,13,5,6,16,5,10
"ENSMUSG00000000168",1328,1462,1371,1548,1653,1856,1554,1432,1987
"ENSMUSG00000000171",4561,4580,4828,3757,4538,4770,4598,5124,3733
"ENSMUSG00000000182",0,2,0,0,0,0,0,0,3
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",465,601,541,634,349,439,394,609,795
"ENSMUSG00000000194",649,706,666,608,527,642,575,718,722
"ENSMUSG00000000197",2,0,0,0,1,1,3,0,0
"ENSMUSG00000000202",1,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",14,23,30,43,1,17,21,27,37
"ENSMUSG00000000214",1,0,0,0,1,0,0,0,0
"ENSMUSG00000000215",0,0,0,1,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",0,1,0,0,0,0,2,0,5
"ENSMUSG00000000244",37,69,26,33,19,46,44,58,104
"ENSMUSG00000000247",116,169,84,87,92,83,80,108,98
"ENSMUSG00000000248",0,4,2,4,1,0,0,3,7
"ENSMUSG00000000253",53,28,30,43,22,31,39,40,33
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",214,203,206,269,242,294,294,243,280
"ENSMUSG00000000275",2527,2117,2225,3390,2660,3026,3050,2646,3220
"ENSMUSG00000000276",82,101,80,60,60,42,40,67,84
"ENSMUSG00000000278",1376,1526,1485,1853,1545,1886,1488,1860,1575
"ENSMUSG00000000282",502,605,354,437,356,376,447,481,429
"ENSMUSG00000000290",403,439,243,438,232,221,247,406,798
"ENSMUSG00000000295",28,22,44,20,21,20,39,23,33
"ENSMUSG00000000296",258,254,273,201,227,251,282,262,200
"ENSMUSG00000000301",8056,7766,7686,6266,7285,8097,7029,7419,6652
"ENSMUSG00000000303",197,307,235,145,119,164,82,160,144
"ENSMUSG00000000305",22,28,22,29,48,26,33,32,15
"ENSMUSG00000000308",0,0,1,1,0,1,1,0,0
"ENSMUSG00000000317",85,105,137,152,114,135,148,96,117
"ENSMUSG00000000318",11,32,7,23,10,21,29,30,29
"ENSMUSG00000000320",35,64,60,41,34,24,29,53,74
"ENSMUSG00000000326",12082,12553,16654,15582,14023,16082,15406,14447,14747
"ENSMUSG00000000339",192,252,193,177,233,215,222,228,211
"ENSMUSG00000000340",2796,2563,2907,2095,2630,3126,3260,2485,2578
"ENSMUSG00000000346",2903,2969,3164,2934,2938,3470,2936,3197,3318
"ENSMUSG00000000355",625,551,582,523,607,670,574,636,625
"ENSMUSG00000000359",17,10,20,14,10,18,22,23,31
"ENSMUSG00000000365",0,3,5,0,8,1,0,4,5
"ENSMUSG00000000374",736,904,808,725,723,816,744,762,833
"ENSMUSG00000000378",428,541,536,414,417,462,469,515,507
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1025,977,1114,815,909,994,973,1029,844
"ENSMUSG00000000385",129,141,120,91,78,94,103,167,140
"ENSMUSG00000000386",57,123,89,143,48,36,79,72,150
"ENSMUSG00000000392",11,8,7,15,8,24,13,8,14
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",2550,2580,2650,2169,2614,2789,2461,2972,2295
"ENSMUSG00000000402",3,1,2,0,1,4,0,4,0
"ENSMUSG00000000409",81,154,86,58,45,32,78,109,210
"ENSMUSG00000000411",0,1,0,0,0,0,0,0,4
"ENSMUSG00000000416",10,14,10,15,6,8,11,25,10
"ENSMUSG00000000420",960,1215,1148,965,980,1123,1199,1110,1174
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",459,497,386,383,455,494,416,398,441
"ENSMUSG00000000440",150,190,120,317,273,373,236,240,314
"ENSMUSG00000000441",1905,2186,2083,2171,2064,2314,2025,1972,2616
"ENSMUSG00000000486",65,125,90,84,34,59,62,83,190
"ENSMUSG00000000489",55,62,43,60,29,56,39,38,82
"ENSMUSG00000000530",74,116,93,89,52,73,43,109,110
"ENSMUSG00000000531",66,46,50,45,54,60,56,69,43
"ENSMUSG00000000532",304,489,383,480,372,386,429,389,405
"ENSMUSG00000000538",738,707,896,1101,837,918,652,851,1191
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,7
"ENSMUSG00000000552",276,414,348,512,458,544,336,383,759
"ENSMUSG00000000555",707,845,1032,739,518,567,488,464,849
"ENSMUSG00000000560",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000561",393,395,419,318,359,351,326,307,405
"ENSMUSG00000000562",1,3,1,1,0,0,2,1,1
