"","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32"
"ENSMUSG00000000001",1266,1309,1645,1285,1162,3707,1745,1373,1052,1779,1542,1364,2945,3084
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",17,12,13,13,13,49,14,13,12,29,12,24,30,35
"ENSMUSG00000000031",10,18,16,8,4,2115,25,14,12,12,29,23,22,8540
"ENSMUSG00000000037",0,0,2,3,3,2,0,2,1,0,1,1,1,2
"ENSMUSG00000000049",32395,31246,49164,37967,34770,69243,57142,47644,39728,53763,51480,48840,54257,61956
"ENSMUSG00000000056",399,185,303,297,393,912,657,531,652,762,561,774,984,1101
"ENSMUSG00000000058",40,55,42,27,19,320,45,63,28,70,60,50,143,238
"ENSMUSG00000000078",321,412,350,408,254,1210,297,400,282,456,418,354,417,809
"ENSMUSG00000000085",140,158,143,207,150,485,219,147,147,182,183,142,318,396
"ENSMUSG00000000088",2064,2126,3509,2331,2128,3479,3089,3661,2650,3600,3348,2509,2498,3970
"ENSMUSG00000000093",141,97,90,152,107,290,96,81,123,183,163,107,121,141
"ENSMUSG00000000094",1,0,0,0,2,1,2,1,1,0,0,0,5,9
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",67,42,53,43,19,462,112,72,48,86,80,48,243,254
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",11,3,6,3,7,36,3,2,2,8,12,6,13,52
"ENSMUSG00000000127",96,123,113,101,101,349,135,81,94,135,98,77,242,220
"ENSMUSG00000000131",575,620,562,919,686,1676,887,513,849,843,874,914,1162,1190
"ENSMUSG00000000134",395,542,480,556,374,1126,641,399,453,628,536,504,808,807
"ENSMUSG00000000142",98,259,241,339,188,588,242,123,345,249,259,214,323,281
"ENSMUSG00000000148",129,147,156,191,144,368,213,191,167,233,211,220,315,260
"ENSMUSG00000000149",671,512,700,545,651,3673,2320,817,964,1141,1398,1275,2672,2830
"ENSMUSG00000000154",1429,1701,1654,1694,1676,2630,2613,2191,1580,2285,2004,1913,2248,2282
"ENSMUSG00000000157",0,0,1,2,0,0,0,1,0,0,0,0,0,1
"ENSMUSG00000000159",272,251,244,239,235,259,252,277,277,382,355,264,271,260
"ENSMUSG00000000167",13,17,9,11,6,13,5,5,13,12,6,12,12,8
"ENSMUSG00000000168",654,847,1010,1004,816,2680,893,739,707,1156,877,940,1918,2835
"ENSMUSG00000000171",2749,2699,4319,2918,2498,5802,4207,5425,3428,4831,4104,3950,4546,5837
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,4,0,0,0,0,0,0,0,26
"ENSMUSG00000000184",230,401,300,346,159,3210,284,287,276,433,364,224,588,685
"ENSMUSG00000000194",241,300,269,330,268,874,449,288,315,423,341,359,513,573
"ENSMUSG00000000197",0,0,1,2,0,94,0,2,1,0,0,3,0,1
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000204",32,241,57,38,37,6,8,19,12,59,51,17,9,1
"ENSMUSG00000000214",0,0,2,0,0,2277,4,0,0,0,0,0,0,4
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",0,1,6,0,2,9,0,1,3,0,0,0,0,28
"ENSMUSG00000000244",11,31,14,27,18,32,18,13,24,31,71,14,22,14
"ENSMUSG00000000247",56,61,76,80,32,181,79,58,65,91,75,53,137,117
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000253",12,19,9,6,6,173,44,17,18,19,17,11,32,284
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",88,85,106,107,105,449,126,99,138,149,128,114,209,288
"ENSMUSG00000000275",915,1404,885,1238,1240,3292,1858,1635,1901,1954,1957,1767,2083,2271
"ENSMUSG00000000276",23,66,42,69,36,159,25,30,31,29,42,25,64,61
"ENSMUSG00000000278",784,721,878,785,780,2633,1320,821,826,1314,1013,1058,1652,1913
"ENSMUSG00000000282",124,148,177,264,144,526,316,135,260,270,240,262,352,304
