"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000000001",2240,2904,2955,3248,2315,2830,2988,2231,2437
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",6,45,26,44,29,18,34,28,55
"ENSMUSG00000000031",9,7,19,8,23,39,13,7,14
"ENSMUSG00000000037",0,4,0,4,1,2,2,0,1
"ENSMUSG00000000049",72668,58135,61776,81031,64572,64052,60679,68171,58773
"ENSMUSG00000000056",897,832,821,1201,1049,1075,1015,785,1204
"ENSMUSG00000000058",82,94,109,131,55,98,105,95,101
"ENSMUSG00000000078",313,327,267,471,307,378,446,421,410
"ENSMUSG00000000085",280,288,331,340,216,270,342,284,279
"ENSMUSG00000000088",4313.43,4091.8,3695.88,5490.88,3597,3254.89,3030,4647.63,4088
"ENSMUSG00000000093",127,131,123,196,85,96,95,128,108
"ENSMUSG00000000094",3,0,0,0,1,0,1,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",79,99,83,215,191,229,137,109,135
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",11,13,8,20,10,17,24,25,11
"ENSMUSG00000000127",196,199,224,241,192,203,266,179,236
"ENSMUSG00000000131",1012,1039,1049,1399,958,1064,1378,1129,1217
"ENSMUSG00000000134",719,931,948,1070,722,727,875,884,835
"ENSMUSG00000000142",239,207,158,254,271,261,489,402,384
"ENSMUSG00000000148",255,283,294,387,255,294,330,246,277
"ENSMUSG00000000149",2508,2278,2240,3241,2536,3964,3472,2885,2779
"ENSMUSG00000000154",3066,2781,2497,3343,2551,2265,2981,3181,3459
"ENSMUSG00000000157",0,2,0,0,0,0,0,0,0
"ENSMUSG00000000159",441.91,622.76,550.48,673.7,535,576,619,616,549.62
"ENSMUSG00000000167",13,6,5,6,10,9,4,10,15
"ENSMUSG00000000168",1279,1792,1822,2487,1474,1244,1567,2061,1550
"ENSMUSG00000000171",5099,4952,5203,7125,4745,4593,4441,6004,5156
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",367,476,479,633,369,609,439,415,444
"ENSMUSG00000000194",514,541,470,685,472,594,687,430,474
"ENSMUSG00000000197",0,0,1,0,0,0,0,0,0
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",1.07,2.42,0,2.12,1.08,8.38,1.02,0,1
