"","RR23_ADR_FLT_F1_techrep1","RR23_ADR_FLT_F1_techrep2","RR23_ADR_FLT_F2","RR23_ADR_FLT_F3","RR23_ADR_FLT_F4","RR23_ADR_FLT_F5","RR23_ADR_FLT_F6","RR23_ADR_FLT_F7","RR23_ADR_FLT_F8","RR23_ADR_FLT_F9","RR23_ADR_GC_G1_techrep1","RR23_ADR_GC_G1_techrep2","RR23_ADR_GC_G2","RR23_ADR_GC_G3","RR23_ADR_GC_G4","RR23_ADR_GC_G5","RR23_ADR_GC_G6","RR23_ADR_GC_G7","RR23_ADR_GC_G8","RR23_ADR_GC_G9","RR23_ADR_VIV_V1","RR23_ADR_VIV_V2_techrep1","RR23_ADR_VIV_V2_techrep2","RR23_ADR_VIV_V3","RR23_ADR_VIV_V4","RR23_ADR_VIV_V5","RR23_ADR_VIV_V6","RR23_ADR_VIV_V7","RR23_ADR_VIV_V8","RR23_ADR_VIV_V9"
"ENSMUSG00000000001",18522,17404,9989,12769,12855,8840,10681,7723,11083,10827,9766,13455,12154,9192,18038,12882,11256,9465,10512,10416,9283,18603,7820,9419,8756,7518,12556,10145,7371,12252
"ENSMUSG00000000003",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13
"ENSMUSG00000000028",639,660,365,503,313,178,223,223,443,296,288,315,329,281,295,341,253,184,485,277,322,617,249,292,318,224,342,313,285,377
"ENSMUSG00000000031",64,50,48,42,44,20,40,49,42,101,46,48,43,113,50,65,57,53,55,43,64,149,74,28,55,55,125,59,70,80
"ENSMUSG00000000037",56,33,25,29,23,15,15,16,30,38,31,20,21,17,10,22,14,11,31,28,41,70,29,19,47,28,38,36,33,34
"ENSMUSG00000000049",14,10,4362,188,45,90688,132,27785,21,6,26148,30837,32,5,2,1415,6,5,103,23406,21263,83,33,3827,13082,20012,4434,58,294,4
"ENSMUSG00000000056",1853,1948,1027,1324,528,2307,1133,1237,1591,1055,1942,2170,1007,650,794,1455,1294,1035,1549,1371,1758,2585,1067,1363,1803,1654,1929,1375,1247,1742
"ENSMUSG00000000058",13251,16066,11708,9971,9144,5265,6512,5892,9470,7812,6730,11825,8179,6019,6827,17008,7702,7333,19525,13488,7929,22586,9162,3831,10314,7437,12188,12111,16744,11214
"ENSMUSG00000000078",8776,7812,5323,4948,6889,3348,3748,3893,5647,5164,6771,6352,5717,7221,6429,8276,5366,4358,6285,5973,4915,11779,4876,3559,5309,3944,6575,4555,6758,6447
"ENSMUSG00000000085",1359,1113,733,919,605,527,824,837,954,975,966,1017,960,640,869,895,1101,654,1014,883,1121,1942,767,719,1028,896,1471,1085,1002,1487
"ENSMUSG00000000088",8416,9853,8425,9359,8981,7968,5169,5040,7410,7312,2760,6330,5705,3089,5797,7756,5749,6146,10056,7140,6347,16794,7797,5652,5591,4438,6230,6275,4494,5645
"ENSMUSG00000000093",977,742,508,633,387,369,569,478,619,557,990,868,730,464,535,662,728,518,567,443,748,888,417,611,619,592,1138,710,536,803
"ENSMUSG00000000094",5,3,4,5,0,5,0,5,4,0,0,1,0,2,1,3,4,2,8,4,5,9,2,2,5,3,2,4,3,3
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000120",2609,2367,1202,1550,1832,913,1175,1229,1060,797,406,411,535,970,502,345,448,212,667,953,1236,902,341,731,282,264,499,1512,138,1513
"ENSMUSG00000000125",2,4,0,0,0,0,0,1,1,4,1,4,0,1,3,3,0,0,3,1,3,2,0,0,1,1,2,4,5,4
"ENSMUSG00000000126",329,353,250,229,123,163,169,162,195,198,197,295,183,69,85,240,215,216,318,203,226,253,102,106,211,119,242,238,134,205
"ENSMUSG00000000127",2282,1888,1134,1518,1097,944,1183,1116,1765,1470,1714,1471,1247,1375,1286,1479,1529,1111,1879,1504,1688,3411,1398,993,1608,1324,2131,1481,1592,2055
"ENSMUSG00000000131",8653,7716,4492,5983,3745,3683,5338,3993,6177,5730,6308,6134,5622,3821,5792,5284,5677,4382,5370,4554,5292,8995,3729,4186,4826,4206,7149,5988,3959,6877
"ENSMUSG00000000134",3405,3352,2315,2406,2418,1626,2106,1909,2520,2361,2521,2623,2488,2253,2643,2570,2683,2093,2992,2267,2627,5745,2341,2010,2439,2053,3134,2518,2188,2978
"ENSMUSG00000000142",3728,3368,2089,2654,1189,1489,2004,1589,2646,2502,3596,3447,2222,1529,2309,2985,2616,2099,3318,2418,2969,3937,1720,2188,2931,2829,5430,3455,2526,4986
"ENSMUSG00000000148",1787,1530,1125,1136,678,1033,939,838,1430,1069,997,1335,1087,617,1102,1337,1177,1216,1596,1020,1168,2014,897,954,1248,802,1381,1411,913,1498
"ENSMUSG00000000149",10765,10411,6918,7363,5263,9109,5708,6473,7860,7031,7640,10744,7911,4619,7049,8983,7243,6348,9042,7478,8209,15821,7063,6479,9041,7515,10883,9389,5772,10634
"ENSMUSG00000000154",237,197,260,168,143,2606,94,877,161,104,962,1160,121,104,137,223,124,88,249,716,851,232,101,332,559,896,306,265,105,214
"ENSMUSG00000000157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,1,1,1,2,0,0,0
"ENSMUSG00000000159",1,4,26,4,5,404,5,107,0,1,131,136,1,2,2,15,13,3,4,112,90,3,0,20,61,117,24,1,2,4
"ENSMUSG00000000167",146,127,65,73,48,60,62,60,97,84,68,82,79,43,56,85,76,72,146,76,105,193,68,31,103,73,102,74,87,113
"ENSMUSG00000000168",14951,14000,10053,12056,10908,6054,8273,6906,15590,10907,5636,6634,6067,7088,7132,8212,8007,6878,13946,6975,9690,22584,9434,9032,8184,8156,10584,8473,9128,10401
