"","RR23_TMS_FLT_F1","RR23_TMS_FLT_F2","RR23_TMS_FLT_F3","RR23_TMS_FLT_F4","RR23_TMS_FLT_F5","RR23_TMS_FLT_F6_techrep1","RR23_TMS_FLT_F6_techrep2","RR23_TMS_FLT_F7","RR23_TMS_FLT_F8","RR23_TMS_FLT_F9","RR23_TMS_GC_G1_techrep1","RR23_TMS_GC_G1_techrep2","RR23_TMS_GC_G2","RR23_TMS_GC_G3","RR23_TMS_GC_G4","RR23_TMS_GC_G5","RR23_TMS_GC_G6","RR23_TMS_GC_G7","RR23_TMS_GC_G8","RR23_TMS_GC_G9","RR23_TMS_VIV_V1_techrep1","RR23_TMS_VIV_V1_techrep2","RR23_TMS_VIV_V2","RR23_TMS_VIV_V3","RR23_TMS_VIV_V4","RR23_TMS_VIV_V5","RR23_TMS_VIV_V6","RR23_TMS_VIV_V7","RR23_TMS_VIV_V8","RR23_TMS_VIV_V9"
"ENSMUSG00000000001",7784,1458,7298,9045,6280,594,669,2536,4506,7307,9880,8981,8376,9329,6679,7360,9154,5478,4761,9193,7344,7274,9221,6569,7349,8835,7723,7540,7617,6904
"ENSMUSG00000000003",0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000028",751,101,488,627,287,33,30,174,230,304,1945,1916,1560,1709,824,1356,924,412,902,1490,1502,1640,1950,1247,1584,2319,1773,1616,1732,1692
"ENSMUSG00000000031",60,24,29,145,94,30,28,247,7597,9017,140,151,8732,194,59,82,79,4514,78,178,176,142,92,40,144,174,55,7338,88,277
"ENSMUSG00000000037",37,13,39,34,32,15,21,23,29,28,85,77,90,78,40,61,77,43,34,68,87,59,86,79,71,62,64,83,49,84
"ENSMUSG00000000049",4,8,3,7,2,12,10,1,7,1,4,3,8,4,3,12,9,5,1,5,6,5,8,5,14,5,2,8,1,1
"ENSMUSG00000000056",4668,619,2644,3258,3549,255,305,1060,1257,2499,5295,5209,4594,5352,3711,4621,3232,2159,2556,5611,3154,3146,4062,2529,3606,3629,2890,3305,2949,2873
"ENSMUSG00000000058",1585,65,604,1012,806,48,60,4039,6521,6421,410,367,1091,1769,1060,523,836,2027,578,594,2054,1967,1944,731,629,805,1119,3411,2425,5663
"ENSMUSG00000000078",4590,1230,3918,6904,4219,579,554,3259,4672,7825,4937,4946,5789,6591,4584,4296,5052,5003,2946,5469,4812,4689,6537,3833,4185,4852,4045,6334,4895,6840
"ENSMUSG00000000085",1670,160,850,1896,1907,75,81,549,754,943,2485,2360,1940,1839,651,1967,1110,716,1493,1852,1796,1764,1756,853,2013,1427,803,1598,972,1573
"ENSMUSG00000000088",3775,232,2033,2445,2008,149,182,5003,7177,13154,2656,2433,2984,4673,2504,2033,2387,4071,1387,2095,4741,4373,4730,2812,2022,2342,3644,5221,3678,9143
"ENSMUSG00000000093",60,23,31,105,86,12,17,52,128,406,55,39,124,69,18,43,25,53,38,36,97,88,63,41,45,37,22,171,36,204
"ENSMUSG00000000094",0,20,2,1,12,25,35,66,74,150,1,0,30,2,6,0,2,22,2,2,49,57,4,0,2,0,1,114,2,79
"ENSMUSG00000000103",0,1,0,2,0,12,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",131,18,29,502,91,29,29,174,235,209,84,78,223,135,45,105,40,31,62,141,261,225,321,64,165,155,79,360,114,252
"ENSMUSG00000000125",7,20,3,7,9,26,32,6,2,1,5,10,3,4,13,10,7,1,11,10,3,7,19,12,5,6,5,9,6,11
"ENSMUSG00000000126",85,20,72,95,91,32,42,128,152,266,47,69,184,96,44,79,65,305,68,104,146,133,121,53,118,65,48,190,38,236
"ENSMUSG00000000127",341,72,234,373,282,52,55,497,1051,1645,362,304,617,518,232,271,339,477,261,347,518,547,781,251,405,361,272,885,395,1029
"ENSMUSG00000000131",6574,632,2886,7422,6928,206,277,1627,1922,3095,7809,7389,6353,6430,2206,6910,3070,2272,5057,7899,6359,6446,6957,3237,8184,6623,2784,5875,3689,5743
"ENSMUSG00000000134",1060,91,518,1474,1019,51,50,511,786,1686,812,811,1030,1007,377,830,537,611,697,1076,1151,1091,1540,578,1181,895,454,1471,629,1580
"ENSMUSG00000000142",1622,130,466,1093,1396,70,60,417,404,1424,1328,1308,1255,1168,457,1261,498,568,1128,1721,1183,1233,1256,523,1463,996,455,1064,687,1677
"ENSMUSG00000000148",1245,95,750,1340,1265,58,58,387,547,776,1375,1255,1470,1129,528,1303,695,627,836,1463,1092,1187,1118,814,1266,1081,657,1250,785,1131
"ENSMUSG00000000149",2316,150,854,2285,1933,44,48,1604,2033,3770,1767,1879,2452,2205,714,1953,869,1183,1535,2323,2604,2906,3372,1233,2256,1544,893,3385,1434,4345
