"","RRRM2_Cb_FLT_ISS-T_OLD_FO12","RRRM2_Cb_FLT_ISS-T_OLD_FO13","RRRM2_Cb_FLT_ISS-T_OLD_FO15","RRRM2_Cb_FLT_ISS-T_OLD_FO18","RRRM2_Cb_FLT_ISS-T_YNG_FY10","RRRM2_Cb_FLT_ISS-T_YNG_FY3","RRRM2_Cb_FLT_ISS-T_YNG_FY4","RRRM2_Cb_FLT_ISS-T_YNG_FY6","RRRM2_Cb_FLT_ISS-T_YNG_FY9","RRRM2_Cb_FLT_LAR_OLD_FO2","RRRM2_Cb_FLT_LAR_OLD_FO3","RRRM2_Cb_FLT_LAR_OLD_FO5","RRRM2_Cb_FLT_LAR_YNG_FY10","RRRM2_Cb_FLT_LAR_YNG_FY7","RRRM2_Cb_GC_ISS-T_OLD_GO14","RRRM2_Cb_GC_ISS-T_OLD_GO15","RRRM2_Cb_GC_ISS-T_OLD_GO20","RRRM2_Cb_GC_ISS-T_YNG_GY10","RRRM2_Cb_GC_ISS-T_YNG_GY5","RRRM2_Cb_GC_ISS-T_YNG_GY8","RRRM2_Cb_GC_LAR_OLD_GO12","RRRM2_Cb_GC_LAR_OLD_GO13","RRRM2_Cb_GC_LAR_OLD_GO15","RRRM2_Cb_GC_LAR_YNG_GY1","RRRM2_Cb_GC_LAR_YNG_GY4","RRRM2_Cb_GC_LAR_YNG_GY5"
"ENSMUSG00000000001",1273,700,302,728,2200,742,1651,1222,2001,912,923,141,258,1064,98,1012,1771,484,330,217,1503,870,409,1804,800,562
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",104,36,14,3,119,37,101,81,106,74,54,13,21,63,1,109,123,45,25,16,91,40,33,137,66,33
"ENSMUSG00000000031",23,71,20,52,30,45,43,44,28,50,29,16,18,12,11,39,100,28,16,25,16,26,11,42,13,37
"ENSMUSG00000000037",19,14,11,4,19,9,18,11,29,16,22,9,1,23,2,12,17,1,14,0,11,13,1,10,17,4
"ENSMUSG00000000049",18,3,0,1,17,7,23,6,16,3,9,0,1,13,0,20,11,9,8,0,12,0,12,19,12,11
"ENSMUSG00000000056",2228,1220,639,864,3654,1497,3213,2220,2876,1511,1479,301,445,1525,131,1836,2726,635,609,495,2425,1033,776,2605,1202,842
"ENSMUSG00000000058",533,343,298,386,1028,426,651,705,1491,938,995,132,285,1072,80,575,836,282,203,207,1004,515,433,1493,1011,362
"ENSMUSG00000000078",1146,958,459,690,2582,1091,1960,1570,2145,1325,1354,197,422,1347,87,994,1856,490,390,311,1911,880,614,1998,1075,668
"ENSMUSG00000000085",1161,483,493,332,868,1109,810,591,546,865,696,436,345,711,137,654,911,502,357,453,1460,720,377,1014,850,477
"ENSMUSG00000000088",6412,6251,3254,6381,3758,2950,3425,3266,6072,3787,3960,1426,2129,4069,759,6598,8509,3406,4595,1319,4422,2384,4848,5649,3389,3391
