"","RRRM2_HPC_FLT_ISS-T_OLD_FO11","RRRM2_HPC_FLT_ISS-T_OLD_FO12","RRRM2_HPC_FLT_ISS-T_OLD_FO13","RRRM2_HPC_FLT_ISS-T_OLD_FO15","RRRM2_HPC_FLT_ISS-T_OLD_FO18","RRRM2_HPC_FLT_ISS-T_YNG_FY10","RRRM2_HPC_FLT_ISS-T_YNG_FY3","RRRM2_HPC_FLT_ISS-T_YNG_FY4","RRRM2_HPC_FLT_ISS-T_YNG_FY6","RRRM2_HPC_FLT_LAR_OLD_FO2","RRRM2_HPC_FLT_LAR_OLD_FO3","RRRM2_HPC_FLT_LAR_OLD_FO5","RRRM2_HPC_FLT_LAR_YNG_FY10","RRRM2_HPC_FLT_LAR_YNG_FY6","RRRM2_HPC_FLT_LAR_YNG_FY7","RRRM2_HPC_GC_ISS-T_OLD_GO12","RRRM2_HPC_GC_ISS-T_OLD_GO15","RRRM2_HPC_GC_ISS-T_OLD_GO20","RRRM2_HPC_GC_ISS-T_YNG_GY10","RRRM2_HPC_GC_ISS-T_YNG_GY5","RRRM2_HPC_GC_ISS-T_YNG_GY8","RRRM2_HPC_GC_LAR_OLD_GO12","RRRM2_HPC_GC_LAR_OLD_GO13","RRRM2_HPC_GC_LAR_OLD_GO15","RRRM2_HPC_GC_LAR_YNG_GY1","RRRM2_HPC_GC_LAR_YNG_GY4","RRRM2_HPC_GC_LAR_YNG_GY5"
"ENSMUSG00000000001",727,112,964,1173,358,898,189,167,1621,593,1046,1106,1286,885,1165,615,270,836,996,377,232,1072,1405,378,1223,430,993
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",22,2,40,72,8,33,17,19,68,11,42,59,71,54,51,73,13,49,47,29,22,49,91,22,44,13,36
"ENSMUSG00000000031",25,10,34,17,6,11,2,4,25,5,14,12,8,6,2,21,20,13,19,4,17,2,5,8,13,4,8
"ENSMUSG00000000037",15,5,21,14,11,8,11,5,16,10,20,25,35,11,12,21,13,7,21,26,6,12,18,14,15,13,13
"ENSMUSG00000000049",22,6,15,13,2,21,2,7,22,5,29,16,17,22,11,19,10,10,17,7,11,17,7,2,13,10,25
"ENSMUSG00000000056",1165,136,1658,1732,545,1726,459,383,2282,928,1842,1977,2223,1746,1761,1191,333,1378,1888,636,522,1346,2237,696,1798,783,1480
"ENSMUSG00000000058",868,124,953,1118,474,1062,400,228,1758,1308,2058,2070,2587,1486,1783,692,290,1002,1239,516,570,1622,2394,1016,1961,1074,1828
"ENSMUSG00000000078",1630,151,1561,1750,577,1834,737,328,3554,1272,1945,2145,2620,2061,2504,1593,425,1585,2573,690,791,1902,2846,888,2501,853,2027
"ENSMUSG00000000085",614,175,840,849,340,904,424,314,825,689,921,1246,1118,870,853,671,332,735,932,507,417,726,1087,734,906,601,694
"ENSMUSG00000000088",5385,671,4693,6206,3877,3341,1263,1617,4064,2154,4017,3810,5190,2483,2938,4621,2496,5013,4675,2545,1561,2857,4551,1325,3790,2056,3368
"ENSMUSG00000000093",9,3,9,13,0,18,4,6,45,9,20,23,21,27,13,21,0,24,36,8,12,21,34,7,30,11,25
"ENSMUSG00000000094",3,0,5,1,0,6,0,0,6,0,6,0,3,6,8,0,0,1,10,0,0,3,1,0,7,7,7
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",99,13,77,110,55,100,8,2,166,25,49,80,37,131,76,40,8,40,208,42,26,53,121,16,89,35,47
"ENSMUSG00000000125",333,8,307,409,110,322,40,53,466,65,132,225,191,221,172,164,20,294,342,103,56,101,276,77,285,87,146
"ENSMUSG00000000126",336,27,293,448,66,233,147,82,371,111,219,236,227,397,426,345,73,283,381,141,104,194,296,121,306,89,177
"ENSMUSG00000000127",797,219,810,929,404,1549,551,277,1663,1138,1565,1667,2147,1196,1479,670,362,808,1017,360,583,1194,1614,1190,1474,897,1183
"ENSMUSG00000000131",1673,178,2253,2305,783,1735,624,816,2684,817,1587,1877,1686,2422,2407,1749,604,1939,2733,1030,568,1584,2479,881,1942,719,1210
"ENSMUSG00000000134",430,81,609,612,201,618,161,120,958,208,422,533,503,592,640,609,147,399,820,401,165,513,732,232,568,142,328
"ENSMUSG00000000142",522,67,757,753,259,797,297,195,1186,710,984,1305,1459,928,953,496,189,583,1050,299,278,966,1204,918,1240,650,488
"ENSMUSG00000000148",419,78,531,563,217,392,226,208,667,208,337,457,513,571,611,499,169,548,595,216,154,392,508,154,474,163,314
"ENSMUSG00000000149",2011,166,2063,2627,831,2608,576,455,3988,853,2430,2307,2277,1973,2340,1504,429,1896,3021,798,448,1598,2744,930,2952,926,1699
"ENSMUSG00000000154",33,10,12,54,25,12,6,19,42,22,39,47,50,18,20,19,15,49,56,21,1,35,47,19,34,5,28
"ENSMUSG00000000157",0,0,0,0,0,1,0,4,6,0,0,5,0,0,0,0,0,0,1,12,0,0,2,0,2,0,0
"ENSMUSG00000000159",0,0,1,7,0,1,3,0,8,6,6,8,6,3,1,3,0,0,8,2,4,4,6,2,5,1,14
"ENSMUSG00000000167",70,8,42,83,24,73,19,32,86,62,84,104,149,55,71,60,41,72,74,32,21,108,98,57,80,62,68
"ENSMUSG00000000168",2099,221,2581,2983,1076,2447,749,571,4436,1055,2126,2212,2343,2604,3089,2087,545,2214,3043,1308,852,2062,3140,762,2569,745,1824
"ENSMUSG00000000171",3220,409,3411,3856,2127,4649,1857,991,6057,2618,5074,5047,6868,3202,3272,2962,1076,3161,3770,1456,1926,3592,6207,2279,5039,3138,4375
"ENSMUSG00000000182",6,0,2,0,0,4,0,0,9,0,4,11,9,5,10,10,1,0,6,0,1,5,4,3,4,0,2
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",856,112,1528,1581,406,915,389,409,1578,451,1012,1097,1047,1103,1719,1096,453,1030,1505,710,293,1392,1255,420,1044,329,657
"ENSMUSG00000000194",1312,188,1614,1643,537,1050,498,416,1935,524,1063,1166,1347,1348,1419,1201,428,1310,1462,753,445,965,1729,485,1370,460,717
"ENSMUSG00000000197",4227,848,5407,5009,2046,4223,2764,1774,6007,3633,4081,4711,6193,5911,5521,4221,1662,4689,5241,2641,2350,4279,6840,3156,4985,2727,3246
"ENSMUSG00000000202",609,43,401,681,244,523,131,131,889,222,481,557,903,384,582,322,97,454,614,210,160,472,607,208,772,277,632
"ENSMUSG00000000204",4,1,0,0,0,3,0,0,4,0,1,2,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0
"ENSMUSG00000000214",181,13,123,189,22,258,12,38,196,40,352,43,91,84,128,91,48,135,145,31,16,84,215,33,100,35,19
"ENSMUSG00000000215",11,7,8,27,1,3,6,7,23,0,11,30,21,4,3,7,24,7,29,5,12,29,4,1,18,4,9
"ENSMUSG00000000216",17,1,10,6,7,2,1,0,1,9,6,7,5,6,10,0,3,2,8,0,2,2,4,8,0,0,3
"ENSMUSG00000000223",1516,169,1995,1870,555,1255,554,477,2087,695,1252,1591,1478,1941,2041,1650,510,1754,2185,1044,479,1419,1860,711,1635,495,1026
"ENSMUSG00000000244",5,4,1,8,0,9,10,7,5,13,16,9,35,3,5,3,2,9,11,4,12,17,24,8,11,9,8
"ENSMUSG00000000247",367,42,361,617,158,447,124,101,942,263,636,624,516,520,717,380,141,433,865,244,154,584,534,254,504,222,468
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",1151,102,1030,1220,509,1355,324,229,1783,485,1084,1185,1128,1022,1232,961,301,821,1601,554,319,900,1555,359,1301,521,845
"ENSMUSG00000000263",112,12,174,165,34,766,26,58,126,28,115,37,126,66,76,91,35,120,101,77,19,55,149,36,83,27,17
"ENSMUSG00000000266",814,102,1103,1363,383,944,385,254,1379,470,656,930,1078,1045,895,781,281,1119,1102,492,292,766,1310,481,1003,364,498
"ENSMUSG00000000275",171,46,118,149,77,111,55,43,183,117,170,138,183,124,168,97,57,105,136,92,64,142,243,83,188,69,132
"ENSMUSG00000000276",2279,243,2599,2991,833,1694,897,734,2965,867,1428,1643,1754,2764,2629,2207,776,2177,2934,1225,693,1773,2330,781,1696,527,1116
"ENSMUSG00000000278",472,66,514,537,168,392,125,172,725,226,485,458,481,413,499,310,133,372,521,173,95,425,668,183,535,154,286
"ENSMUSG00000000282",501,81,485,632,166,295,174,167,507,150,338,432,390,478,615,559,146,447,668,329,137,304,502,177,361,140,223
"ENSMUSG00000000290",179,31,158,214,76,227,26,27,261,79,205,251,225,149,206,100,60,198,244,82,37,160,306,51,226,53,176
"ENSMUSG00000000295",330,55,442,394,274,521,203,91,550,432,772,752,1101,378,441,292,95,435,551,135,278,574,1050,470,680,496,519
"ENSMUSG00000000296",704,64,813,1056,294,811,309,131,1207,506,811,847,1327,627,699,641,213,902,876,334,349,806,1270,462,975,567,813
"ENSMUSG00000000301",101,13,98,136,66,123,36,26,170,54,102,136,147,87,90,93,21,127,125,51,47,57,182,70,107,59,49
"ENSMUSG00000000303",133,46,130,80,65,70,43,26,141,118,219,158,156,58,180,61,62,91,130,78,30,182,204,85,163,37,128
"ENSMUSG00000000305",612,51,914,962,198,552,407,380,1012,204,348,378,557,654,771,528,184,695,1043,301,239,904,851,237,588,172,211
"ENSMUSG00000000308",6691,666,7564,9074,3014,8036,1487,2001,11470,1837,4622,4746,5581,5874,7079,7185,2352,6195,9498,3605,1512,4334,7418,1609,6133,1640,4064
"ENSMUSG00000000317",29,11,20,20,5,53,2,10,95,28,27,43,33,38,41,20,7,18,53,15,0,24,60,19,59,21,26
"ENSMUSG00000000318",69,9,81,68,38,9,7,19,52,41,60,37,72,48,64,29,15,68,34,31,21,53,87,30,44,38,69
"ENSMUSG00000000320",9,4,14,7,13,18,0,7,48,8,20,38,7,18,23,20,0,13,24,1,8,13,24,10,27,12,22
"ENSMUSG00000000326",2032,170,2199,2509,962,2617,629,545,3654,778,1973,2377,2462,1840,2053,1834,632,1960,2982,987,565,1654,3151,925,2308,983,1838
"ENSMUSG00000000339",934,137,1031,1373,449,1033,317,326,1815,546,1061,1159,1303,1043,1144,917,235,1141,1171,430,317,864,1518,381,1230,456,1013
"ENSMUSG00000000340",424,56,465,564,192,548,120,109,908,320,666,825,873,543,595,285,200,484,542,304,135,556,927,253,683,250,520
"ENSMUSG00000000346",2452,257,2526,3047,1232,3107,627,576,4261,1277,2746,3311,3096,2197,2675,2161,819,2839,3342,1252,688,2383,3833,1010,3293,1206,2418
