"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000000001",1091,1505,1549,2365,3655,3456,3068,1526,3252
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",50,34,36,92,185,184,169,68,88
"ENSMUSG00000000031",37,80,64,51,362,108,265,7,106
"ENSMUSG00000000037",8,18,35,49,25,32,31,21,83
"ENSMUSG00000000049",10,37,5,13,11,6,19,7,8
"ENSMUSG00000000056",1136,1574,2091,3054,6504,4924,4222,1570,3361
"ENSMUSG00000000058",1701,2442,1668,2902,1112,1507,2169,1152,5236
"ENSMUSG00000000078",1735,1868,2018,3441,4285,4101,3591,1320,4145
"ENSMUSG00000000085",913,1405,1132,2231,2323,1769,1686,1223,2165
"ENSMUSG00000000088",2621,3104,3032,4820,7355,7392,7383,3313,6960
"ENSMUSG00000000093",18,18,20,54,22,18,43,30,41
"ENSMUSG00000000094",4,9,10,15,8,14,11,4,13
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",21,31,18,423,405,320,225,233,64
"ENSMUSG00000000125",27,14,398,78,691,498,490,37,225
"ENSMUSG00000000126",407,693,435,562,112,62,236,71,656
"ENSMUSG00000000127",1062,1625,1579,2367,2524,2440,2110,1398,3085
"ENSMUSG00000000131",1623,2477,2819,5502,4567,3739,3497,1917,4044
"ENSMUSG00000000134",589,842,784,1419,1752,1352,1308,640,1350
"ENSMUSG00000000142",663,1131,1630,1671,1553,1673,1731,914,2779
"ENSMUSG00000000148",293,328,480,822,1087,868,789,321,638
"ENSMUSG00000000149",2487,3318,4517,6402,5081,6740,5923,3239,6763
"ENSMUSG00000000154",26,49,17,47,67,13,49,24,45
"ENSMUSG00000000157",0,0,1,0,0,1,6,0,0
