"","RRRM2_BRN_FLT_ISS-T_OLD_FO14","RRRM2_BRN_FLT_ISS-T_OLD_FO16","RRRM2_BRN_FLT_ISS-T_OLD_FO17","RRRM2_BRN_FLT_ISS-T_OLD_FO19","RRRM2_BRN_FLT_ISS-T_OLD_FO20","RRRM2_BRN_FLT_ISS-T_YNG_FY2","RRRM2_BRN_FLT_ISS-T_YNG_FY5","RRRM2_BRN_FLT_ISS-T_YNG_FY7","RRRM2_BRN_FLT_ISS-T_YNG_FY8","RRRM2_BRN_GC_ISS-T_OLD_GO13","RRRM2_BRN_GC_ISS-T_OLD_GO16","RRRM2_BRN_GC_ISS-T_OLD_GO18","RRRM2_BRN_GC_ISS-T_OLD_GO19","RRRM2_BRN_GC_ISS-T_YNG_GY1","RRRM2_BRN_GC_ISS-T_YNG_GY2","RRRM2_BRN_GC_ISS-T_YNG_GY4","RRRM2_BRN_GC_ISS-T_YNG_GY7","RRRM2_BRN_GC_ISS-T_YNG_GY9"
"ENSMUSG00000000001",1783,3609,1263,2664,1761,1978,2620,3266,2011,2376,1673,1611,2452,2335,2148,1767,1717,1205
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",69,182,61,109,73,88,124,153,69,130,83,83,101,151,102,82,76,57
"ENSMUSG00000000031",18,57,10,28,862,33,18,62,21,40,56,41,30,112,24,79,28,14
"ENSMUSG00000000037",28,73,11,37,31,39,33,64,26,38,31,11,28,26,28,35,33,11
"ENSMUSG00000000049",9,32,19,37,9,11,42,31,11,17,16,12,23,27,19,4,15,13
"ENSMUSG00000000056",2799,4881,2118,4163,3122,2697,5671,5178,3501,4129,2352,3387,3913,4793,4178,2290,2771,2389
"ENSMUSG00000000058",1968,2320,1274,2870,1741,1297,3369,2744,1579,2543,1536,1594,2820,3873,2156,1616,1535,1330
"ENSMUSG00000000078",3260,5264,1984,4234,2756,2843,5058,5504,2757,3660,2371,2684,3703,4002,3598,1967,2467,1829
"ENSMUSG00000000085",1564,2356,1017,1909,1448,2060,2199,2654,1947,2050,1275,1745,1537,1841,2092,1199,1390,1324
"ENSMUSG00000000088",3284,6234,2851,5961,3578,2492,6012,5714,4112,5604,2844,3872,5375,6067,4281,3497,3006,2962
"ENSMUSG00000000093",60,91,25,74,28,42,65,99,53,43,44,23,49,66,72,49,41,26
"ENSMUSG00000000094",12,25,6,18,13,16,11,21,9,18,22,28,14,7,26,20,5,7
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",361,789,106,129,83,377,87,405,438,582,443,106,256,119,379,283,111,102
"ENSMUSG00000000125",203,751,73,111,284,355,120,505,139,165,156,96,369,198,159,65,159,53
"ENSMUSG00000000126",485,722,539,1053,662,222,1843,916,499,714,419,624,861,1048,770,670,391,388
"ENSMUSG00000000127",1764,3028,1184,2448,1578,2852,2798,3654,2119,2290,1600,1826,2091,2354,2331,1278,1360,1281
"ENSMUSG00000000131",3271,6262,2693,5001,3264,4682,6508,8189,4252,4567,3000,3916,3987,6291,4607,3045,2698,2559
"ENSMUSG00000000134",1109,2017,909,1581,1005,1344,2024,2609,1367,1553,990,1281,1300,2284,1479,1038,888,862
