"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000000001",664,490,442,518,430,404
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",38,41,38,50,63,30
"ENSMUSG00000000031",1189,99,416,187,35,59
"ENSMUSG00000000037",41,10,21,10,11,7
"ENSMUSG00000000049",5,27,0,109,12,2
"ENSMUSG00000000056",1458,1123,1544,1473,1596,1342
"ENSMUSG00000000058",948,979,649,1170,964,778
"ENSMUSG00000000078",1569,1152,1127,913,1244,1233
"ENSMUSG00000000085",573,387,633,576,530,525
"ENSMUSG00000000088",7560,10161,9444,10205,9668,7284
"ENSMUSG00000000093",139,74,117,87,94,96
"ENSMUSG00000000094",1,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",27,4,6,16,13,18
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",78,76,101,100,93,67
"ENSMUSG00000000127",251,221,267,270,282,231
"ENSMUSG00000000131",896,923,1086,743,739,806
"ENSMUSG00000000134",325,198,257,282,206,200
"ENSMUSG00000000142",52,23,31,44,32,33
"ENSMUSG00000000148",169,94,141,159,109,105
"ENSMUSG00000000149",1619,1603,1822,1706,1802,1831
"ENSMUSG00000000154",4,1,3,9,8,1
"ENSMUSG00000000157",0,0,0,0,0,0
"ENSMUSG00000000159",1,2,0,1,0,0
"ENSMUSG00000000167",2,1,7,3,6,3
"ENSMUSG00000000168",5724,5111,5229,5510,5905,5557
"ENSMUSG00000000171",6056,6941,6674,7311,7429,5823
"ENSMUSG00000000182",0,0,2,0,0,0
"ENSMUSG00000000183",9,2,9,3,2,2
"ENSMUSG00000000184",1959,981,1664,1677,1547,1616
"ENSMUSG00000000194",673,426,654,673,586,543
"ENSMUSG00000000197",28,11,16,10,11,9
"ENSMUSG00000000202",0,0,0,2,0,0
"ENSMUSG00000000204",6,21,9,12,5,6
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",1,0,0,0,0,0
"ENSMUSG00000000223",27,4,9,10,11,1
"ENSMUSG00000000244",12,7,5,19,5,3
"ENSMUSG00000000247",0,1,0,1,0,0
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",1278,1137,1470,1282,1384,1228
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",363,323,286,346,397,364
"ENSMUSG00000000275",674,456,698,665,663,743
"ENSMUSG00000000276",458,429,332,590,405,368
"ENSMUSG00000000278",348,247,286,290,244,190
"ENSMUSG00000000282",212,167,223,157,143,166
"ENSMUSG00000000290",88,83,67,110,84,56
"ENSMUSG00000000295",26,44,28,24,26,23
"ENSMUSG00000000296",47,103,61,93,104,61
"ENSMUSG00000000301",9,16,22,16,14,8
"ENSMUSG00000000303",9,0,1,5,0,1
"ENSMUSG00000000305",47,39,48,52,26,52
"ENSMUSG00000000308",8,3,8,3,0,3
"ENSMUSG00000000317",601,379,446,569,576,531
"ENSMUSG00000000318",75,43,30,36,25,16
"ENSMUSG00000000320",66,141,61,105,60,59
"ENSMUSG00000000326",1589,1509,2284,2265,1875,1818
"ENSMUSG00000000339",316,230,254,273,237,209
"ENSMUSG00000000340",911,776,795,1199,1325,1154
"ENSMUSG00000000346",2997,2625,3148,3021,2915,2756
"ENSMUSG00000000355",454,418,388,416,455,314
"ENSMUSG00000000359",62,51,68,73,64,57
