"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000000001",1304,1653,1414,1872,1768,2006,1576,1758,1242
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",27,22,6,35,23,40,25,31,16
"ENSMUSG00000000031",1,18,5,2,8,7,1,2,4
"ENSMUSG00000000037",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000049",23576,26076,19376,27624,26601,33208,27873,35741,22856
"ENSMUSG00000000056",398,640,530,574,577,703,604,711,370
"ENSMUSG00000000058",43,75,19,64,50,65,57,60,21
"ENSMUSG00000000078",115,129,106,149,131,154,131,131,111
"ENSMUSG00000000085",106,118,98,108,115,123,107,109,89
"ENSMUSG00000000088",2243,2991,1795,2264,2351,2588,1461,1862,1065
"ENSMUSG00000000093",28,52,29,50,25,45,35,65,36
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",27,43,54,49,74,79,32,62,37
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126",14,11,11,14,27,20,5,17,12
"ENSMUSG00000000127",67,87,116,67,87,115,53,80,56
"ENSMUSG00000000131",468,599,458,707,537,704,581,632,376
"ENSMUSG00000000134",354,455,376,786,450,527,450,495,312
"ENSMUSG00000000142",197,219,117,212,142,138,135,94,79
"ENSMUSG00000000148",237,282,205,320,237,278,146,228,137
"ENSMUSG00000000149",1588,1984,1965,2322,2684,3052,1635,2574,2002
"ENSMUSG00000000154",1129,1236,850,1822,1259,1474,1246,1532,956
"ENSMUSG00000000157",8,2,0,1,0,1,0,1,4
"ENSMUSG00000000159",169,188,121,146,124,151,107,166,90
"ENSMUSG00000000167",14,15,6,14,11,23,12,4,4
"ENSMUSG00000000168",1183,1378,792,1113,897,1202,673,717,469
"ENSMUSG00000000171",3343,4322,2843,3290,3538,3944,2422,2985,1917
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",82,116,84,213,137,185,111,125,89
