"","N38_1Gy_Nday3_1","N38_1Gy_Nday3_2","N38_1Gy_Nday3_3","N38_1Gy_SMd3_1","N38_1Gy_SMd3_2","N38_1Gy_SMd3_3","N38_Non_day3_1","N38_Non_day3_2","N38_Non_day3_3","N38_SMday3_1","N38_SMday3_2","N38_SMday3_3"
"ENSMUSG00000000001",4923,4308,3960,3226,3824,4577,4809,3919,4540,4476,3778,3870
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",2911,2605,2467,2030,2666,2764,2893,2347,2793,2801,2224,2303
"ENSMUSG00000000031",2,4,5,3,3,3,2,2,3,2,4,4
"ENSMUSG00000000037",0,0,0,2,1,0,0,0,0,0,0,0
"ENSMUSG00000000049",3,3,7,9,5,11,9,2,9,3,5,6
"ENSMUSG00000000056",2002,1705,1698,1397,1814,2066,1941,1782,1988,2181,1666,1685
"ENSMUSG00000000058",1875,1703,1519,1202,1352,1907,2006,1716,1870,1881,1395,1736
"ENSMUSG00000000078",4035,3933,2940,3104,3082,3717,3943,3450,3666,3327,3020,3357
"ENSMUSG00000000085",582,639,498,548,576,706,597,611,651,580,562,571
"ENSMUSG00000000088",783,732,747,613,697,751,712,613,676,622,654,675
"ENSMUSG00000000093",4,2,1,1,5,2,6,4,0,5,2,3
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",2,3,7,4,1,3,1,1,0,1,5,0
"ENSMUSG00000000125",2,0,0,0,1,1,0,0,1,0,3,2
"ENSMUSG00000000126",73,69,73,46,72,90,67,90,81,80,63,79
"ENSMUSG00000000127",1638,1488,1334,1317,1495,1555,1699,1433,1641,1494,1341,1478
"ENSMUSG00000000131",1712,1842,1570,1722,1794,1900,1856,1612,1783,1646,1441,1799
"ENSMUSG00000000134",959,918,829,704,930,944,854,815,906,927,774,832
"ENSMUSG00000000142",24,17,11,11,13,25,11,11,15,11,18,16
"ENSMUSG00000000148",503,509,424,428,470,556,506,455,485,506,391,484
"ENSMUSG00000000149",1874,1822,1615,1531,1896,2058,1819,1482,1634,1921,1477,1717
"ENSMUSG00000000154",0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000157",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",0,2,0,1,1,2,0,0,1,0,0,0
"ENSMUSG00000000167",57,56,44,44,29,40,34,53,35,50,39,50
"ENSMUSG00000000168",1498,1394,1342,1175,1282,1440,1436,1191,1360,1260,1107,1189
"ENSMUSG00000000171",2082,1809,1858,1433,1576,1878,1975,1614,1855,1693,1460,1646
"ENSMUSG00000000182",0,0,0,0,0,0,1,0,0,0,2,0
