"","Mmus_C57-6J_ADR_FLT_Rep1_M23","Mmus_C57-6J_ADR_FLT_Rep2_M24","Mmus_C57-6J_ADR_FLT_Rep3_M25","Mmus_C57-6J_ADR_FLT_Rep4_M26","Mmus_C57-6J_ADR_FLT_Rep5_M27","Mmus_C57-6J_ADR_FLT_Rep6_M28","Mmus_C57-6J_ADR_GC_Rep1_M33","Mmus_C57-6J_ADR_GC_Rep2_M34","Mmus_C57-6J_ADR_GC_Rep3_M35","Mmus_C57-6J_ADR_GC_Rep4_M36","Mmus_C57-6J_ADR_GC_Rep5_M37"
"ENSMUSG00000000001",8880,12614,12750,12126,11796,10860,12281,10239,13131,11221,10283
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",280,277,292,270,326,288,212,486,407,340,473
"ENSMUSG00000000031",113,125,101,184,177,153,119,119,143,106,118
"ENSMUSG00000000037",54,76,58,64,29,44,50,32,40,60,42
"ENSMUSG00000000049",0,2,6,20,3,16,30,4,2983,4,3
"ENSMUSG00000000056",521,444,418,880,955,783,479,571,485,1114,1041
"ENSMUSG00000000058",1081,1496,1283,1501,1719,1226,1724,1017,1259,1757,1328
"ENSMUSG00000000078",7400,8809,7846,4791,5113,5101,6619,3763,6157,4634,4899
"ENSMUSG00000000085",1181,1604,1476,1622,1395,1309,1341,976,1026,1505,1311
"ENSMUSG00000000088",2545,2935,2754,3729,3330,2806,2731,2790,3047,2720,2572
"ENSMUSG00000000093",991,1363,1068,1691,1300,1248,925,830,843,1561,1048
"ENSMUSG00000000094",2,5,6,8,3,3,4,3,9,4,5
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",200,524,404,539,433,422,333,371,356,418,275
"ENSMUSG00000000125",0,1,4,3,6,2,1,2,5,0,2
"ENSMUSG00000000126",53,99,53,133,73,92,84,40,80,105,83
"ENSMUSG00000000127",1075,1293,1274,1523,1229,1164,1186,892,852,1279,990
"ENSMUSG00000000131",4991,6017,5388,7728,6160,5707,5054,4835,4928,6018,5521
"ENSMUSG00000000134",2068,2735,2340,3082,2688,2257,2191,2139,2056,2659,2254
"ENSMUSG00000000142",955,2159,1697,3085,2522,2012,2316,1217,1593,2396,1659
"ENSMUSG00000000148",745,703,596,1568,1191,1004,628,773,585,1128,937
"ENSMUSG00000000149",8047,9042,8133,10569,8787,8092,7645,8466,8630,11697,10351
"ENSMUSG00000000154",171,164,178,120,109,103,193,135,328,276,106
"ENSMUSG00000000157",0,3,0,0,0,0,2,0,0,0,0
"ENSMUSG00000000159",0,1,0,3,2,1,4,0,27,1,3
"ENSMUSG00000000167",42,36,47,61,51,56,39,47,46,47,50
"ENSMUSG00000000168",2555,3260,3202,3715,4239,3007,3470,2766,3077,3177,2870
"ENSMUSG00000000171",3067,3635,3663,4183,4389,3568,3554,3185,3638,3897,3582
"ENSMUSG00000000182",3,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,1,1,0,2,0,1,0,0
"ENSMUSG00000000184",31363,47806,43750,44245,43626,38932,44857,27799,39821,36834,37304
"ENSMUSG00000000194",4125,4656,4486,6074,5116,4859,4067,4393,4206,5299,4681
"ENSMUSG00000000197",468,1569,1440,1368,1216,1097,1149,1101,956,1175,967
"ENSMUSG00000000202",0,0,0,0,1,1,2,10,0,1,0
"ENSMUSG00000000204",4,6,5,53,10,2,10,3,1,2,0
"ENSMUSG00000000214",11943,42801,28639,37871,38029,32502,14483,24345,16460,22369,15045
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,1,1,0,0,1,4,2,0,4,1
"ENSMUSG00000000223",48,103,63,82,91,64,46,68,57,59,56
"ENSMUSG00000000244",29,32,36,40,46,47,42,111,28,52,38
"ENSMUSG00000000247",0,2,2,2,3,1,3,1,7,3,0
"ENSMUSG00000000248",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",302,503,468,538,736,520,383,424,393,425,492
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",1935,2365,2097,2728,2580,2339,2020,1801,1896,2619,2151
"ENSMUSG00000000275",20786,24497,21686,26930,22617,22574,20121,20594,22527,21655,19501
"ENSMUSG00000000276",2401,3898,3019,2553,2771,2657,2725,2486,2974,2195,2560
"ENSMUSG00000000278",8839,9424,8439,10407,8185,8039,7658,8099,8496,9683,8217
"ENSMUSG00000000282",1487,1901,1744,2335,2175,2045,1532,1754,1408,2593,1859
"ENSMUSG00000000290",746,930,1042,1480,937,951,971,1769,623,1097,710
"ENSMUSG00000000295",633,623,658,778,586,626,593,513,657,730,705
"ENSMUSG00000000296",753,1256,1062,1019,1088,847,991,715,894,1093,952
"ENSMUSG00000000301",79,93,83,109,103,94,92,89,440,67,88
"ENSMUSG00000000303",10,23,17,24,13,23,47,102,48,26,14
"ENSMUSG00000000305",434,989,851,1044,885,847,634,657,504,534,669
"ENSMUSG00000000308",74,265,199,278,211,218,177,222,140,209,177
"ENSMUSG00000000317",512,691,523,924,589,585,422,600,423,1026,798
"ENSMUSG00000000318",4.18,27.45,19,38,22,14.2,60.7,74.86,24.29,32.38,21.03
"ENSMUSG00000000320",53,92,103,109,102,87,109,64,75,96,75
"ENSMUSG00000000325",1193,1311,1092,1869,1699,1576,1194,1036,898,2168,1504
"ENSMUSG00000000326",8531,10850,8226,8850.96,7765,7101,8365,4877,5972,7078,5056
"ENSMUSG00000000339",773,937,946,1140,959,1006,899,851,874,1056,924
"ENSMUSG00000000340",3967,3820,3696,4333,4498,3597,3460,2982,3448,3864,3461
"ENSMUSG00000000346",9498.86,10951.15,9739.9,11902.75,10236.81,9789.73,9638.9,8971.88,9646.78,12564.88,10355.88
"ENSMUSG00000000355",662,817,724,908,777,613,640,601,632,765,691
"ENSMUSG00000000359",153,208,119,465,302,212,236,208,155,406,271
"ENSMUSG00000000365",53,47,42,62,51,43,36,33,30,53,33
"ENSMUSG00000000374",4443,4984,4580,5621,4973,4608,4013,4343,4040,4843,4349
"ENSMUSG00000000378",1144,1530,1413,1226,1117,1149,1333,1247,1294,1021,1020
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1269.56,1431.37,1531.41,1659.62,1561.38,1383.28,1203.58,1162.34,1246.57,1400.42,1277.34
"ENSMUSG00000000385",3,4,1,3,3,3,10,3,17,12,3
"ENSMUSG00000000386",18,28,32,78,38,20,17,39,10.16,31,10
"ENSMUSG00000000392",20,54,49,82,54,27,70,18,50,45,40
"ENSMUSG00000000394",0,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000399",3587,4319,4061,4457,4501,3589,3860,3604,4064,4155,3742
"ENSMUSG00000000402",666,843,794,750,700,627,665,380,636,748,603
"ENSMUSG00000000409",86,125,84,129,91,116,98,323,80,161,104
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",3481,5169,3820,6019,5452,4953,3773,2707,2556,6231,4716
"ENSMUSG00000000420",3605,5107,4548,5637,4858,4330,4413,3728,4091,5112,4306
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000439",1281,1315,1182,2172,1816,1616,1278,1281,1170,1902,1693
"ENSMUSG00000000440",63,193,214,218,492,79,534,177,230,102,150
"ENSMUSG00000000441",4257,4413,4079,5437,4575,4330,3611,3685,3668,4705,4305
"ENSMUSG00000000486",126,170,132,193,167,144,140,271,154,151,157
"ENSMUSG00000000489",1583,1902,2008,2810,2424,2029,1282,1499,1573,2746,2466
"ENSMUSG00000000530",806,1138,945,1274,1019,884,1023,815,944,1213,810
"ENSMUSG00000000531",3108,4421,3551,1412,1254,1890,3116,2416,3401,1365,1423
"ENSMUSG00000000532",440,564,534,1053,762,733,521,574,404,869,589
"ENSMUSG00000000538",8964,10409,9398,10739,9218,9066,8566,7867,8458,9807,9879
"ENSMUSG00000000544",17,15,20,25,10,12,14,8,11,13,15
"ENSMUSG00000000552",456,529,499,810,790,708,567,633,455,678,641
"ENSMUSG00000000555",2544,2636,2345,3981,2946,2828,1992,2127,1803,3217,2698
"ENSMUSG00000000560",0,0,1,0,0,0,3,0,0,0,0
"ENSMUSG00000000561",2202.1,2624.54,2736.43,2899.25,2689.82,2468.09,2472.16,2119.21,2257.27,2685.91,2411.29
"ENSMUSG00000000562",0,7.91,6,9,7,0,10,2,3,5,6
"ENSMUSG00000000563",6465.58,7174.33,7094.42,8290.4,8160.67,7001.22,6539.64,6883.39,7605.26,7478.52,7254.25
"ENSMUSG00000000567",224,154,146,167,190,122,148,149,170,115,128
"ENSMUSG00000000568",2345,3568,3002,3664,3075,2567,2420,2111,1819,3197,2562
"ENSMUSG00000000579",86.13,155.88,146.56,129.48,145.33,120.71,118.54,147.4,99.89,139.95,208.36
