"","Mmus_C57-6J_EDL_FLT_Rep1_M23","Mmus_C57-6J_EDL_FLT_Rep2_M26","Mmus_C57-6J_EDL_FLT_Rep3_M27","Mmus_C57-6J_EDL_FLT_Rep4_M28","Mmus_C57-6J_EDL_FLT_Rep5_M29","Mmus_C57-6J_EDL_FLT_Rep6_M30","Mmus_C57-6J_EDL_GC_Rep1_M31","Mmus_C57-6J_EDL_GC_Rep2_M32","Mmus_C57-6J_EDL_GC_Rep3_M37","Mmus_C57-6J_EDL_GC_Rep4_M38","Mmus_C57-6J_EDL_GC_Rep5_M39","Mmus_C57-6J_EDL_GC_Rep6_M40"
"ENSMUSG00000000001",946,1447,1479,1488,1561,1461,1396,1076,1106,1253,1221,1188
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",97,180,236,128,157,160,162,164,142,174,150,186
"ENSMUSG00000000031",23220,36813,20979,26841,25825,27226,33833,18758,30041,25189,27720,26788
"ENSMUSG00000000037",4,9,9,8,14,5,15,6,7,11,7,8
"ENSMUSG00000000049",16,33,60,26,23,24,26,31,39,27,26,51
"ENSMUSG00000000056",7617,11628,11610,10127,11162,10477,12322,10351,10475,11182,12593,11410
"ENSMUSG00000000058",721,1293,1012,1302,1446,1212,1232,693,971,831,1159,1011
"ENSMUSG00000000078",2439,2867,2702,3103,4008,4059,3270,2971,3348,3173,4019,3478
"ENSMUSG00000000085",1827,2838,2741,2447,2727,2547,2658,2404,2633,2633,2718,2618
"ENSMUSG00000000088",18165,28147,31064,23720,24230,22816,23365,20339,23152,21147,20719,24116
"ENSMUSG00000000093",90,180,184,202,189,177,158,134,254,157,161,238
"ENSMUSG00000000094",79,102,127,125,107,108,113,104,169,119,117,122
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",43,56,69,67,70,70,136,81,77,105,65,68
"ENSMUSG00000000125",3,4,7,5,8,4,3,3,0,3,3,10
"ENSMUSG00000000126",579,1314,1101,936,1007,896,1060,963,906,992,954,1172
"ENSMUSG00000000127",678,1082,945,879,1006,965,1013,793,820,861,1026,773
"ENSMUSG00000000131",314,613,534,691,764,698,633,516,727,672,684,709
"ENSMUSG00000000134",545,985,873,818,929,803,803,708,800,734,806,767
"ENSMUSG00000000142",795,1229,1284,1176,1186,1293,1402,1209,1551,1300,1274,1309
"ENSMUSG00000000148",366,492,561,452,520,517,526,483,463,488,498,549
"ENSMUSG00000000149",1956,3351,3418,2678,2939,2721,2437,2114,2408,2316,2317,2491
"ENSMUSG00000000154",11,20,4,11,13,6,15,7,11,18,13,15
"ENSMUSG00000000157",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000167",17,21,12,10,10,8,19,3,16,16,15,17
"ENSMUSG00000000168",11932,19040,19399,15897,16073,15818,16021,12964,14991,14088,13871,17054
"ENSMUSG00000000171",9950,15668,18112,14157,13870,12756,14057,11689,12935,12620,12419,14426
"ENSMUSG00000000182",1,1,1,4,9,11,4,4,4,4,0,8
"ENSMUSG00000000183",344,483,471,440,532,436,734,441,436,453,641,378
"ENSMUSG00000000184",824,1811,1238,1324,1718,1625,1584,742,1169,1338,1248,1106
"ENSMUSG00000000194",2101,3331,3456,3047,3240,2863,3249,2936,2863,2826,3177,3347
"ENSMUSG00000000197",60,78,112,75,114,63,130,61,83,78,104,70
"ENSMUSG00000000202",3,2,1,1,10,4,1,6,2,1,5,7
"ENSMUSG00000000204",4,9,4,4,5,4,3,2,1,0,9,1
"ENSMUSG00000000214",8,22,29,13,16,12,13,20,15,47,10,16
"ENSMUSG00000000215",0,0,0,1,0,0,0,1,1,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",375,580,688,1207,944,1069,809,1235,1265,993,1031,1265
"ENSMUSG00000000244",11,21,12,20,24,20,10,7,14,18,22,7
"ENSMUSG00000000247",5,4,3,4,5,4,3,2,3,0,2,2
"ENSMUSG00000000248",0,1,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",5669,7356,7612,6671,7402,7400,9843,9053,9921,9708,8837,9440
"ENSMUSG00000000263",0,0,2,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000266",450,852,783,780,869,729,728,446,574,584,681,586
"ENSMUSG00000000275",753,1733,1337,1323,1267,1214,1205,1064,1276,1275,1324,1267
"ENSMUSG00000000276",319,718,581,580,562,589,687,520,685,533,590,613
"ENSMUSG00000000278",511,890,871,773,848,685,716,538,726,673,744,712
"ENSMUSG00000000282",1131,893,1053,804,1081,1429,1019,1181,1442,1144,1104,1275
"ENSMUSG00000000290",159,313,170,216,246,181,161,98,119,141,230,109
"ENSMUSG00000000295",171,322,295,299,312,270,301,317,306,276,299,317
"ENSMUSG00000000296",1018,1325,1590,1305,1337,1342,1667,1331,1404,1443,1582,1345
"ENSMUSG00000000301",39,79,98,50,66,50,62,54,78,61,64,76
"ENSMUSG00000000303",9,33,24,44,36,61,25,62,66,42,37,34
"ENSMUSG00000000305",180,199,147,145,153,145,257,307,162,179,226,173
"ENSMUSG00000000308",0,0,0,3,0,2,0,0,0,0,3,0
"ENSMUSG00000000317",409,646,456,735,949,1075,681,324,599,423,456,423
"ENSMUSG00000000318",64,146,111,88,84,66,122,109,100,110,125,116
"ENSMUSG00000000320",89,137,160,121,94,110,116,98,106,65,83,114
"ENSMUSG00000000326",1540,2742,3037,2492,2368,2209,2056,1952,2434,2062,2086,2398
"ENSMUSG00000000339",893,1522,1655,1298,1390,1291,1282,1205,1297,1281,1320,1359
"ENSMUSG00000000340",2390,3909,3862,3367,3421,3042,3567,3175,2744,2742,2887,2571
"ENSMUSG00000000346",3532,5547,5825,5074,5146,4914,5202,4336,5008,4825,5106,5651
"ENSMUSG00000000355",714,1066,1074,958,990,898,1077,781,761,827,1065,827
"ENSMUSG00000000359",82,130,93,136,143,119,129,109,155,163,131,115
"ENSMUSG00000000365",2,7,4,10,4,7,2,1,13,6,4,2
"ENSMUSG00000000374",3904,6116,6450,5331,5556,5622,5315,5118,5116,5006,5258,5354
"ENSMUSG00000000378",672,1177,1280,1071,1144,1020,1217,1069,1192,1190,1251,1163
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",2256,4307,4438,3483,3426,3244,3123,2716,3384,3061,2822,3596
"ENSMUSG00000000385",4,8,3,2,4,4,14,7,6,5,12,4
"ENSMUSG00000000386",5,21,11,7,6,8,13,2,2,16,6,2
"ENSMUSG00000000392",333,445,326,378,498,414,375,276,312,265,495,284
"ENSMUSG00000000394",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000399",11105,16852,17544,14256,14854,14024,14755,12827,15214,13256,13292,15193
