2026-04-12 16:41:28,472 INFO    MainThread:172180 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_setup.py:_flush():81] Configure stats pid to 172180
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/walt/Attention/wandb/run-20260412_164128-vqupyrt8/logs/debug.log
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/walt/Attention/wandb/run-20260412_164128-vqupyrt8/logs/debug-internal.log
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_init.py:init():844] calling init triggers
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_init.py:init():849] wandb.init called with sweep_config: {'batch_size': 4, 'early_stopping': False, 'epochs': 5, 'hidden_dim': 512, 'include_species_embedding': False, 'learning_rate': 0.0002, 'mask_ratio': 0.15, 'normalization': 'log1p_tpm', 'num_heads': 16, 'num_layers': 12, 'ree_base': 100, 'weight_decay': 0}
config: {'hidden_dim': 256, 'ffn_dim': 1024, 'num_heads': 8, 'num_layers': 2, 'ree_base': 100.0, 'feature_type': 'sqr', 'compute_type': 'iter', 'normalization': 'log1p_tpm', 'mask_ratio': 0.15, 'mask_token': -10, 'learning_rate': 0.0001, 'weight_decay': 0, 'batch_size': 4, 'epochs': 1, 'early_stopping': True, 'patience': 5, 'seed': 42, 'data_mode': 'preload', 'stream_cache_size': 2, 'num_workers': 1, 'prefetch_factor': 2, 'persistent_workers': False, 'train_subset': None, 'val_subset': None, 'balanced_sampling': True, 'include_species_embedding': True, 'data_dir': './scratch/working_training_tools/train_orthologs_20K_samples', 'checkpoint_dir': './checkpoints_performer', '_wandb': {}}
2026-04-12 16:41:28,473 INFO    MainThread:172180 [wandb_init.py:init():892] starting backend
2026-04-12 16:41:28,762 INFO    MainThread:172180 [wandb_init.py:init():895] sending inform_init request
2026-04-12 16:41:28,769 INFO    MainThread:172180 [wandb_init.py:init():903] backend started and connected
2026-04-12 16:41:28,769 INFO    MainThread:172180 [wandb_run.py:_config_callback():1403] config_cb None None {'batch_size': 4, 'early_stopping': False, 'epochs': 5, 'hidden_dim': 512, 'include_species_embedding': False, 'learning_rate': 0.0002, 'mask_ratio': 0.15, 'normalization': 'log1p_tpm', 'num_heads': 16, 'num_layers': 12, 'ree_base': 100, 'weight_decay': 0}
2026-04-12 16:41:28,770 INFO    MainThread:172180 [wandb_init.py:init():973] updated telemetry
2026-04-12 16:41:28,776 INFO    MainThread:172180 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-12 16:41:29,341 INFO    MainThread:172180 [wandb_init.py:init():1042] starting run threads in backend
2026-04-12 16:41:29,640 INFO    MainThread:172180 [wandb_run.py:_console_start():2524] atexit reg
2026-04-12 16:41:29,640 INFO    MainThread:172180 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-12 16:41:29,640 INFO    MainThread:172180 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-12 16:41:29,640 INFO    MainThread:172180 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-12 16:41:29,644 INFO    MainThread:172180 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-12 16:41:29,648 INFO    MainThread:172180 [wandb_run.py:_config_callback():1403] config_cb None None {'ffn_dim': 2048, 'feature_type': 'sqr', 'compute_type': 'iter', 'mask_token': -10, 'patience': 5, 'seed': 42, 'data_mode': 'preload', 'stream_cache_size': 2, 'num_workers': 1, 'prefetch_factor': 2, 'persistent_workers': False, 'train_subset': None, 'val_subset': None, 'balanced_sampling': True, 'data_dir': './scratch/working_training_tools/train_orthologs_20K_samples', 'checkpoint_dir': './checkpoints_performer'}
2026-04-12 16:42:09,817 INFO    wandb-AsyncioManager-main:172180 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-12 16:42:09,817 INFO    wandb-AsyncioManager-main:172180 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
