human_ensembl,mouse_ensembl,human_symbol_original,human_symbol_hgnc,mouse_symbol,hgnc_resolved,protein_coding_hgnc,present_archs4_human,present_archs4_mouse,expressed_tcga,expressed_tcga_exact_old_symbol,expressed_osdr,has_human_exon_length,has_mouse_exon_length,in_current_vocab,unique_pair_after_hgnc,eligible_reconciled,eligible_with_exact_tcga_symbol,training_ready
ENSG00000090861,ENSMUSG00000031960,AARS1,AARS1,Aars1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000151136,ENSMUSG00000020042,ABTB3,ABTB3,Abtb3,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000014257,ENSMUSG00000032561,ACP3,ACP3,Acp3,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000188493,ENSMUSG00000078786,ACTMAP,ACTMAP,Actmap,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000101220,ENSMUSG00000027327,ADISSP,ADISSP,Adissp,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000185100,ENSMUSG00000011148,ADSS1,ADSS1,Adss1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000035687,ENSMUSG00000015961,ADSS2,ADSS2,Adss2,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000145375,ENSMUSG00000027722,AFG2A,AFG2A,Afg2a,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000171763,ENSMUSG00000118663,AFG2B,AFG2B,Afg2b,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000116922,ENSMUSG00000044730,AIRIM,AIRIM,Airim,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000187699,ENSMUSG00000043629,C2ORF88,AKAP19,1700019D03Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000085662,ENSMUSG00000001642,AKR1B1,AKR1B1,Akr1b1,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000113391,ENSMUSG00000064138,ARB2A,ARB2A,Arb2a,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000141622,ENSMUSG00000025427,ARK2C,ARK2C,Ark2c,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000152242,ENSMUSG00000047466,ARK2N,ARK2N,Ark2n,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000164096,ENSMUSG00000054091,ARLN,ARLN,Arln,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000047346,ENSMUSG00000034858,ATOSA,ATOSA,Atosa,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000005238,ENSMUSG00000036002,ATOSB,ATOSB,Atosb,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000152234,ENSMUSG00000025428,ATP5F1A,ATP5F1A,Atp5f1a,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000110955,ENSMUSG00000025393,ATP5F1B,ATP5F1B,Atp5f1b,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000165629,ENSMUSG00000025781,ATP5F1C,ATP5F1C,Atp5f1c,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000099624,ENSMUSG00000003072,ATP5F1D,ATP5F1D,Atp5f1d,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000124172,ENSMUSG00000016252,ATP5F1E,ATP5F1E,Atp5f1e,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000130770,ENSMUSG00000054428,ATP5IF1,ATP5IF1,Atp5if1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000135390,ENSMUSG00000062683,ATP5MC2,ATP5MC2,Atp5mc2,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000154518,ENSMUSG00000018770,ATP5MC3,ATP5MC3,Atp5mc3,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000169020,ENSMUSG00000050856,ATP5ME,ATP5ME,Atp5me,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000241468,ENSMUSG00000038690,ATP5MF,ATP5MF,Atp5mf,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000156411,ENSMUSG00000021290,ATP5MJ,ATP5MJ,Atp5mj,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000173915,ENSMUSG00000071528,ATP5MK,ATP5MK,Atp5mk,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000167863,ENSMUSG00000034566,ATP5PD,ATP5PD,Atp5pd,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000154723,ENSMUSG00000022890,ATP5PF,ATP5PF,Atp5pf,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000241837,ENSMUSG00000022956,ATP5PO,ATP5PO,Atp5po,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000258315,ENSMUSG00000020831,BACC1,BACC1,Bacc1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000182919,ENSMUSG00000031938,C11ORF54,BKGD,4931406C07Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000138688,ENSMUSG00000037270,BLTP1,BLTP1,Bltp1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000007202,ENSMUSG00000010277,BLTP2,BLTP2,Bltp2,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000065060,ENSMUSG00000039512,BLTP3A,BLTP3A,Bltp3a,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000111647,ENSMUSG00000019951,BLTP3B,BLTP3B,Bltp3b,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000133794,ENSMUSG00000055116,BMAL1,BMAL1,Bmal1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000029153,ENSMUSG00000040187,BMAL2,BMAL2,Bmal2,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000183354,ENSMUSG00000046138,BRD10,BRD10,Brd10,True,True,True,True,True,False,True,True,True,False,True,True,False,True
ENSG00000214688,ENSMUSG00000090439,C10ORF105,C10ORF105,Gm17455,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000178645,ENSMUSG00000072473,C10ORF53,C10ORF53,1700024G13Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000177354,ENSMUSG00000071540,C10ORF71,C10ORF71,3425401B19Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000119965,ENSMUSG00000040177,C10ORF88,C10ORF88,2310057M21Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000154493,ENSMUSG00000030994,C10ORF90,C10ORF90,D7Ertd443e,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000120055,ENSMUSG00000099655,C10ORF95,C10ORF95,2310034G01Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000176029,ENSMUSG00000031022,C11ORF16,C11ORF16,BC051019,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000180878,ENSMUSG00000078611,C11ORF42,C11ORF42,Gm5901,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000149300,ENSMUSG00000032062,C11ORF52,C11ORF52,2310030G06Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000110696,ENSMUSG00000030663,C11ORF58,C11ORF58,1110004F10Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000166323,ENSMUSG00000005131,C11ORF65,C11ORF65,4930550C14Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000175573,ENSMUSG00000047423,C11ORF68,C11ORF68,AI837181,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000180425,ENSMUSG00000042293,C11ORF71,C11ORF71,Gm5617,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000173237,ENSMUSG00000042041,C11ORF86,C11ORF86,2010003K11Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000185742,ENSMUSG00000078307,C11ORF87,C11ORF87,AI593442,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000205177,ENSMUSG00000032671,C11ORF91,C11ORF91,A930018P22Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000257057,ENSMUSG00000031927,C11ORF97,C11ORF97,1700012B09Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000278615,ENSMUSG00000071653,C11ORF98,C11ORF98,1810009A15Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000157895,ENSMUSG00000029559,C12ORF43,C12ORF43,2210016L21Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000185306,ENSMUSG00000047642,C12ORF56,C12ORF56,D930020B18Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000111678,ENSMUSG00000072772,C12ORF57,C12ORF57,Grcc10,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000182993,ENSMUSG00000047515,C12ORF60,C12ORF60,BC049715,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000235162,ENSMUSG00000087651,C12ORF75,C12ORF75,1500009L16Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000179933,ENSMUSG00000040822,C14ORF119,C14ORF119,1700123O20Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000227051,ENSMUSG00000094910,C14ORF132,C14ORF132,D430019H16Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000179008,ENSMUSG00000021098,C14ORF39,C14ORF39,4930447C04Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000100802,ENSMUSG00000022179,C14ORF93,C14ORF93,4931414P19Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000169609,ENSMUSG00000025102,C15ORF40,C15ORF40,3110040N11Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000189227,ENSMUSG00000032403,C15ORF61,C15ORF61,2300009A05Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000188277,ENSMUSG00000055926,C15ORF62,C15ORF62,Gm14137,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000166455,ENSMUSG00000031847,C16ORF46,C16ORF46,1700030J22Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000185905,ENSMUSG00000045165,C16ORF54,C16ORF54,AI467606,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000166152,ENSMUSG00000069971,C16ORF78,C16ORF78,4933402J07Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000159761,ENSMUSG00000013158,C16ORF86,C16ORF86,4933405L10Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000153446,ENSMUSG00000051669,C16ORF89,C16ORF89,AU021092,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000215131,ENSMUSG00000005983,C16ORF90,C16ORF90,1700037C18Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000256806,ENSMUSG00000053574,C17ORF100,C17ORF100,4930563E22Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000205710,ENSMUSG00000087279,C17ORF107,C17ORF107,4930544D05Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000186665,ENSMUSG00000078607,C17ORF58,C17ORF58,1810010H24Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000214226,ENSMUSG00000072553,C17ORF67,C17ORF67,Gm525,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000108666,ENSMUSG00000057181,C17ORF75,C17ORF75,5730455P16Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000278505,ENSMUSG00000051452,C17ORF78,C17ORF78,Gm11437,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000177576,ENSMUSG00000036299,C18ORF32,C18ORF32,BC031181,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000166845,ENSMUSG00000044906,C18ORF54,C18ORF54,4930503L19Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000206043,ENSMUSG00000117781,C18ORF63,C18ORF63,Gm17266,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000131943,ENSMUSG00000054676,C19ORF12,C19ORF12,1600014C10Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000119559,ENSMUSG00000020133,C19ORF25,C19ORF25,2310011J03Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000167644,ENSMUSG00000030587,C19ORF33,C19ORF33,2200002D01Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000214212,ENSMUSG00000057191,C19ORF38,C19ORF38,AB124611,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000160392,ENSMUSG00000049643,C19ORF47,C19ORF47,2310022A10Rik,True,True,True,True,True,True,True,True,True,False,True,True,True,True
ENSG00000104979,ENSMUSG00000019362,C19ORF53,C19ORF53,D8Ertd738e,True,True,True,True,True,True,True,True,True,False,True,True,True,True
