human_symbol_hgnc,human_ensembl,mouse_ensembl
A1CF,ENSG00000148584,ENSMUSG00000052595
A2M,ENSG00000175899,ENSMUSG00000030111
A3GALT2,ENSG00000184389,ENSMUSG00000028794
A4GALT,ENSG00000128274,ENSMUSG00000047878
A4GNT,ENSG00000118017,ENSMUSG00000037953
AAAS,ENSG00000094914,ENSMUSG00000036678
AACS,ENSG00000081760,ENSMUSG00000029482
AADAC,ENSG00000114771,ENSMUSG00000027761
AADACL2,ENSG00000197953,ENSMUSG00000091376
AADACL3,ENSG00000188984,ENSMUSG00000078507
AADAT,ENSG00000109576,ENSMUSG00000057228
AAGAB,ENSG00000103591,ENSMUSG00000037257
AAK1,ENSG00000115977,ENSMUSG00000057230
AAMDC,ENSG00000087884,ENSMUSG00000035642
AAMP,ENSG00000127837,ENSMUSG00000006299
AANAT,ENSG00000129673,ENSMUSG00000020804
AAR2,ENSG00000131043,ENSMUSG00000027628
AARD,ENSG00000205002,ENSMUSG00000068522
AARS1,ENSG00000090861,ENSMUSG00000031960
AARS2,ENSG00000124608,ENSMUSG00000023938
AARSD1,ENSG00000266967,ENSMUSG00000075528
AASDH,ENSG00000157426,ENSMUSG00000055923
AASDHPPT,ENSG00000149313,ENSMUSG00000025894
AASS,ENSG00000008311,ENSMUSG00000029695
AATF,ENSG00000275700,ENSMUSG00000018697
ABAT,ENSG00000183044,ENSMUSG00000057880
ABCA1,ENSG00000165029,ENSMUSG00000015243
ABCA12,ENSG00000144452,ENSMUSG00000050296
ABCA13,ENSG00000179869,ENSMUSG00000004668
ABCA2,ENSG00000107331,ENSMUSG00000026944
ABCA3,ENSG00000167972,ENSMUSG00000024130
ABCA4,ENSG00000198691,ENSMUSG00000028125
ABCA5,ENSG00000154265,ENSMUSG00000018800
ABCA6,ENSG00000154262,ENSMUSG00000044749
ABCA7,ENSG00000064687,ENSMUSG00000035722
ABCA8,ENSG00000141338,ENSMUSG00000020620
ABCA9,ENSG00000154258,ENSMUSG00000041797
ABCB10,ENSG00000135776,ENSMUSG00000031974
ABCB11,ENSG00000073734,ENSMUSG00000027048
ABCB4,ENSG00000005471,ENSMUSG00000042476
ABCB5,ENSG00000004846,ENSMUSG00000072791
ABCB6,ENSG00000115657,ENSMUSG00000026198
ABCB7,ENSG00000131269,ENSMUSG00000031333
ABCB8,ENSG00000197150,ENSMUSG00000028973
ABCB9,ENSG00000150967,ENSMUSG00000029408
ABCC1,ENSG00000103222,ENSMUSG00000023088
ABCC10,ENSG00000124574,ENSMUSG00000032842
ABCC12,ENSG00000140798,ENSMUSG00000036872
ABCC2,ENSG00000023839,ENSMUSG00000025194
ABCC3,ENSG00000108846,ENSMUSG00000020865
ABCC4,ENSG00000125257,ENSMUSG00000032849
ABCC5,ENSG00000114770,ENSMUSG00000022822
ABCC6,ENSG00000091262,ENSMUSG00000030834
ABCC8,ENSG00000006071,ENSMUSG00000040136
ABCC9,ENSG00000069431,ENSMUSG00000030249
ABCD1,ENSG00000101986,ENSMUSG00000031378
ABCD2,ENSG00000173208,ENSMUSG00000055782
ABCD3,ENSG00000117528,ENSMUSG00000028127
ABCD4,ENSG00000119688,ENSMUSG00000021240
ABCE1,ENSG00000164163,ENSMUSG00000058355
ABCF1,ENSG00000204574,ENSMUSG00000038762
ABCF2,ENSG00000033050,ENSMUSG00000028953
ABCF3,ENSG00000161204,ENSMUSG00000003234
ABCG1,ENSG00000160179,ENSMUSG00000024030
ABCG4,ENSG00000172350,ENSMUSG00000032131
ABCG5,ENSG00000138075,ENSMUSG00000040505
ABCG8,ENSG00000143921,ENSMUSG00000024254
ABHD1,ENSG00000143994,ENSMUSG00000006638
ABHD10,ENSG00000144827,ENSMUSG00000033157
ABHD11,ENSG00000106077,ENSMUSG00000040532
ABHD12,ENSG00000100997,ENSMUSG00000032046
ABHD12B,ENSG00000131969,ENSMUSG00000090121
ABHD13,ENSG00000139826,ENSMUSG00000040396
ABHD14A,ENSG00000248487,ENSMUSG00000042210
ABHD14B,ENSG00000114779,ENSMUSG00000042073
ABHD15,ENSG00000168792,ENSMUSG00000000686
ABHD16A,ENSG00000204427,ENSMUSG00000007036
ABHD16B,ENSG00000183260,ENSMUSG00000055882
ABHD17A,ENSG00000129968,ENSMUSG00000003346
ABHD17B,ENSG00000107362,ENSMUSG00000047368
ABHD17C,ENSG00000136379,ENSMUSG00000038459
ABHD18,ENSG00000164074,ENSMUSG00000037818
ABHD2,ENSG00000140526,ENSMUSG00000039202
ABHD3,ENSG00000158201,ENSMUSG00000002475
ABHD4,ENSG00000100439,ENSMUSG00000040997
ABHD5,ENSG00000011198,ENSMUSG00000032540
ABHD6,ENSG00000163686,ENSMUSG00000025277
ABHD8,ENSG00000127220,ENSMUSG00000007950
ABI1,ENSG00000136754,ENSMUSG00000058835
ABI2,ENSG00000138443,ENSMUSG00000026782
ABI3,ENSG00000108798,ENSMUSG00000018381
ABI3BP,ENSG00000154175,ENSMUSG00000035258
ABITRAM,ENSG00000119328,ENSMUSG00000038827
ABL1,ENSG00000097007,ENSMUSG00000026842
ABL2,ENSG00000143322,ENSMUSG00000026596
ABLIM1,ENSG00000099204,ENSMUSG00000025085
ABLIM2,ENSG00000163995,ENSMUSG00000029095
ABLIM3,ENSG00000173210,ENSMUSG00000032735
ABO,ENSG00000175164,ENSMUSG00000015787
ABR,ENSG00000159842,ENSMUSG00000017631
ABRA,ENSG00000174429,ENSMUSG00000042895
ABRACL,ENSG00000146386,ENSMUSG00000078453
ABRAXAS1,ENSG00000163322,ENSMUSG00000035234
ABRAXAS2,ENSG00000165660,ENSMUSG00000030965
ABT1,ENSG00000146109,ENSMUSG00000036376
ABTB1,ENSG00000114626,ENSMUSG00000030083
ABTB2,ENSG00000166016,ENSMUSG00000032724
ABTB3,ENSG00000151136,ENSMUSG00000020042
ACAA2,ENSG00000167315,ENSMUSG00000036880
ACACA,ENSG00000278540,ENSMUSG00000020532
ACACB,ENSG00000076555,ENSMUSG00000042010
ACAD11,ENSG00000240303,ENSMUSG00000090150
ACAD8,ENSG00000151498,ENSMUSG00000031969
ACAD9,ENSG00000177646,ENSMUSG00000027710
ACADL,ENSG00000115361,ENSMUSG00000026003
ACADM,ENSG00000117054,ENSMUSG00000062908
ACADS,ENSG00000122971,ENSMUSG00000029545
ACADSB,ENSG00000196177,ENSMUSG00000030861
ACADVL,ENSG00000072778,ENSMUSG00000018574
ACAN,ENSG00000157766,ENSMUSG00000030607
ACAP1,ENSG00000072818,ENSMUSG00000001588
ACAP2,ENSG00000114331,ENSMUSG00000049076
ACAP3,ENSG00000131584,ENSMUSG00000029033
ACAT1,ENSG00000075239,ENSMUSG00000032047
ACBD3,ENSG00000182827,ENSMUSG00000026499
ACBD4,ENSG00000181513,ENSMUSG00000056938
ACBD5,ENSG00000107897,ENSMUSG00000026781
ACBD6,ENSG00000230124,ENSMUSG00000033701
ACBD7,ENSG00000176244,ENSMUSG00000026644
ACCS,ENSG00000110455,ENSMUSG00000040272
ACCSL,ENSG00000205126,ENSMUSG00000075023
ACD,ENSG00000102977,ENSMUSG00000038000
ACE,ENSG00000159640,ENSMUSG00000020681
ACE2,ENSG00000130234,ENSMUSG00000015405
ACER1,ENSG00000167769,ENSMUSG00000045019
ACER2,ENSG00000177076,ENSMUSG00000038007
ACER3,ENSG00000078124,ENSMUSG00000030760
ACHE,ENSG00000087085,ENSMUSG00000023328
ACIN1,ENSG00000100813,ENSMUSG00000022185
ACKR1,ENSG00000213088,ENSMUSG00000037872
ACKR2,ENSG00000144648,ENSMUSG00000044534
ACKR3,ENSG00000144476,ENSMUSG00000044337
ACKR4,ENSG00000129048,ENSMUSG00000079355
ACKR5,ENSG00000166856,ENSMUSG00000058396
ACLY,ENSG00000131473,ENSMUSG00000020917
ACMSD,ENSG00000153086,ENSMUSG00000026348
ACO1,ENSG00000122729,ENSMUSG00000028405
ACO2,ENSG00000100412,ENSMUSG00000022477
ACOD1,ENSG00000102794,ENSMUSG00000022126
ACOT11,ENSG00000162390,ENSMUSG00000034853
ACOT12,ENSG00000172497,ENSMUSG00000021620
ACOT13,ENSG00000112304,ENSMUSG00000006717
ACOT4,ENSG00000177465,ENSMUSG00000052392
ACOT6,ENSG00000205669,ENSMUSG00000043487
ACOT7,ENSG00000097021,ENSMUSG00000028937
ACOT8,ENSG00000101473,ENSMUSG00000017307
ACOX1,ENSG00000161533,ENSMUSG00000020777
ACOX2,ENSG00000168306,ENSMUSG00000021751
ACOX3,ENSG00000087008,ENSMUSG00000029098
ACOXL,ENSG00000153093,ENSMUSG00000027380
ACP1,ENSG00000143727,ENSMUSG00000044573
ACP2,ENSG00000134575,ENSMUSG00000002103
ACP3,ENSG00000014257,ENSMUSG00000032561
ACP4,ENSG00000142513,ENSMUSG00000012777
ACP5,ENSG00000102575,ENSMUSG00000001348
ACP6,ENSG00000162836,ENSMUSG00000028093
ACP7,ENSG00000183760,ENSMUSG00000037469
ACR,ENSG00000100312,ENSMUSG00000022622
ACRBP,ENSG00000111644,ENSMUSG00000072770
ACRV1,ENSG00000134940,ENSMUSG00000032110
ACSBG1,ENSG00000103740,ENSMUSG00000032281
ACSBG2,ENSG00000130377,ENSMUSG00000024207
ACSF2,ENSG00000167107,ENSMUSG00000076435
ACSF3,ENSG00000176715,ENSMUSG00000015016
ACSL1,ENSG00000151726,ENSMUSG00000018796
ACSL3,ENSG00000123983,ENSMUSG00000032883
ACSL4,ENSG00000068366,ENSMUSG00000031278
ACSL5,ENSG00000197142,ENSMUSG00000024981
ACSL6,ENSG00000164398,ENSMUSG00000020333
ACSM1,ENSG00000166743,ENSMUSG00000033533
ACSM3,ENSG00000005187,ENSMUSG00000030935
ACSM4,ENSG00000215009,ENSMUSG00000047026
ACSM5,ENSG00000183549,ENSMUSG00000030972
ACSS1,ENSG00000154930,ENSMUSG00000027452
ACSS2,ENSG00000131069,ENSMUSG00000027605
ACSS3,ENSG00000111058,ENSMUSG00000035948
ACTA1,ENSG00000143632,ENSMUSG00000031972
ACTA2,ENSG00000107796,ENSMUSG00000035783
ACTB,ENSG00000075624,ENSMUSG00000029580
ACTBL2,ENSG00000169067,ENSMUSG00000055194
ACTC1,ENSG00000159251,ENSMUSG00000068614
ACTG1,ENSG00000184009,ENSMUSG00000062825
ACTG2,ENSG00000163017,ENSMUSG00000059430
ACTL10,ENSG00000288649,ENSMUSG00000078129
ACTL6A,ENSG00000136518,ENSMUSG00000027671
ACTL6B,ENSG00000077080,ENSMUSG00000029712
ACTL7A,ENSG00000187003,ENSMUSG00000070979
ACTL7B,ENSG00000148156,ENSMUSG00000070980
ACTL9,ENSG00000181786,ENSMUSG00000092519
ACTMAP,ENSG00000188493,ENSMUSG00000078786
ACTN1,ENSG00000072110,ENSMUSG00000015143
ACTN2,ENSG00000077522,ENSMUSG00000052374
ACTN3,ENSG00000248746,ENSMUSG00000006457
ACTN4,ENSG00000130402,ENSMUSG00000054808
ACTR10,ENSG00000131966,ENSMUSG00000021076
ACTR1A,ENSG00000138107,ENSMUSG00000025228
ACTR1B,ENSG00000115073,ENSMUSG00000037351
ACTR2,ENSG00000138071,ENSMUSG00000020152
ACTR3,ENSG00000115091,ENSMUSG00000026341
ACTR5,ENSG00000101442,ENSMUSG00000037761
ACTR6,ENSG00000075089,ENSMUSG00000019948
ACTR8,ENSG00000113812,ENSMUSG00000015971
ACTRT1,ENSG00000123165,ENSMUSG00000046615
ACTRT2,ENSG00000169717,ENSMUSG00000051276
ACTRT3,ENSG00000184378,ENSMUSG00000037737
ACVR1,ENSG00000115170,ENSMUSG00000026836
ACVR1B,ENSG00000135503,ENSMUSG00000000532
ACVR1C,ENSG00000123612,ENSMUSG00000026834
ACVR2A,ENSG00000121989,ENSMUSG00000052155
ACVR2B,ENSG00000114739,ENSMUSG00000061393
ACVRL1,ENSG00000139567,ENSMUSG00000000530
ACY1,ENSG00000243989,ENSMUSG00000023262
ACY3,ENSG00000132744,ENSMUSG00000024866
ACYP2,ENSG00000170634,ENSMUSG00000060923
ADA,ENSG00000196839,ENSMUSG00000017697
ADAD1,ENSG00000164113,ENSMUSG00000027719
ADAD2,ENSG00000140955,ENSMUSG00000024266
ADAM10,ENSG00000137845,ENSMUSG00000054693
ADAM11,ENSG00000073670,ENSMUSG00000020926
ADAM12,ENSG00000148848,ENSMUSG00000054555
ADAM15,ENSG00000143537,ENSMUSG00000028041
ADAM17,ENSG00000151694,ENSMUSG00000052593
ADAM18,ENSG00000168619,ENSMUSG00000031552
ADAM2,ENSG00000104755,ENSMUSG00000022039
ADAM21,ENSG00000139985,ENSMUSG00000008438
ADAM22,ENSG00000008277,ENSMUSG00000040537
ADAM23,ENSG00000114948,ENSMUSG00000025964
ADAM28,ENSG00000042980,ENSMUSG00000014725
ADAM29,ENSG00000168594,ENSMUSG00000046258
ADAM30,ENSG00000134249,ENSMUSG00000043468
ADAM32,ENSG00000197140,ENSMUSG00000037437
ADAM33,ENSG00000149451,ENSMUSG00000027318
ADAM7,ENSG00000069206,ENSMUSG00000022056
ADAM8,ENSG00000151651,ENSMUSG00000025473
ADAM9,ENSG00000168615,ENSMUSG00000031555
ADAMDEC1,ENSG00000134028,ENSMUSG00000022057
ADAMTS1,ENSG00000154734,ENSMUSG00000022893
ADAMTS10,ENSG00000142303,ENSMUSG00000024299
ADAMTS12,ENSG00000151388,ENSMUSG00000047497
ADAMTS13,ENSG00000160323,ENSMUSG00000014852
ADAMTS14,ENSG00000138316,ENSMUSG00000059901
ADAMTS15,ENSG00000166106,ENSMUSG00000033453
ADAMTS16,ENSG00000145536,ENSMUSG00000049538
ADAMTS17,ENSG00000140470,ENSMUSG00000058145
ADAMTS18,ENSG00000140873,ENSMUSG00000053399
ADAMTS19,ENSG00000145808,ENSMUSG00000053441
ADAMTS2,ENSG00000087116,ENSMUSG00000036545
ADAMTS20,ENSG00000173157,ENSMUSG00000022449
ADAMTS3,ENSG00000156140,ENSMUSG00000043635
ADAMTS4,ENSG00000158859,ENSMUSG00000006403
ADAMTS5,ENSG00000154736,ENSMUSG00000022894
ADAMTS6,ENSG00000049192,ENSMUSG00000046169
ADAMTS7,ENSG00000136378,ENSMUSG00000032363
ADAMTS8,ENSG00000134917,ENSMUSG00000031994
ADAMTS9,ENSG00000163638,ENSMUSG00000030022
ADAMTSL1,ENSG00000178031,ENSMUSG00000066113
ADAMTSL2,ENSG00000197859,ENSMUSG00000036040
ADAMTSL3,ENSG00000156218,ENSMUSG00000070469
ADAMTSL4,ENSG00000143382,ENSMUSG00000015850
ADAMTSL5,ENSG00000185761,ENSMUSG00000043822
ADAP1,ENSG00000105963,ENSMUSG00000056413
ADAP2,ENSG00000184060,ENSMUSG00000020709
ADAR,ENSG00000160710,ENSMUSG00000027951
ADARB1,ENSG00000197381,ENSMUSG00000020262
ADARB2,ENSG00000185736,ENSMUSG00000052551
ADAT1,ENSG00000065457,ENSMUSG00000031949
ADAT2,ENSG00000189007,ENSMUSG00000019808
ADCK1,ENSG00000063761,ENSMUSG00000021044
ADCK2,ENSG00000133597,ENSMUSG00000046947
ADCK5,ENSG00000173137,ENSMUSG00000022550
ADCY1,ENSG00000164742,ENSMUSG00000020431
ADCY10,ENSG00000143199,ENSMUSG00000026567
ADCY2,ENSG00000078295,ENSMUSG00000021536
ADCY3,ENSG00000138031,ENSMUSG00000020654
ADCY4,ENSG00000129467,ENSMUSG00000022220
