human_ensembl,mouse_ensembl,human_symbol_original,human_symbol_hgnc,mouse_symbol,hgnc_resolved,protein_coding_hgnc,present_archs4_human,present_archs4_mouse,expressed_tcga,expressed_tcga_exact_old_symbol,expressed_osdr,has_human_exon_length,has_mouse_exon_length,in_current_vocab,unique_pair_after_hgnc,eligible_reconciled,eligible_with_exact_tcga_symbol,training_ready
ENSG00000148584,ENSMUSG00000052595,A1CF,A1CF,A1cf,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000175899,ENSMUSG00000030111,A2M,A2M,A2m,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000184389,ENSMUSG00000028794,A3GALT2,A3GALT2,A3galt2,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000128274,ENSMUSG00000047878,A4GALT,A4GALT,A4galt,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000118017,ENSMUSG00000037953,A4GNT,A4GNT,A4gnt,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000094914,ENSMUSG00000036678,AAAS,AAAS,Aaas,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000081760,ENSMUSG00000029482,AACS,AACS,Aacs,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000114771,ENSMUSG00000027761,AADAC,AADAC,Aadac,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000197953,ENSMUSG00000091376,AADACL2,AADACL2,Aadacl2,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000188984,ENSMUSG00000078507,AADACL3,AADACL3,Aadacl3,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000109576,ENSMUSG00000057228,AADAT,AADAT,Aadat,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000103591,ENSMUSG00000037257,AAGAB,AAGAB,Aagab,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000115977,ENSMUSG00000057230,AAK1,AAK1,Aak1,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000087884,ENSMUSG00000035642,AAMDC,AAMDC,Aamdc,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000127837,ENSMUSG00000006299,AAMP,AAMP,Aamp,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000129673,ENSMUSG00000020804,AANAT,AANAT,Aanat,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000131043,ENSMUSG00000027628,AAR2,AAR2,Aar2,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000205002,ENSMUSG00000068522,AARD,AARD,Aard,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENSG00000090861,ENSMUSG00000031960,AARS1,AARS1,Aars1,True,True,True,True,True,False,True,True,True,False,True,True,False,True
